step,ego_x,ego_y,adv_x,adv_y
0,-4.118151838812667,-3.1144096727013886,-1.9310936778962,-2.945068755767185
1,-4.118152864094374,-3.1144093226682013,-1.9310952203416014,-2.9450702370123807
2,-4.118154911375701,-3.1144086167961174,-1.9310958057689223,-2.9450708336903575
3,-4.1468501336156915,-3.105766827053564,-1.931096408528627,-2.945071411184467
4,-4.175675396672251,-3.0959042264707635,-1.9310970115012775,-2.9450719872489075
5,-4.1580169186903335,-3.10190927700636,-1.9310976145548433,-2.945072562137555
6,-4.138108954890157,-3.109434155481569,-1.931098217659675,-2.945073135985477
7,-4.112549162137824,-3.1216937005855927,-1.9310988207926654,-2.9450737089116847
8,-4.0869653012005545,-3.1343761180651177,-1.9310994239356427,-2.945074281021573
9,-4.066632926574677,-3.1408566193918936,-1.9311000270745184,-2.9450748524084998
10,-4.043686867367556,-3.15138462909978,-1.9311006301985736,-2.945075423155176
11,-4.017450914350907,-3.1593546186052075,-1.9311012332998596,-2.9450759933349
12,-3.9976799845276365,-3.1640172180222033,-1.9311018363726908,-2.945076563012639
13,-3.976478775247564,-3.1704842782933897,-1.9311024394132201,-2.945077132245986
14,-3.9502336261583393,-3.1754961653796823,-1.9311030424190854,-2.9450777010860114
15,-3.948547168106792,-3.176024589073908,-1.9311036453891108,-2.9450782695780084
16,-3.948149498563552,-3.1761698879920544,-1.9311042483230627,-2.9450788377621557
17,-3.9480654803215556,-3.1761785786608283,-1.9311048512214422,-2.9450794056741
18,-3.947393840920347,-3.176422337192264,-1.9311060569161718,-2.9450805408043634
19,-3.9258872975617396,-3.1787375987089663,-1.931106659715817,-2.9450811080756902
20,-3.9058843208239447,-3.1842550563754433,-1.93110726248627,-2.9450816751815934
21,-3.8828665060548766,-3.197500896431031,-1.9311077773379188,-2.945082134765981
22,-3.8583830396454295,-3.21205343324165,-1.9311082505540895,-2.9450825787639916
23,-3.8363685220727732,-3.2191667840018665,-1.931108723801283,-2.945083022824309
24,-3.8153736937386213,-3.218065665953493,-1.9535221377665772,-2.9458027017293587
25,-3.796056501812147,-3.222287279535382,-1.9710776964592527,-2.952888559289207
26,-3.778206557714484,-3.2316329815565514,-1.98808336481546,-2.9592665417144413
27,-3.7719429586190096,-3.2322402834819517,-2.0131702812730268,-2.9733486441370394
28,-3.7569358513263653,-3.2457681269122336,-2.0388769426510334,-2.9877316839989994
29,-3.7388850397638107,-3.25543281052376,-2.064670547572522,-3.002320117714462
30,-3.7292855331854335,-3.2550521535413215,-2.0888455069243927,-3.0147430559611648
31,-3.720365660484484,-3.2588651569173646,-2.1154598677615986,-3.0280229537649226
32,-3.7216196141866047,-3.2658337214879145,-2.1418679736159514,-3.0415918635866306
33,-3.727410447700128,-3.273874185992434,-2.1686456271987993,-3.055205045742172
34,-3.7324664039698523,-3.28235605108649,-2.195705763105431,-3.0672095120779703
35,-3.7331099118535636,-3.2838192436309237,-2.222935916982961,-3.078428821824781
36,-3.7336093689079153,-3.2845512024104284,-2.2499000277630263,-3.0915903869909513
37,-3.734201866584808,-3.285488965195224,-2.276872297136286,-3.1047434958500033
38,-3.7347246904944296,-3.286226962784792,-2.303624424622382,-3.1178800703945604
39,-3.735285982495988,-3.2871210794667736,-2.3303601366797007,-3.1310759370752805
40,-3.7363931619777957,-3.288993567461809,-2.3835550277188506,-3.1570851957621766
41,-3.738070225429477,-3.294613406784128,-2.4096211103868224,-3.169602792415721
42,-3.7347145637449475,-3.2965259710967207,-2.43700757300798,-3.1821668374747225
43,-3.729872310206817,-3.291927575027533,-2.462962272581062,-3.194733057957125
44,-3.7268402391091238,-3.2897126350912917,-2.488774610187358,-3.207104843247865
45,-3.717296068965235,-3.296180495985154,-2.5165342923096943,-3.2200585925933183
46,-3.695572832026421,-3.310550837137528,-2.5427994069259645,-3.2325939872470015
