step,ego_x,ego_y,adv_x,adv_y
0,-4.118169702801101,-3.114405493744048,-1.9311063729422684,-2.9450767119406644
1,-4.147021812252935,-3.1056294000140894,-1.9311071870863774,-2.9450774594833735
2,-4.175567218869835,-3.0959041788771886,-1.931108001180695,-2.9450782062997387
3,-4.202659668365822,-3.0875251340924468,-1.9311088151865499,-2.9450789525229526
4,-4.230999367167078,-3.078625651170552,-1.9311096291121876,-2.945079698230478
5,-4.2285910532946644,-3.0803435156945453,-1.9311104429659554,-2.9450804434897364
6,-4.209605610979385,-3.0879599576656505,-1.9311112567558146,-2.945081188359721
7,-4.181552627801936,-3.0976928787131657,-1.931112070489299,-2.9450819328920494
8,-4.153662533765493,-3.105804994357351,-1.9311126565877461,-2.9450825674564296
9,-4.134066345277662,-3.114187844204424,-1.9311132678416312,-2.945083145426761
10,-4.114088223392249,-3.1257234846851842,-1.9311138787600055,-2.945083722019806
11,-4.0888678604009865,-3.1326421119446657,-1.9311144890842469,-2.9450842976922598
12,-4.06094551548813,-3.1389294972994684,-1.9505804092404904,-2.9465395103998175
13,-4.040380156796349,-3.149813414068489,-1.975314332136745,-2.9634248722378826
14,-4.021380466011437,-3.158684355196919,-1.9994607223413428,-2.980625530663823
15,-4.001685941561636,-3.163069494697665,-2.0240088232228577,-2.9978233427037284
16,-3.9788671582283417,-3.1708052404413283,-2.0488754198693084,-3.015293018932721
17,-3.9524713610250126,-3.176475576573531,-2.072988477108285,-3.0320952872842146
18,-3.93691142927282,-3.177105527808684,-2.0975361235006837,-3.049246137046703
19,-3.92217251720557,-3.178897150493157,-2.1224955249552084,-3.0656071885389156
20,-3.9052101729229136,-3.179275775736954,-2.1469569872069587,-3.08182029737
21,-3.8914258902126173,-3.1804786599656643,-2.1709506138707155,-3.0961811420824925
22,-3.8917349150401654,-3.180392038597517,-2.1955294040410527,-3.111114951361113
23,-3.8919256567970812,-3.180473074121341,-2.2461814148392234,-3.1383669415846915
24,-3.883090009585973,-3.1801981638371517,-2.2732852767017597,-3.1479965167581305
25,-3.8651244356143724,-3.188543348400998,-2.2972149161731736,-3.160979034954859
26,-3.84297722258904,-3.19651240813706,-2.324289781141922,-3.1751024154886847
27,-3.8187028790606914,-3.2093853039081455,-2.3520173181199784,-3.183448188701095
28,-3.8070676054657726,-3.217089997985981,-2.3757145570311478,-3.195097996856931
29,-3.799943863939214,-3.220938074402263,-2.4026963350555763,-3.2071991735113503
30,-3.7902397434252317,-3.2234530132714685,-2.4306418676416506,-3.2188928759676183
31,-3.7847085837121033,-3.224772721021623,-2.4547987510339855,-3.22946450346274
32,-3.774916987210429,-3.2302527782642207,-2.481777436013507,-3.240264446766899
33,-3.7531651667074275,-3.2441368107921713,-2.5106814753668703,-3.2524683951210513
34,-3.743894779961902,-3.256335593833976,-2.535222375238278,-3.262240187932622
35,-3.742317688748313,-3.2701235840562335,-2.5620158066989367,-3.271253740416725
36,-3.7407171119811657,-3.282070632057588,-2.58998068863947,-3.281265221414938
37,-3.737307037019938,-3.30095051225906,-2.617708634496338,-3.2908855353529995
38,-3.732024840615637,-3.320905913305976,-2.644800751490716,-3.2997102815186197
39,-3.725639890065819,-3.341594976220846,-2.672918314522745,-3.3091161238516285
40,-3.7130993185233367,-3.360272864721409,-2.7009996993661978,-3.318308567708897
41,-3.6907602587661725,-3.375703158014991,-2.7287440119715876,-3.322780568555386
42,-3.6899832780988393,-3.3758016941728726,-2.757501823823256,-3.326475402810814
43,-3.6899828586610948,-3.375802798917781,-2.785432363878128,-3.3335055802413334
44,-3.689981969969129,-3.3758050116251286,-2.841832493120367,-3.347053070563573
45,-3.6753817264840842,-3.398547048179551,-2.8694000517773772,-3.353809412460611
46,-3.6640173346308798,-3.4214862966062825,-2.898913703665436,-3.360531522977552
47,-3.6477486748499537,-3.445153854723846,-2.9269849406794846,-3.3669163495833665
48,-3.6339567360766236,-3.4677036497741702,-2.954858392224375,-3.3737025440807042
49,-3.622546605580932,-3.489445764247296,-2.984315061605078,-3.3801637556205857
50,-3.607267047885907,-3.5128241572492596,-3.0129631029370385,-3.386306615253422
51,-3.591801745565888,-3.537732005853421,-3.039905881564157,-3.3926317206139616
52,-3.5785244510697787,-3.557550673717591,-3.0690949246202996,-3.399252347187539
53,-3.559005026381679,-3.577871483422491,-3.0984607980949725,-3.405872432693155
54,-3.539536083047307,-3.5984733123799426,-3.127582305572906,-3.4125310399567503
55,-3.522505430470303,-3.6210791119884598,-3.156763784374209,-3.4191370591468666
56,-3.4998095996770364,-3.638766817669925,-3.186244434644581,-3.425729058802891
57,-3.4788423539374294,-3.6576851050562746,-3.2152454625722524,-3.432306920988377
58,-3.4599027242778986,-3.6793956622049118,-3.2440909938119007,-3.438747067090597
59,-3.4389226408250595,-3.699487405037449,-3.2738754774953565,-3.445370010247941
60,-3.4165676197826156,-3.7178900654847458,-3.2976931435820727,-3.4592218857770667
