step,ego_x,ego_y,adv_x,adv_y
0,-4.146993438697301,-3.1057188531133963,-1.9311213150435989,-2.9450898245048527
1,-4.17536108555433,-3.0958661440170387,-1.9311221376133778,-2.945090579406411
2,-4.202479168898788,-3.087517116985086,-1.93112295963789,-2.9450913331178468
3,-4.230793294548568,-3.0784809984675285,-1.9311237811208497,-2.945092085851887
4,-4.259466322033619,-3.069195325890067,-1.931124602128408,-2.9450928377354626
5,-4.245284913091883,-3.0716575936990536,-1.931125422719587,-2.945093588878936
6,-4.228527983528425,-3.079662970819907,-1.9311262429465275,-2.9450943393787297
7,-4.203916536784341,-3.092029721546099,-1.9528707899090745,-2.952825973693009
8,-4.1770245836916615,-3.103516917269638,-1.9725944341536028,-2.9624468634229126
9,-4.156016257123443,-3.11184634361196,-1.9959460991887692,-2.9791167560976426
10,-4.13665712841385,-3.1228269246771663,-2.0189414931067136,-2.995404785674873
11,-4.1116919309520545,-3.1326618906890342,-2.043619685611746,-3.012870311394008
12,-4.088011231956339,-3.1415238074103846,-2.0661215061187823,-3.029988565286407
13,-4.065290291785839,-3.1503796314031995,-2.087544279332746,-3.046896948316272
14,-4.040831437041226,-3.159685762440304,-2.1124000832748484,-3.0641340578882175
15,-4.021634510872368,-3.172888236449811,-2.1370684918050586,-3.0815037413015194
16,-4.002410131605638,-3.1804330101314355,-2.1609053232618614,-3.0975496630732873
17,-3.9773996249893107,-3.190605911658582,-2.185918977321943,-3.114203334481519
18,-3.9479391505644914,-3.1964971951295076,-2.210992345341168,-3.131397497424009
19,-3.9315481053050947,-3.200407623911352,-2.255847741413996,-3.151993586109784
20,-3.9136518914048097,-3.205657769659423,-2.2786994288924385,-3.162633425205066
21,-3.8906110780656227,-3.2201803428768225,-2.3019815713613028,-3.1729949738479433
22,-3.870491170073834,-3.229939998130312,-2.327317335080485,-3.1844573935600913
23,-3.850833276267542,-3.233270492586518,-2.3535509559063095,-3.1972555011653983
24,-3.826509992029754,-3.2310172509668456,-2.3798842883015427,-3.2098560342590226
25,-3.808822128575142,-3.228993714593744,-2.407560161952073,-3.22289080706383
26,-3.8002884360930804,-3.2288993442120097,-2.4337135559036236,-3.235512898118496
27,-3.7903387167616684,-3.2329088844207177,-2.4596525183237734,-3.2477688590309857
28,-3.7780797956642598,-3.2348119963459263,-2.4873060567307372,-3.2585273928342824
29,-3.765043172127055,-3.232750937301573,-2.5132183478289183,-3.269845340939384
30,-3.757895830836727,-3.234665066236573,-2.5371246850488935,-3.280536134060301
31,-3.757146553041228,-3.236427169736753,-2.5650192129598626,-3.2896080007963535
32,-3.747277499507564,-3.248323633325085,-2.593623077936596,-3.300021759601525
33,-3.730218165437579,-3.264022088795086,-2.6169633015592395,-3.3092480657224086
34,-3.7151264052402557,-3.2717920195736805,-2.644507815908719,-3.3143562897925043
35,-3.7083348176972453,-3.274562681756976,-2.672720481826354,-3.3219594946182593
36,-3.706743068553605,-3.2779239169078926,-2.7000452530452494,-3.329791904263301
37,-3.706345238804766,-3.277866559520964,-2.7573994412942464,-3.3446219296674
38,-3.6993173584437686,-3.290269655122851,-2.785955065197221,-3.353188469730257
39,-3.7003213747470833,-3.2962305795317746,-2.814554149572864,-3.360497726678933
40,-3.697679881045154,-3.3003790833974618,-2.8435231351929096,-3.368172351719868
41,-3.686668591965088,-3.3107853991659684,-2.8723254500781055,-3.376098072590282
42,-3.6658628463495493,-3.3267789855943057,-2.898370739924635,-3.3763085887552235
43,-3.649427706336359,-3.3420696324537453,-2.924086017601501,-3.3788174215923137
44,-3.648638301705674,-3.3577516085248904,-2.949065464808715,-3.382420361694964
45,-3.644850127146905,-3.3734318000854384,-2.97785189854292,-3.3850022435243114
46,-3.636345765704944,-3.392956989317617,-3.005452559001946,-3.3867011609702438
47,-3.6236376342978027,-3.414328033580487,-3.0346608190071915,-3.391657003239369
48,-3.6167115471512603,-3.436922342007095,-3.06394322153354,-3.396911403131318
49,-3.6033148132806514,-3.455990045606022,-3.0930435105062104,-3.401280714683653
50,-3.5838115675968427,-3.4724903089887365,-3.122679220167661,-3.4060730196663056
51,-3.5731645150697933,-3.4932305700217117,-3.151615032436797,-3.410457972463027
52,-3.5611042516164058,-3.513296579256682,-3.18050906278245,-3.4134296255359744
53,-3.5436686850091066,-3.5365631567493825,-3.2068787794180817,-3.416371891703985
54,-3.528089945321018,-3.5590427361836787,-3.2316751351445774,-3.418779195613482
55,-3.5159554110678064,-3.5813125798891594,-3.260301096371344,-3.4174685174642234
56,-3.4984516199915325,-3.6043660921159626,-3.2872477475006456,-3.4162071010837245
57,-3.4836326443651764,-3.6318325790293438,-3.308183698356381,-3.4379513564370807
