sample_id,step,x,y
0,0,-2.6529951095581055,-2.0659854412078857
0,1,-2.6203486919403076,-2.0994977951049805
0,2,-2.5783474445343018,-2.1353235244750977
0,3,-2.535216808319092,-2.154043674468994
0,4,-2.4905712604522705,-2.192549467086792
0,5,-2.4530229568481445,-2.218402624130249
0,6,-2.3982574939727783,-2.2459638118743896
0,7,-2.3669326305389404,-2.27601957321167
0,8,-2.325894594192505,-2.306023359298706
0,9,-2.2919795513153076,-2.3299977779388428
0,10,-2.242388963699341,-2.3510239124298096
0,11,-2.198291540145874,-2.3700640201568604
0,12,-2.1660351753234863,-2.3962156772613525
0,13,-2.1341521739959717,-2.417083978652954
0,14,-2.10992169380188,-2.4265763759613037
0,15,-2.0896058082580566,-2.4344840049743652
1,0,-2.642409086227417,-2.0719709396362305
1,1,-2.6046226024627686,-2.1144919395446777
1,2,-2.5697715282440186,-2.154595375061035
1,3,-2.516794443130493,-2.1739931106567383
1,4,-2.470954179763794,-2.2079923152923584
1,5,-2.431579828262329,-2.231255054473877
1,6,-2.3904056549072266,-2.2612998485565186
1,7,-2.3558871746063232,-2.29288911819458
1,8,-2.328939914703369,-2.325894355773926
1,9,-2.2929983139038086,-2.342822313308716
1,10,-2.2519214153289795,-2.373070478439331
1,11,-2.2042059898376465,-2.391510486602783
1,12,-2.157841205596924,-2.4140431880950928
1,13,-2.135755777359009,-2.4332377910614014
1,14,-2.103839635848999,-2.4502904415130615
1,15,-2.084977865219116,-2.463639736175537
2,0,-2.6396353244781494,-2.066196918487549
2,1,-2.588446617126465,-2.104269504547119
2,2,-2.5478968620300293,-2.1402432918548584
2,3,-2.513981342315674,-2.19012713432312
2,4,-2.472292423248291,-2.2233166694641113
2,5,-2.4295763969421387,-2.2551963329315186
2,6,-2.3836398124694824,-2.3046646118164062
2,7,-2.3476336002349854,-2.3389103412628174
2,8,-2.309974431991577,-2.360978364944458
2,9,-2.2665014266967773,-2.3807754516601562
2,10,-2.210847854614258,-2.4148976802825928
2,11,-2.191624641418457,-2.448845863342285
2,12,-2.1778829097747803,-2.4728598594665527
2,13,-2.151555299758911,-2.49565052986145
2,14,-2.1163330078125,-2.5118026733398438
2,15,-2.112872838973999,-2.518744945526123
3,0,-2.6480743885040283,-2.072492837905884
3,1,-2.6080567836761475,-2.1100873947143555
3,2,-2.5632431507110596,-2.156261444091797
3,3,-2.5109288692474365,-2.1890435218811035
3,4,-2.460221529006958,-2.2280020713806152
3,5,-2.4090921878814697,-2.261788845062256
3,6,-2.371157646179199,-2.298318862915039
3,7,-2.3280630111694336,-2.32419490814209
3,8,-2.289850950241089,-2.357316255569458
3,9,-2.2652316093444824,-2.3938112258911133
3,10,-2.238100051879883,-2.4314451217651367
3,11,-2.190364122390747,-2.4472107887268066
3,12,-2.1563827991485596,-2.463437080383301
3,13,-2.139695167541504,-2.4895260334014893
3,14,-2.1166744232177734,-2.508272886276245
3,15,-2.0922141075134277,-2.522883176803589
4,0,-2.6347548961639404,-2.067797899246216
4,1,-2.597714900970459,-2.0932369232177734
4,2,-2.5537960529327393,-2.1246747970581055
4,3,-2.511653423309326,-2.1597015857696533
4,4,-2.4650871753692627,-2.1957786083221436
4,5,-2.411724805831909,-2.2276384830474854
4,6,-2.365461826324463,-2.254239797592163
4,7,-2.335848093032837,-2.2795984745025635
4,8,-2.301081657409668,-2.3162834644317627
4,9,-2.267390251159668,-2.341831922531128
4,10,-2.2373151779174805,-2.3840842247009277
4,11,-2.201493263244629,-2.4138665199279785
4,12,-2.1693739891052246,-2.430370569229126
4,13,-2.1357409954071045,-2.452213764190674
4,14,-2.1023945808410645,-2.4816555976867676
4,15,-2.0761523246765137,-2.500474214553833
5,0,-2.640620708465576,-2.0642261505126953
5,1,-2.590430974960327,-2.1084251403808594
5,2,-2.547302007675171,-2.1548733711242676
5,3,-2.498511552810669,-2.1863021850585938
5,4,-2.451019287109375,-2.222383499145508
5,5,-2.3952860832214355,-2.2490663528442383
5,6,-2.3550503253936768,-2.2853143215179443
5,7,-2.2961530685424805,-2.3113694190979004
5,8,-2.2548019886016846,-2.339695453643799
5,9,-2.2158396244049072,-2.352638006210327
5,10,-2.182764768600464,-2.373553991317749
5,11,-2.133728265762329,-2.3935630321502686
5,12,-2.099611520767212,-2.414788246154785
5,13,-2.061450242996216,-2.432502031326294
5,14,-2.026677370071411,-2.433267116546631
5,15,-1.99946129322052,-2.440154552459717
6,0,-2.657405138015747,-2.061652660369873
6,1,-2.6162054538726807,-2.1042656898498535
6,2,-2.566763401031494,-2.1409966945648193
6,3,-2.5226192474365234,-2.177415609359741
6,4,-2.4808876514434814,-2.213282585144043
6,5,-2.4393231868743896,-2.2387428283691406
6,6,-2.3894691467285156,-2.2792537212371826
6,7,-2.3450870513916016,-2.3005828857421875
6,8,-2.3069980144500732,-2.3218517303466797
6,9,-2.2713546752929688,-2.350785732269287
6,10,-2.229898452758789,-2.3902320861816406
6,11,-2.2036197185516357,-2.4260830879211426
6,12,-2.179821491241455,-2.450772285461426
6,13,-2.1419754028320312,-2.4693591594696045
6,14,-2.10652494430542,-2.47300386428833
6,15,-2.067976236343384,-2.48909330368042
7,0,-2.6395516395568848,-2.070622682571411
7,1,-2.6051406860351562,-2.1154420375823975
7,2,-2.561504602432251,-2.166654348373413
7,3,-2.5180513858795166,-2.205960750579834
7,4,-2.470592975616455,-2.237962007522583
7,5,-2.439943313598633,-2.277705669403076
7,6,-2.3917529582977295,-2.3127880096435547
7,7,-2.3473331928253174,-2.3444011211395264
7,8,-2.299100399017334,-2.350207567214966
7,9,-2.2472217082977295,-2.398740291595459
7,10,-2.2041261196136475,-2.431480646133423
7,11,-2.1765635013580322,-2.469430923461914
7,12,-2.1199748516082764,-2.4741733074188232
7,13,-2.056948661804199,-2.4969050884246826
7,14,-2.025949001312256,-2.5213513374328613
