step,ego_x,ego_y,adv_x,adv_y
0,-3.9499677405066778,-2.6204801284964914,-4.246923668011715,-4.931972465728953
1,-3.9479249803515906,-2.6420677633013434,-4.249444200900717,-4.942099023740071
2,-3.95056627548659,-2.657265913153661,-4.244571763340575,-4.950418237865765
3,-3.951144329000516,-2.6730688791836688,-4.236968772913002,-4.956323245972303
4,-3.953243649548394,-2.6890997105609475,-4.228265582904552,-4.960714121530198
5,-3.95093655715238,-2.7097694312332985,-4.223619737134826,-4.959047035762073
6,-3.946738324740551,-2.7300368333630542,-4.217266778205551,-4.958311441329205
7,-3.941955013953019,-2.7479298410443307,-4.206296360786172,-4.9548323296274415
8,-3.9416832707601928,-2.7611276988775315,-4.202464533864977,-4.954867503449402
9,-3.9423250670865544,-2.7694754769473646,-4.192239817123707,-4.9566289597444895
10,-3.9321035784363927,-2.789613705052874,-4.178015467608763,-4.957414381291955
11,-3.925357104778281,-2.8082604853049973,-4.161425558633992,-4.956950066386557
12,-3.914185998491178,-2.8247509573083356,-4.1448685988270855,-4.9555210425366285
13,-3.9023913712152747,-2.8224468797195024,-4.124195015801308,-4.953865588009435
14,-3.889628100944689,-2.8199029113034655,-4.105249323078154,-4.943367088849307
15,-3.8767426939371052,-2.8174050249822606,-4.067091817783485,-4.937536702161459
16,-3.867035755404227,-2.8180140106335654,-4.04611277745292,-4.932519467075573
17,-3.856310140712469,-2.8207282510658827,-4.023020691097782,-4.92548044976662
18,-3.8440977597126498,-2.8364086714354904,-4.001625972637396,-4.917559377554463
19,-3.8305177380494637,-2.852054912644324,-3.9821518554666575,-4.904077572188698
20,-3.8164607095268206,-2.854387367131193,-3.9627787333503948,-4.883656425032031
21,-3.805004603598925,-2.8621208024593403,-3.9400328937330786,-4.871750749927804
22,-3.7921842847728486,-2.882311000684051,-3.915946457433022,-4.858987860872536
23,-3.778216506512334,-2.903737174707153,-3.8937554274891832,-4.843072937598579
24,-3.759107825261255,-2.9133166158631165,-3.869598204546323,-4.830161252242951
25,-3.737246445265969,-2.9247210545760876,-3.845581134091177,-4.81635262292577
26,-3.7175330800499156,-2.9417396784681014,-3.821369171101514,-4.799898572376689
27,-3.696959930520216,-2.952356139345265,-3.7989629673572227,-4.78349507480749
28,-3.6768003934042786,-2.9669432409132033,-3.7761623419271206,-4.769466408155067
29,-3.654409101127088,-2.9812186071750917,-3.7512511795600143,-4.752655004410573
30,-3.6323046554164637,-2.996680807498722,-3.7274226184984247,-4.735744917280637
31,-3.6142556106806896,-3.012562238811024,-3.704374179570558,-4.72058283810744
32,-3.600117340777823,-3.040303649704631,-3.680039449236096,-4.703451703142387
33,-3.580660587545058,-3.0574309562993265,-3.632144366481852,-4.6704993463039814
34,-3.560020131319761,-3.077276526514784,-3.6078024580594317,-4.65331750478661
35,-3.5423358930844264,-3.0984543071950688,-3.5834007259952894,-4.635495403740051
36,-3.5231595510745306,-3.118611878888381,-3.5608051835161003,-4.618744391744804
37,-3.504469058771167,-3.1388492277385316,-3.5370168382581624,-4.6012067108243
38,-3.4864674548532695,-3.1621947026334896,-3.5131951446845417,-4.5830879773405195
39,-3.467877366801131,-3.1838379022240844,-3.4902751664872214,-4.5653564799559865
40,-3.44928727973151,-3.204227132700249,-3.469478373976633,-4.544731121471432
41,-3.4311122280700608,-3.2273208297172875,-3.446741914655556,-4.525809985179722
42,-3.4132359834802872,-3.2489041846273867,-3.424447119473733,-4.507223118895459
43,-3.3947060407327214,-3.2700509002612574,-3.402953412564541,-4.487281848148674
44,-3.3759386169494663,-3.292925670539151,-3.380367051510064,-4.467822643202984
45,-3.3580281823099973,-3.315351744971902,-3.358182131143755,-4.4485297320493755
46,-3.340412054864102,-3.336645398503687,-3.337459986763629,-4.427892006551452
47,-3.323974816003923,-3.360901194000915,-3.3167101161584323,-4.406760316618409
48,-3.3056036218974123,-3.38377591700338,-3.295392688532434,-4.386770628054048
49,-3.287943863364852,-3.405458352834729,-3.2738468438762554,-4.365910394658507
50,-3.2729297158926824,-3.4307335817219684,-3.252674837675409,-4.345980324369246
51,-3.255517030302433,-3.4537119161035275,-3.2317867650025676,-4.32618793638718
52,-3.23834454637563,-3.476869027414785,-3.1905828878729605,-4.282935204005303
53,-3.2280891714240667,-3.50406482971609,-3.1704193228911195,-4.26331922633355
54,-3.21370939463212,-3.528263430618265,-3.14960927452625,-4.241699558137899
55,-3.1974905582191795,-3.553469562372606,-3.130379754486182,-4.218600916199715
56,-3.1837637922896636,-3.578620829106755,-3.112065339733939,-4.1998278304105865
57,-3.1696721615477133,-3.604009636093094,-3.095449550715634,-4.181550668878213
58,-3.1539952714127093,-3.629451315005061,-3.079958776015224,-4.164087196990794
59,-3.139110768432167,-3.6549612106163765,-3.0674233598617175,-4.1487883368168275
60,-3.1261994728497147,-3.6812488536450108,-3.0642106401848177,-4.147551140660276
61,-3.1114432022784193,-3.706774635346236,-3.057874795767128,-4.146879580641582
62,-3.0970112151734797,-3.732886633052887,-3.0505317171262227,-4.151752769696906
