step,ego_x,ego_y,adv_x,adv_y
0,-3.9592944613019987,-2.6317460400592174,-4.312067636954358,-4.8926552533904335
1,-3.9578812060507444,-2.6308328210073912,-4.292610153344786,-4.893216094866294
2,-3.9578802742176267,-2.6308308459448724,-4.273689803038912,-4.895985798898338
3,-3.9578799853324256,-2.630829012954842,-4.251089785274154,-4.8980774575801
4,-3.957879715574312,-2.6308272884257486,-4.23136905209907,-4.898845315019303
5,-3.9578794612670545,-2.6308256526249174,-4.210598664552105,-4.888277679968114
6,-3.9578792196104846,-2.630824089437141,-4.194885587279776,-4.886069604502056
7,-3.95787898831243,-2.630822585674699,-4.174795377672477,-4.882818324749005
8,-3.9578785496261353,-2.6308197152198067,-4.131538239739286,-4.8718750618459294
9,-3.957878354797556,-2.630818342036836,-4.113214794333241,-4.854988592552606
10,-3.9578779298093245,-2.63081674827832,-4.089910039552631,-4.844378050133075
11,-3.9578353263387025,-2.6307723010306114,-4.066960638351929,-4.8363693120570135
12,-3.9577994839946244,-2.6307429673912006,-4.040874486564203,-4.825372799461797
13,-3.9577981970178464,-2.630740765159676,-4.01627185546347,-4.81149207070884
14,-3.9577978698604412,-2.630738713873458,-3.994831032109871,-4.797136033600391
15,-3.9577975690680938,-2.6307368106258693,-3.9689351555173356,-4.784760060553969
16,-3.9577972893541378,-2.630735028507035,-3.9413199425668424,-4.771405346940894
17,-3.957797026890061,-2.6307333454986015,-3.9174088881921882,-4.758867378390713
18,-3.957796778543311,-2.6307317435825945,-3.8922932588085337,-4.74556157248464
19,-3.9577965417498895,-2.6307302080156734,-3.8659461500226113,-4.731219791249124
20,-3.957796314411321,-2.6307287267345765,-3.840855668267093,-4.717361019830687
21,-3.9577960948102517,-2.6307272898693137,-3.817130574708581,-4.701731895690452
22,-3.9577958815412932,-2.630725889344643,-3.7917208981509343,-4.686613553058793
23,-3.9577957067699776,-2.6307245443562293,-3.766371665981273,-4.6714235817701
24,-3.957771805405348,-2.630727200334087,-3.7436096422736953,-4.654538891983763
25,-3.9577081472330886,-2.630660385314427,-3.720773816728899,-4.636235955749244
26,-3.957716022781593,-2.630646791635399,-3.673761538924223,-4.602316534826835
27,-3.957715708549459,-2.6306448142437167,-3.650822571503112,-4.585032251937793
28,-3.9577154177986746,-2.630642971214248,-3.6276428954741484,-4.567835079364194
29,-3.957715146226555,-2.6306412381269695,-3.603464048476733,-4.550046088705211
30,-3.9577148903508443,-2.6306395949959085,-3.579793687751848,-4.532693476861609
31,-3.957714647321293,-2.6306380254669626,-3.5560843083660254,-4.515552750897296
32,-3.9577144148050483,-2.630636516158643,-3.531886552044501,-4.497677273858024
33,-3.9577141908928666,-2.6306350561222143,-3.508472265296938,-4.480005500707735
34,-3.957713974022266,-2.6306336363997143,-3.485417418186094,-4.46305671456637
