step,ego_x,ego_y,adv_x,adv_y
0,-0.9613658527748978,-4.5862448606416875,-3.5377225325080497,-4.803410486069104
1,-0.9613657814551277,-4.5862443776451665,-3.505795953558429,-4.762362323720414
2,-0.9613656199805424,-4.586243412781328,-3.448385624647676,-4.683195693670004
3,-0.9613655380498728,-4.586242929866222,-3.411231684956762,-4.648506394599918
4,-0.9613654554852046,-4.586242446703174,-3.3742649504727624,-4.61675510903073
5,-0.961365372376884,-4.586241963338893,-3.3313969628757722,-4.587943057955394
6,-0.961365288802909,-4.586241479812915,-3.2952839654828296,-4.556733625546928
7,-0.9613652048305866,-4.586240996158619,-3.256670741437597,-4.526664754149472
8,-0.9613651380391517,-4.586240529865114,-3.217846201237897,-4.498429484431525
9,-0.9613650634362696,-4.586240079911886,-3.176290606367474,-4.471211293082584
10,-0.9613649882768411,-4.58623962985409,-3.133400108448364,-4.446888083370101
11,-0.9613649128472628,-4.586239179670028,-3.088060897220743,-4.42543032178386
12,-0.9613648371841722,-4.586238729375618,-3.0429212798368055,-4.407912614041036
13,-0.9613647613181352,-4.586238278984868,-2.9947205098629217,-4.3939337073967115
14,-0.9613646852756916,-4.586237828509932,-2.9510474905037,-4.378948984357701
15,-0.9613646162546171,-4.586237409564009,-2.9011854901456005,-4.366985168877701
16,-0.9613645582252048,-4.586237048340604,-2.8552287732914663,-4.358945781434537
17,-0.9613644998979322,-4.586236686482068,-2.8049294778904064,-4.350475190018388
18,-0.9613644415945346,-4.5862363240970465,-2.7566173521590196,-4.345539348331305
19,-0.9613643818572937,-4.586235969788793,-2.7067461335564382,-4.343291731178962
20,-0.9613643230405245,-4.5862356317123565,-2.6572610299837773,-4.340840008190275
21,-0.9613642669645537,-4.586235292423813,-2.6072611633453624,-4.33697746590927
22,-0.961364210882537,-4.5862349579452975,-2.562110068180185,-4.352804387172841
23,-0.9613641523501504,-4.58623461893297,-2.522374123859736,-4.352830138090657
24,-0.9613640957010094,-4.586234279112385,-2.48498843520588,-4.355380668005958
25,-0.9613639819109845,-4.5862336043832626,-2.44264262701566,-4.354873708583368
26,-0.9613639248776015,-4.586233264204428,-2.435771752351485,-4.353362171059501
27,-0.9613638703888757,-4.5862329437620835,-2.435776754660008,-4.353372397627698
28,-0.9613638165814585,-4.5862326620265685,-2.435776915629629,-4.3533724567794705
29,-0.9613637628838523,-4.586232380222114,-2.435776671480178,-4.353372397573342
30,-0.9613637091238494,-4.586232098499371,-2.4357766204852918,-4.353372871378909
31,-0.9613636553084164,-4.586231816848894,-2.4357766925978868,-4.353372661880952
32,-0.9613635981805108,-4.58623147874712,-2.435776723097577,-4.353372851786242
33,-0.9613635411836164,-4.58623113858734,-2.4357766847628035,-4.35337311506014
34,-0.9613634868347921,-4.586230802810058,-2.4357766897964415,-4.353373549897375
35,-0.9613634318934801,-4.586230519407738,-2.435776590677782,-4.353373741310254
36,-0.9613633782104598,-4.586230237569245,-2.4357766685572533,-4.353373655053384
37,-0.9613633244637758,-4.586229955814791,-2.4357769273282757,-4.353373648789463
38,-0.9613632706599384,-4.586229674134803,-2.435776648713668,-4.353374103865113
39,-0.9613632142512234,-4.586229349017405,-2.4357767018106933,-4.353374124255645
40,-0.9613631596240301,-4.586229013431799,-2.435776706484234,-4.353374171320873
41,-0.9613631007384279,-4.586228673796069,-2.4357766172465682,-4.353374654617512
42,-0.9613630471869677,-4.58622837670318,-2.4357767197546445,-4.353374726921735
43,-0.9613629935163752,-4.586228094830597,-2.435776619898575,-4.353374765716836
44,-0.9613629397836905,-4.5862278130431,-2.435776119956552,-4.353374407693533
45,-0.9613628859920516,-4.5862275313323835,-2.435776665005021,-4.3533751587775615
46,-0.9613628323682648,-4.586227223825243,-2.4357767034711473,-4.35337516748529
47,-0.9613627736062228,-4.5862268842842315,-2.435776674354226,-4.353375408563729
48,-0.9613627165524876,-4.5862265440449645,-2.4357767189199073,-4.353375424749073
49,-0.9613626624846968,-4.586226233889752,-2.4357767659018235,-4.353375544504632
50,-0.9613625550835104,-4.586225670180574,-2.435776756018659,-4.353376160637223
51,-0.9613625013045454,-4.586225388438085,-2.435776732077136,-4.353376116006385
52,-0.9613624460127353,-4.58622509490889,-2.435776738174575,-4.353376452811617
53,-0.9613623895764216,-4.586224754381343,-2.4357767386151914,-4.353376556846694
54,-0.9613623350487229,-4.586224418680399,-2.435759389618076,-4.353377434555876
55,-0.9613622781053658,-4.586224090646027,-2.4357766059226282,-4.353377323981874
56,-0.9613622240661099,-4.586223809081358,-2.4357766067889393,-4.353378043247335
57,-0.961362170362842,-4.586223527224467,-2.435759353691423,-4.35337812757129
58,-0.9613621165969876,-4.586223245449229,-2.435776627955253,-4.35337798140198
59,-0.9613620627754585,-4.586222963746193,-2.4357764793801753,-4.353378419731841
