step,ego_x,ego_y,adv_x,adv_y
0,-0.9613640666483304,-4.586236101752423,-3.537717306993607,-4.803398512271808
1,-0.9613638757097295,-4.586235016595976,-3.537717004193084,-4.8033977359572555
2,-0.9613636840476288,-4.586233931105941,-3.537716700300497,-4.803396960597075
3,-0.9613634919066943,-4.5862328453056405,-3.537716395818681,-4.803396185933257
4,-0.9613632993538348,-4.5862317592354245,-3.5377160908334186,-4.803395411891806
5,-0.9613631064453874,-4.586230672930004,-3.5377157854161596,-4.80339463840734
6,-0.9613629132299045,-4.586229586419069,-3.537715479628309,-4.803393865421167
7,-0.9613627197492303,-4.58622849972799,-3.537715173522634,-4.803393092880596
8,-0.9613625984978268,-4.58622749522589,-3.537714867144452,-4.803392320738321
9,-0.961362475333905,-4.586226670763615,-3.5377145605326654,-4.803391548951871
10,-0.9613623429623107,-4.586225849091078,-3.537714253720657,-4.803390777483121
11,-0.9613622104105363,-4.586225028420832,-3.537713946737042,-4.803390006297839
12,-0.9613619450118522,-4.586223389670992,-3.537713639606344,-4.803389235365298
13,-0.9613618121958394,-4.586222571422813,-3.537713024984676,-4.803387694150906
14,-0.9613616793185857,-4.5862217538268935,-3.537712717527049,-4.803386923822053
15,-0.9613615463901327,-4.586220936817981,-3.53771240998981,-4.803386153651388
16,-0.9613614134189616,-4.586220120337143,-3.537712102384173,-4.803385383620991
17,-0.9613612757789692,-4.58621933194888,-3.5377117947196974,-4.80338461371477
18,-0.9613611676081173,-4.586218693901848,-3.5377115049363597,-4.803383938663183
19,-0.9613610615841569,-4.586218053972221,-3.5377112624260336,-4.803383335395328
20,-0.9613609556207667,-4.586217414224465,-3.5190146030631557,-4.786362283387587
21,-0.9613608497072205,-4.586216774645253,-3.50491080211228,-4.76742049412311
22,-0.9613607438378036,-4.586216135221201,-3.4898529375866656,-4.746967690050672
23,-0.9613606341854424,-4.586215511782163,-3.4693564246503032,-4.727180546645973
24,-0.9613605279964406,-4.586214934418526,-3.4480982030227563,-4.707277720020957
25,-0.9613604280263937,-4.586214346019031,-3.4304797920665213,-4.684592998083938
26,-0.9613603315598274,-4.586213756772351,-3.4107687009014502,-4.662057329421787
27,-0.9613602263176124,-4.586213179584406,-3.390913851870347,-4.641216126601884
28,-0.9613601263847859,-4.586212591634586,-3.3727938238034727,-4.6194851595654285
29,-0.9613600299405579,-4.5862120027920525,-3.3530562456123736,-4.595980239540814
30,-0.9613598248789087,-4.586210838320004,-3.3133024433668634,-4.55473377087936
31,-0.961359728450659,-4.586210249765135,-3.292557351875001,-4.532517403250797
32,-0.9613596233565561,-4.586209673166062,-3.2731692101524783,-4.510399935649505
33,-0.9613595234664092,-4.586209085764446,-3.254522920240594,-4.489270984281521
34,-0.9613594270490138,-4.586208497411539,-3.2340288052983843,-4.467011106833933
35,-0.9613593219953236,-4.586207920983314,-3.213621159314523,-4.444352229511851
36,-0.9613592221164995,-4.586207333738896,-3.1950500863160425,-4.423971924963656
37,-0.9613591257058947,-4.586206745524911,-3.1743231439848527,-4.402726741133567
38,-0.9613590206788533,-4.586206169213111,-3.1527435106331523,-4.379804363319849
39,-0.9613589208067849,-4.586205582074687,-3.1340273168546324,-4.360369341056496
40,-0.9613588243997785,-4.586204993953269,-3.1132316928899018,-4.33997733300782
41,-0.9613587193897082,-4.586204417717747,-3.091666417967184,-4.318408273808123
42,-0.9613586195209567,-4.586203830647663,-3.0713495713344026,-4.298422786956299
43,-0.9613585231150744,-4.58620324258474,-3.0504626247834215,-4.27896976523787
44,-0.9613584181151604,-4.586202666395888,-3.028651540440748,-4.258273159933195
45,-0.9613583182471429,-4.586202079366461,-3.0071326496261466,-4.238003786274018
46,-0.9613582218404749,-4.586201491336983,-2.985846565247621,-4.218061979781306
47,-0.9613581168459046,-4.586200915172978,-2.9641150817467614,-4.19746318805033
48,-0.9613580169766847,-4.586200328163859,-2.942268556820681,-4.176643308388087
49,-0.9613578155751376,-4.586199163994195,-2.9204549713037813,-4.157139954982216
50,-0.9613577157032671,-4.58619857699043,-2.8764867750189773,-4.116379520797363
51,-0.9613576192909902,-4.586197988977515,-2.854404455857752,-4.096347556615615
52,-0.9613575142978867,-4.586197412819221,-2.832637146503091,-4.076251385419674
53,-0.961357414422288,-4.586196825809823,-2.8108681937086013,-4.056017102416818
54,-0.9613573180058049,-4.5861962377884975,-2.788573403664469,-4.035967829092869
55,-0.9613572130105152,-4.586195661618427,-2.7665110624178912,-4.015886272480682
56,-0.9613571131303835,-4.586195074595326,-2.7446863185143617,-3.996211200557637
57,-0.9613570167090553,-4.586194486558293,-2.7220459852803844,-3.9766054469601664
58,-0.9613569117103588,-4.586193910370033,-2.7001889267131785,-3.9586595924873085
59,-0.9613568118250965,-4.586193323327299,-2.679037872079152,-3.940703940134664
60,-0.9613567153984448,-4.586192735269199,-2.6563243504595975,-3.9228957527350117
61,-0.9613566103954734,-4.586192159058034,-2.6339638077792924,-3.9058954162816066
62,-0.9613565105046366,-4.5861915719913116,-2.6142136532631675,-3.8897997030906444
63,-0.9613564140723008,-4.586190983908211,-2.593589111441591,-3.8753365005986864
64,-0.9613563090644311,-4.586190407670669,-2.568614443725818,-3.860623856103379
65,-0.9613562091676893,-4.58618982057676,-2.5480223982980372,-3.846045834860962
66,-0.9613561127293967,-4.586189232465768,-2.5298331120800737,-3.8340432894143737
67,-0.9613560077161865,-4.586188656199298,-2.5039510880542575,-3.8274079189305428
68,-0.9613559078132953,-4.586188069075853,-2.4775318044298027,-3.823572542185096
