step,ego_x,ego_y,adv_x,adv_y
0,-1.2613641634406845,-4.536236612330432,-3.8377172986832244,-4.753398508589371
1,-1.261363972787272,-4.5362355274098745,-3.837716996485664,-4.753397731873259
2,-1.2613637812387586,-4.536234442158261,-3.8377166926784474,-4.753396956346808
3,-1.2613635891975647,-4.536233356579346,-3.8377163882652465,-4.7533961815330334
4,-1.2613633967337319,-4.53623227071558,-3.837716083337073,-4.753395407354896
5,-1.2613632039050668,-4.536231184603665,-3.8377157779670212,-4.753394633745603
6,-1.2613630107613774,-4.5362300982750146,-3.837715472217898,-4.7533938606452
7,-1.2613628173455953,-4.536229011756503,-3.8377151661436746,-4.7533930879998785
8,-1.2613626770407336,-4.53622797222831,-3.837714859790706,-4.753392315761324
9,-1.2613624320686256,-4.536226324274556,-3.837714246402069,-4.753390772335496
10,-1.261362299552093,-4.53622550356528,-3.837713939429826,-4.753390001074349
11,-1.2613621669281387,-4.536224683760041,-3.837713632307149,-4.753389230071365
12,-1.2613620342144727,-4.536223864769167,-3.837713325055529,-4.753388459298383
13,-1.2613619014254895,-4.536223046511771,-3.8377130176933583,-4.753387688730126
14,-1.2613617685733858,-4.5362222289147835,-3.8377127102363637,-4.753386918343905
15,-1.2613616356684825,-4.536221411912193,-3.837712402697985,-4.753386148119346
16,-1.2613615027194995,-4.536220595444386,-3.8377120950896955,-4.753385378038162
17,-1.261361369733791,-4.536219779457517,-3.8377117874212816,-4.75338460808394
18,-1.2613612527603126,-4.536219140947131,-3.8377114874369402,-4.7533839060375165
19,-1.261361146735681,-4.536218501063074,-3.837711244656804,-4.75338330307596
20,-1.26136104077908,-4.536217861361711,-3.8377110022749537,-4.753382699605375
21,-1.2613609348730925,-4.536217221830843,-3.8377107598565305,-4.7533820960688296
22,-1.2613608290119036,-4.536216582456982,-3.8377105174053914,-4.753381492476443
23,-1.2613607200424513,-4.536215951948412,-3.837710274925953,-4.75338088883628
24,-1.2613606125645473,-4.53621537528854,-3.8377100403921287,-4.753380326142122
25,-1.2613605126043288,-4.536214786933282,-3.8188106765379746,-4.738011809743776
26,-1.261360310914938,-4.536213620594198,-3.7898102037841084,-4.7023962072829555
27,-1.2613602109939293,-4.5362130326949925,-3.767088527679175,-4.6894560114165955
28,-1.2613601145618507,-4.536212443904523,-3.7410364121181914,-4.6801479898257154
29,-1.2613600094167488,-4.536211867115498,-3.7243804538830045,-4.665339096550121
30,-1.2613599095214285,-4.536211279542569,-3.7028781848071035,-4.64525864757676
31,-1.261359813105539,-4.536210691044189,-3.6821862360451076,-4.624604008659434
32,-1.26135970802155,-4.536210114503502,-3.663793964824683,-4.6059021682621175
33,-1.2613596081438743,-4.536209527160975,-3.6421613450259738,-4.586318641784606
34,-1.2613595117390146,-4.536208938867814,-3.619321316610366,-4.564698347799697
35,-1.2613594066961906,-4.536208362500772,-3.6000584429673212,-4.546775603899726
36,-1.2613593068300535,-4.5362077753180925,-3.57833929729261,-4.528497852237818
37,-1.261359210432123,-4.536207187166257,-3.5554535599718227,-4.50893566449187
38,-1.2613591054164737,-4.536206610917715,-3.5333580240626405,-4.491343239364091
39,-1.2613590055572568,-4.53620602384298,-3.5109265791403312,-4.473726682853323
40,-1.261358909163038,-4.5362054357854795,-3.487888992062402,-4.454666398032646
41,-1.2613588041647295,-4.5362048596147435,-3.4648664783831893,-4.435776448498866
42,-1.2613587043089547,-4.536204272609788,-3.4420396641151925,-4.417870955571964
43,-1.2613586079159462,-4.53620368461208,-3.418908238437317,-4.399076173933557
44,-1.261358502928055,-4.536203108489141,-3.395731659761942,-4.379881531386442
45,-1.2613584030731084,-4.5362025215259,-3.372616253152773,-4.361786349739751
46,-1.2613583066793836,-4.5362019335626,-3.348889905784068,-4.343647815911703
47,-1.2613582016970206,-4.536201357465345,-3.325628860710364,-4.325144714461893
48,-1.2613581018409417,-4.536200770523195,-3.301788024839316,-4.306969629465985
49,-1.2613579004647284,-4.536199606487776,-3.2548182152359417,-4.269994418433555
50,-1.261357800606054,-4.536199019551552,-3.2306588737699915,-4.2523662410866105
51,-1.261357704206814,-4.53619843160604,-3.205780959327868,-4.236206971498949
52,-1.2613575992261405,-4.536197855515572,-3.182038304213521,-4.219324620281926
53,-1.2613574993637786,-4.536197268574141,-3.157814284056377,-4.20128391371556
54,-1.2613574029603634,-4.536196680620601,-3.130991550443628,-4.192396161306228
55,-1.2613572979775687,-4.536196104518693,-3.1076231098417777,-4.181339640213571
56,-1.2613571981107043,-4.536195517563868,-3.083252386183399,-4.166890057594754
57,-1.261357101702471,-4.536194929594904,-3.0577126076860894,-4.151247468359141
58,-1.2613569967163174,-4.536194353475055,-3.0345999618838095,-4.136476169856849
59,-1.2613568968443445,-4.5361937665008325,-3.0098115387110624,-4.1219972612497555
60,-1.261356800430804,-4.536193178511015,-2.9831159971132313,-4.106280997307626
61,-1.2613566954404094,-4.536192602368446,-2.9587112612987414,-4.0914788664007995
62,-1.2613565955628803,-4.536192015370407,-2.93358372327695,-4.0767332481438965
63,-1.2613564991436697,-4.536191427355744,-2.9070851096961525,-4.061333243394913
64,-1.2613563941484025,-4.536190851186938,-2.8814623180122068,-4.046070562800236
65,-1.2613562942649819,-4.536190264161843,-2.8561751513600124,-4.031135597838384
66,-1.2613561978398278,-4.536189676119404,-2.830057946594475,-4.01558219813688
67,-1.2613560928392378,-4.536189099921775,-2.80379100751986,-3.9999711353527703
68,-1.2613559929496778,-4.536188512867239,-2.7785980862653448,-3.985006061054061
69,-1.2613558965183753,-4.536187924794874,-2.75254988835697,-3.9695989954307733
70,-1.261355791512137,-4.536187348566521,-2.7257088728426573,-3.953833907688068
71,-1.2613556916162545,-4.536186761480798,-2.7009494656276902,-3.9392527301932856
72,-1.2613555951786515,-4.5361861733769295,-2.6748149354443638,-3.924555492393616
73,-1.2613554901665345,-4.536185597116451,-2.6481792943570763,-3.909140723113108
74,-1.2613552938201766,-4.536184421861717,-2.5988205640038102,-3.8839297800114108
75,-1.2613551888020125,-4.536183845568084,-2.572068677488168,-3.870374501441845
76,-1.2613550888931153,-4.53618325841647,-2.5465869757067976,-3.8595202654437175
77,-1.261354992442597,-4.536182670246421,-2.51961661945326,-3.8523420930846863
78,-1.261354887418267,-4.536182093918881,-2.4926058747227717,-3.842941158031644
79,-1.2613547875027373,-4.536181506733154,-2.4661904361895606,-3.8327636808685686
80,-1.2613546910456563,-4.536180918528961,-2.4385847964192613,-3.824450376504863
81,-1.2613545860150719,-4.536180342166956,-2.4091814853527196,-3.8129736745234077
82,-1.261354486092856,-4.536179754946611,-2.3822826413329503,-3.8032378528902107
83,-1.261354389629165,-4.536179166707814,-2.3538084117908906,-3.793078914725393
84,-1.2613542845922625,-4.536178590310935,-2.3271066328829866,-3.7835823115154046
85,-1.261354184663317,-4.536178003055594,-2.3014247638573,-3.7742222906466716
86,-1.261354088192982,-4.536177414781851,-2.2726171215985835,-3.7650147021786626
87,-1.2613539831497182,-4.5361768383497925,-2.247555347871267,-3.757782379381914
88,-1.2613538832140139,-4.536176251059182,-2.2261472723923825,-3.7499142535079786
89,-1.2613537867370077,-4.53617566275025,-2.2012068116993286,-3.7451340899294183
90,-1.2613536816873476,-4.536175086282793,-2.1742053803298886,-3.740345299402841
91,-1.2613535817448627,-4.536174498956707,-2.149960167297932,-3.7358375191351016
92,-1.2613534852611656,-4.536173910612393,-2.124747947982243,-3.734683212977352
93,-1.2613532802558018,-4.536172746747664,-2.0698560398475854,-3.738163585883829
94,-1.2613531837653997,-4.5361721583678385,-2.0419067155866886,-3.7385388389343137
95,-1.2613530787028815,-4.5361715818291355,-2.0139713683115215,-3.7448388569876525
96,-1.261352978746788,-4.536170994431689,-1.9870363307535095,-3.7454518323521224
97,-1.2613528822496702,-4.536170406016252,-1.9573753795737467,-3.7446745578927567
98,-1.2613527771807007,-4.536169829441776,-1.9286349369572786,-3.747318077641588
99,-1.2613526772177865,-4.53616924200851,-1.9013518963544869,-3.748594940332974
100,-1.2613525807139452,-4.536168653557385,-1.873667721585212,-3.749636964405881
101,-1.261352475638515,-4.536168076947069,-1.844800690791591,-3.7534020161907735
102,-1.2613523756687748,-4.536167489477924,-1.8196520691520057,-3.7544118306247736
103,-1.2613522791582037,-4.536166900991055,-1.7952790531673735,-3.7560894750779505
104,-1.2613521740763058,-4.536166324344846,-1.7688145057966027,-3.760673419791004
105,-1.2613520740997344,-4.536165736839773,-1.7424242352437556,-3.7658337535201123
106,-1.2613519775824267,-4.536165148317117,-1.7269738768074758,-3.774299837925595
107,-1.2613518724940556,-4.5361645716349805,-1.7111108413171785,-3.788048850223335
108,-1.261351772510646,-4.53616398409395,-1.6860002691955254,-3.794876537708785
