step,ego_x,ego_y,adv_x,adv_y
0,-0.8613672881243306,-4.586246306332414,-2.700003145747175,-1.5000109819839704
1,-0.8613671196322724,-4.586245506967121,-2.700003322211501,-1.5000120645341708
2,-0.861366968385354,-4.5862447457971225,-2.7000034995195117,-1.5000131477272953
3,-0.8613668400308635,-4.586244091122083,-2.70000367732882,-1.500014231508867
4,-0.8613667113199989,-4.58624343830308,-2.700003855568432,-1.5000153158027536
5,-0.861366583453345,-4.58624278727255,-2.700004034179255,-1.5000164005429963
6,-0.8613664713949031,-4.586242224369956,-2.700004213110382,-1.5000174856726916
7,-0.8613663669149153,-4.58624172177279,-2.7000043923179495,-1.5000185711427547
8,-0.8613662632325416,-4.586241219642361,-2.7000045717641745,-1.5000196569108528
9,-0.8613661603092745,-4.586240717993706,-2.700004725822281,-1.5000207244146864
10,-0.8613660580640132,-4.586240216774753,-2.7000048077541097,-1.5000215520498006
11,-0.8613659564242305,-4.586239715938949,-2.700004929303972,-1.5000223731116094
12,-0.8613658553251359,-4.586239215444672,-2.70000505118364,-1.5000231931662402
13,-0.8613656545236621,-4.586238215335774,-2.700005295232056,-1.500024830738835
14,-0.8613655547233814,-4.586237715658121,-2.7000054173702637,-1.5000256484200414
15,-0.8613654552667417,-4.586237216195146,-2.7000055395686373,-1.5000264654604007
16,-0.861365356116879,-4.586236716923061,-2.7000056618175337,-1.500027281923312
17,-0.8613652572408614,-4.586236217820594,-2.700005784108794,-1.5000280978661302
18,-0.8613651586092694,-4.586235718868725,-2.700005901961187,-1.500028747585598
19,-0.8613650601958225,-4.586235220050449,-2.700005999208504,-1.5000293873053268
20,-0.8613649619770394,-4.586234721350561,-2.70000609643106,-1.500030026797753
21,-0.8613648639319471,-4.586234222755462,-2.700006193647197,-1.500030666078637
22,-0.8613647660418087,-4.586233724252995,-2.7000062908569538,-1.5000313051656713
23,-0.8613646682898844,-4.586233225832287,-2.7000063880604306,-1.5000319440753966
24,-0.861364570661223,-4.586232727483616,-2.7000064816952256,-1.5000325306906186
25,-0.861364473142465,-4.586232229198291,-2.7000065794543806,-1.5000331078325422
26,-0.8613643757216759,-4.5862317309685325,-2.7000066716498208,-1.5000336956266689
27,-0.861364278388196,-4.586231232787395,-2.700006760333517,-1.500034284227569
28,-0.8613641811325016,-4.586230734648661,-2.7000068579722942,-1.5000348608788336
29,-0.8613640839460842,-4.586230236546768,-2.7000069501363186,-1.500035448214697
30,-0.8613639868213446,-4.5862297384767485,-2.7000070388006083,-1.500036036404184
31,-0.8613638897514921,-4.586229240434159,-2.700007136360758,-1.5000366127021891
32,-0.8613637927304613,-4.586228742415021,-2.70000722850262,-1.5000371997104747
