step,ego_x,ego_y,adv_x,adv_y
0,-0.861367435414177,-4.586247082705009,-3.4247784677750017,-4.776162810535343
1,-0.8613672671380246,-4.586246283552462,-3.412721732322898,-4.748038915983884
2,-0.8613671246251091,-4.586245551526008,-3.4025007944001704,-4.722032646586841
3,-0.8613669954862918,-4.586244897308716,-3.391746187873277,-4.694473225628316
4,-0.8613668669951738,-4.586244245084747,-3.3802269453414207,-4.666313551331214
5,-0.8613667424633664,-4.586243608024977,-3.3808868802633825,-4.682354756701983
6,-0.8613666318575683,-4.586243061385655,-3.3856670989387094,-4.6977723308857655
7,-0.861366527552626,-4.58624255902222,-3.389829291740504,-4.720988319694266
8,-0.8613664240672532,-4.586242057177381,-3.388600654145876,-4.749317434101339
9,-0.8613663213235363,-4.58624155580205,-3.3894659753935636,-4.7705253552460745
10,-0.8613662192421839,-4.586241054845452,-3.397945540365866,-4.789240080512765
11,-0.8613661177523381,-4.586240554262197,-3.413348157662822,-4.805601110564902
12,-0.8613660167906975,-4.586240054011698,-3.4285625636804786,-4.82122461156548
13,-0.8613659163007127,-4.586239554057661,-3.438163960938551,-4.831487632344202
14,-0.8613658162318654,-4.586239054367644,-3.4412207632880714,-4.838095401066042
15,-0.8613657165390265,-4.586238554912632,-3.4477536537228404,-4.8472899878215205
16,-0.8613656171818804,-4.586238055666683,-3.4533289153120195,-4.854861779044916
17,-0.8613654193344402,-4.586237057711656,-3.46069392517122,-4.864008457260589
18,-0.8613653207832299,-4.586236558963293,-3.4681529324891716,-4.8672523210785235
19,-0.8613652224451004,-4.586236060344932,-3.4712212256963535,-4.870515570670107
20,-0.8613651242971142,-4.586235561841748,-3.4745966682194163,-4.87680510220499
21,-0.8613650263187794,-4.586235063440482,-3.476474255321156,-4.881218723174135
22,-0.86136492849179,-4.586234565129279,-3.474409390282661,-4.885426946535029
23,-0.861364830799792,-4.586234066897538,-3.469554527167772,-4.889624364450099
24,-0.8613647332281754,-4.586233568735781,-3.4613512865559426,-4.894301143340315
25,-0.8613646357638906,-4.58623307063553,-3.450053887003205,-4.900897569476269
26,-0.8613645383952775,-4.586232572589209,-3.4402515697453575,-4.910185262860927
27,-0.8613644411119206,-4.586232074590039,-3.4299017361472854,-4.915881210977034
28,-0.8613643439045153,-4.586231576631959,-3.4138210731793532,-4.926431325645832
29,-0.8613642467647503,-4.586231078709545,-3.392026243035132,-4.939775385645294
30,-0.8613641496851994,-4.586230580817956,-3.3735744356356268,-4.95030169788293
31,-0.8613640526592286,-4.586230082952855,-3.361589687899131,-4.958347920912744
32,-0.8613639556809122,-4.586229585110368,-3.3493242250456388,-4.971063282302509
33,-0.8613638587449576,-4.586229087287031,-3.335827810697543,-4.983613085655938
34,-0.8613637618466331,-4.586228589479741,-3.321138132963095,-4.996020131856317
35,-0.8613636649817165,-4.58622809168573,-3.3028563278655634,-5.014245457245279
36,-0.861363568146431,-4.586227593902517,-3.2825683442731144,-5.032437653595797
37,-0.8613634713374062,-4.586227096127884,-3.2672102209967564,-5.044665479744733
38,-0.8613633745516303,-4.586226598359851,-3.254674474524056,-5.063562108850748
39,-0.8613632777864123,-4.586226100596645,-3.240738276895025,-5.085257252862653
40,-0.8613631810393474,-4.586225602836679,-3.2254120289604504,-5.105661875299385
41,-0.8613630843082899,-4.586225105078538,-3.214112042718779,-5.128550036653401
42,-0.861362987591321,-4.5862246073209505,-3.209779063860303,-5.156420786217971
43,-0.8613628908867259,-4.5862241095627825,-3.200561932367507,-5.17883727469354
44,-0.861362794192975,-4.586223611803022,-3.187236070623853,-5.202605710672125
45,-0.8613626975086998,-4.586223114040761,-3.1738966542889258,-5.227783530979809
46,-0.861362600832679,-4.58622261627519,-3.1608232430274494,-5.249856735104983
47,-0.8613625041638211,-4.58622211850558,-3.148770893472785,-5.272945574844282
48,-0.8613624075011506,-4.586221620731283,-3.137360705139994,-5.299799558164491
49,-0.86136221419098,-4.58622062516637,-3.1135546278029698,-5.349911195473361
50,-0.8613621175420078,-4.586220127374771,-3.1025335771706453,-5.376992225782993
51,-0.8613620208962569,-4.586219629576503,-3.0911953013529767,-5.404203492211455
52,-0.8613619242531741,-4.5862191317711964,-3.0830201777930526,-5.429096999223126
53,-0.8613618276122631,-4.586218633958519,-3.078461654128142,-5.456844975310683
54,-0.8613617309730808,-4.586218136138177,-3.0721206682921176,-5.484269329723025
55,-0.8613616343352319,-4.586217638309899,-3.0641654972921084,-5.510582727913676
56,-0.8613615376983633,-4.58621714047345,-3.063274597484418,-5.539384559425466
57,-0.861361441062159,-4.586216642628619,-3.059737834354544,-5.566693183944552
58,-0.8613613444263366,-4.586216144775214,-3.0523474956329557,-5.594401113430487
59,-0.8613612477906455,-4.586215646913065,-3.048244639286732,-5.623349117662999
60,-0.8613611511548606,-4.5862151490420136,-3.04419319096957,-5.651355778238667
61,-0.8613610545187788,-4.58621465116193,-3.0381026180649666,-5.679246318394782
62,-0.8613609578822223,-4.5862141532726906,-3.0319084527722806,-5.708823074378456
63,-0.8613608612450308,-4.586213655374188,-3.025563492162757,-5.736506577099189
64,-0.8613607646070585,-4.586213157466316,-3.0202669599472065,-5.760964964338142
65,-0.8613606679681798,-4.586212659548997,-3.015706176126613,-5.784647592400934
66,-0.8613605713282799,-4.586212161622152,-3.0112291653560512,-5.805890934631814
67,-0.8613604746872555,-4.5862116636857095,-3.0087061608701244,-5.806353886819192
68,-0.8613603780450163,-4.586211165739603,-3.005206778608494,-5.803661035440495
69,-0.8613602814014804,-4.5862106677837815,-3.0005918970634173,-5.802149739132952
70,-0.8613601847565748,-4.586210169818193,-2.9959459950177196,-5.799576558700539
71,-0.8613600881102347,-4.586209671842794,-2.989137234054086,-5.7919732071189935
72,-0.861359991462401,-4.586209173857542,-2.976897629188369,-5.776878479934464
73,-0.8613598948130226,-4.586208675862402,-2.963333849562516,-5.754796711910526
74,-0.8613597981620532,-4.586208177857342,-2.954652496063506,-5.753145854421441
75,-0.8613597015094505,-4.586207679842331,-2.949217857293663,-5.7565337307008155
76,-0.8613596048551783,-4.586207181817344,-2.9430162063388514,-5.76425048411861
77,-0.8613595081992028,-4.5862066837823585,-2.9442247683842906,-5.7777255222927915
78,-0.8613593148820278,-4.586205687682311,-2.9571361438793335,-5.8082333571110905
79,-0.8613592182207777,-4.586205189617212,-2.9539638906964094,-5.8106118101956925
80,-0.8613591215577231,-4.586204691542043,-2.9504253056487255,-5.811740084056219
81,-0.861359024892846,-4.5862041934567905,-2.9453293114410144,-5.81151751516952
82,-0.861358928226129,-4.586203695361442,-2.942061314919182,-5.808040380836643
83,-0.8613588315575573,-4.58620319725599,-2.943200222732065,-5.803684374309962
84,-0.8613587348871167,-4.586202699140421,-2.943993966446416,-5.804290269764534
85,-0.8613586382147965,-4.5862022010147285,-2.9439995705230144,-5.804285850876772
86,-0.8613585415405851,-4.5862017028789035,-2.943997712151298,-5.804286225641121
87,-0.8613584448644731,-4.586201204732939,-2.9439939804651543,-5.804287762265906
88,-0.8613583481864516,-4.58620070657683,-2.9439897363855585,-5.804289623317497
89,-0.861358251506513,-4.5862002084105695,-2.9439862798513388,-5.804290657478928
90,-0.8613581548246508,-4.586199710234153,-2.9439875472569876,-5.804290409499795
91,-0.8613580581408583,-4.586199212047573,-2.9439880064181683,-5.8042902693964376
92,-0.8613579614551308,-4.5861987138508296,-2.9439881042444203,-5.804290183213631
93,-0.8613578647674627,-4.586198215643917,-2.9439881555472858,-5.804290179508803
94,-0.86135776807785,-4.586197717426833,-2.9439881779076993,-5.804290194405111
95,-0.8613576713862879,-4.586197219199571,-2.94398792706418,-5.804290276077457
96,-0.861357574692774,-4.586196720962132,-2.9439872791502744,-5.80429053001503
97,-0.8613574779973041,-4.586196222714513,-2.9439866133476684,-5.80429081859969
98,-0.861357381299876,-4.586195724456709,-2.9439859734914795,-5.804291085692811
99,-0.8613572846004872,-4.58619522618872,-2.9439853436754233,-5.804291345372162
100,-0.8613571878991351,-4.586194727910544,-2.943985200063988,-5.804291367050869
101,-0.8613570911958177,-4.586194229622179,-2.9439850007958017,-5.804291428059028
102,-0.8613569944905338,-4.586193731323624,-2.943984788193358,-5.804291502835398
103,-0.861356897783281,-4.5861932330148765,-2.943984571193729,-5.804291581884224
104,-0.8613568010740582,-4.586192734695935,-2.9439843525407197,-5.804291662341864
105,-0.8613567043628638,-4.586192236366798,-2.9439841331086347,-5.804291743329208
106,-0.861356607649697,-4.586191738027467,-2.9439839132028447,-5.8042918245664845
107,-0.8613565109345563,-4.586191239677938,-2.9439836929466394,-5.804291905967763
108,-0.8613563174983505,-4.58619024294829,-2.9439832516355238,-5.8042920690950845
109,-0.8613562207772835,-4.586189744568165,-2.9439830306696355,-5.804292150781763
110,-0.8613561240542398,-4.586189246177843,-2.943982809542901,-5.804292232532962
111,-0.8613560273292186,-4.586188747777316,-2.9439825882832573,-5.8042923143408665
112,-0.8613559306022186,-4.5861882493665895,-2.943982366907531,-5.804292396206494
113,-0.8613558338732402,-4.586187750945659,-2.943982145434505,-5.804292478115856
114,-0.8613557371422832,-4.586187252514527,-2.943981923883774,-5.804292560060523
115,-0.8613556404093462,-4.58618675407319,-2.9439817022719557,-5.804292642034279
116,-0.861355543674429,-4.586186255621651,-2.9439814806131572,-5.804292724031985
117,-0.8669272028290335,-4.585802770089628,-2.9439812589194214,-5.8042928060492915
118,-0.8698216551247547,-4.585939675837595,-2.9439810372010524,-5.804292888082497
119,-0.8724662562095316,-4.586438304368497,-2.9439808154668694,-5.804292970128445
120,-0.8748623886942031,-4.587260959795363,-2.943980593724425,-5.804293052184437
121,-0.8769792619465129,-4.588372161286106,-2.9439803719809183,-5.804293134251718
122,-0.878788893887745,-4.589730813383639,-2.9439801502200975,-5.804293216342386
123,-0.88027669120002,-4.591266336366373,-2.943979928435069,-5.804293298451288
124,-0.8804723031568868,-4.59291536204953,-2.9439797066319726,-5.8042933805758254
125,-0.8802215246535988,-4.593887341613871,-2.9439794848158978,-5.804293462714208
126,-0.8800491237699828,-4.594509861615272,-2.943979262991008,-5.804293544864941
127,-0.8802108500651045,-4.595210475499158,-2.943979041160795,-5.80429362702656
128,-0.8804280631740143,-4.595726043331526,-2.9439788193283434,-5.804293709197949
129,-0.8808943159520602,-4.5961555815282065,-2.9439785974962964,-5.804293791378154
130,-0.8813827653548393,-4.5964475342734294,-2.9439783756669247,-5.8042938735663565
131,-0.8809002244364035,-4.596523899283356,-2.943978153842172,-5.804293955761865
132,-0.8809006581862255,-4.596524060862964,-2.9439779320237007,-5.80429403796408
133,-0.8809009209997526,-4.596523368172743,-2.9439777102129416,-5.804294120172495
134,-0.8809011100476918,-4.596522636983521,-2.9439774884111163,-5.804294202386676
135,-0.8809014321518908,-4.59652155615862,-2.9439772666192745,-5.8042942846062475
136,-0.8809016459381067,-4.596520783547931,-2.943977044838311,-5.804294366830897
137,-0.8809017983161057,-4.596520268275023,-2.9439768230689927,-5.804294449060351
138,-0.8809019705136478,-4.596519756074546,-2.9439766013239357,-5.804294531304942
139,-0.8809021436094814,-4.596519243243576,-2.943976379620682,-5.804294613550949
140,-0.8809022482171528,-4.59651872291146,-2.943976157963501,-5.804294695790941
141,-0.8809024682944282,-4.596518237856729,-2.9439759363544122,-5.804294778023191
142,-0.8809027230563962,-4.59651722575476,-2.943975493284532,-5.804294942461869
143,-0.8827845807514765,-4.596973388143885,-2.9439752718250696,-5.804295024667621
144,-0.8836556117621182,-4.596966305129643,-2.9439750504167357,-5.804295106864219
145,-0.8843947621616269,-4.596147660601989,-2.9439748290598713,-5.8042951890513645
146,-0.8852027488361841,-4.595222464449674,-2.9439746077547992,-5.8042952712288365
147,-0.8862979478211811,-4.593491869716478,-2.943974386501834,-5.804295353396506
148,-0.8882321547419576,-4.591243281470698,-2.9439741653012472,-5.804295435554251
149,-0.8909056638756194,-4.589834956902281,-2.9439739441532735,-5.804295517701971
150,-0.8939259097151019,-4.59001170306177,-2.9439737230581144,-5.804295599839571
151,-0.8966030356910188,-4.5906186131635565,-2.943973502015948,-5.804295681966973
152,-0.897044434742355,-4.591887328229389,-2.943973281026928,-5.804295764084111
153,-0.8962049245681298,-4.595246984689178,-2.943973060091186,-5.804295846190923
154,-0.8945645833031138,-4.600005231619454,-2.9439728392088313,-5.804295928287358
155,-0.8960367676595834,-4.6044295374263715,-2.9439726183799673,-5.804296010373371
156,-0.8977969105609135,-4.607061615606183,-2.943972397619942,-5.804296092430394
157,-0.8996310923236216,-4.612557969028891,-2.9439721769457816,-5.80429617445618
158,-0.9056957469410964,-4.622059656964929,-2.9439719563398024,-5.804296256469621
159,-0.9133927844996034,-4.635530529970119,-2.9439717357948942,-5.804296338476839
160,-0.9217264595626982,-4.651322529944205,-2.9439715153074686,-5.804296420480281
161,-0.928373348494181,-4.667081490959084,-2.9439712948750754,-5.804296502481337
162,-0.9330078770277458,-4.681530327063275,-2.943971074495787,-5.804296584481116
163,-0.9356612985400249,-4.692932618685182,-2.943970854168162,-5.804296666480707
164,-0.9356873862980285,-4.693645838777897,-2.943970633890532,-5.804296748480562
165,-0.9356854291967555,-4.693643674783659,-2.9439704136615523,-5.804296830481383
166,-0.9356862093643318,-4.693643505365976,-2.943970193480051,-5.804296912483777
167,-0.9356869956855492,-4.693643348134593,-2.9439699733449953,-5.804296994488277
168,-0.9356877842824729,-4.693643188686028,-2.9439697532554656,-5.804297076495363
169,-0.9356884316265462,-4.693643305183186,-2.9439695331908116,-5.804297158462899
170,-0.9356889485806806,-4.693643254011172,-2.9439693131423343,-5.804297240440603
171,-0.9356894541805957,-4.693643183559811,-2.9439690931297484,-5.804297322471413
172,-0.9356899291702738,-4.693643118915927,-2.9439688731608658,-5.804297404534442
173,-0.9356908426039161,-4.693643029191499,-2.943968433379422,-5.804297568706383
174,-0.9369920452141339,-4.700388551703589,-2.943968213574031,-5.804297650801324
175,-0.9375428006198072,-4.7044915723987515,-2.9439679938278833,-5.804297732897358
176,-0.9379792696434784,-4.707549838107976,-2.9439677741417296,-5.804297814992642
177,-0.9390255413149957,-4.708543449936209,-2.943967554515897,-5.804297897086112
178,-0.9406167899912936,-4.708951042866367,-2.9439673349504734,-5.804297979177159
179,-0.9436028062106643,-4.708738132739808,-2.9439671154454183,-5.804298061265453
180,-0.9487471184186302,-4.70795457381869,-2.943966896000617,-5.80429814335083
181,-0.9542815991783684,-4.7071807949479,-2.943966676615932,-5.804298225433213
182,-0.9596267607359915,-4.706710769039839,-2.9439664572912068,-5.804298307512583
183,-0.9614611629895904,-4.707934728372516,-2.9439662380262908,-5.804298389588944
184,-0.9588390150528351,-4.711852354108013,-2.9439660188210386,-5.804298471662316
185,-0.9589860433477913,-4.71624289692705,-2.943965799675321,-5.804298553732728
186,-0.9588823929630053,-4.719665327586442,-2.943965580589013,-5.804298635800212
187,-0.9584093991327126,-4.724369435433768,-2.943965361562006,-5.804298717864799
188,-0.9562574891750444,-4.735322953935813,-2.9439651425942013,-5.804298799926515
189,-0.9505065420625896,-4.752058869946399,-2.943964923685507,-5.80429888198539
190,-0.9433331617303445,-4.767964431108647,-2.9439647048358424,-5.8042989640414415
191,-0.9347796325924199,-4.783241083861287,-2.9439644860451324,-5.8042990460947
192,-0.925799896043837,-4.797102593236793,-2.943964267313307,-5.8042991281451775
193,-0.9160351436437497,-4.809960111247357,-2.9439640486403222,-5.804299210192909
194,-0.9148184474563598,-4.811313924344957,-2.943963830026194,-5.804299292237916
195,-0.9148187456700477,-4.811314252269063,-2.9439636114708434,-5.80429937428021
196,-0.914818999066188,-4.811314566816142,-2.9439633929742137,-5.804299456319793
197,-0.9148192643195777,-4.811314887336944,-2.9439631745362664,-5.804299538356676
198,-0.9148195402972323,-4.811315212161249,-2.943962956156956,-5.804299620390861
199,-0.9148198083601462,-4.811315610123264,-2.943962737836247,-5.804299702422356
200,-0.9148201253731141,-4.811315978548346,-2.9439625195741015,-5.804299784451164
201,-0.9148204558521965,-4.811316353262503,-2.943962301370486,-5.804299866477289
202,-0.914821147463009,-4.811317120543053,-2.9439618651387116,-5.804300030521533
203,-0.9040199068684018,-4.823391134266488,-2.94396164711049,-5.804300112539657
204,-0.8934915000209689,-4.833838066764643,-2.9439614291406695,-5.804300194555126
205,-0.8907873830634551,-4.8363372261874895,-2.9439612112292224,-5.804300276567941
206,-0.8907452153024562,-4.836424935705094,-2.943960993376124,-5.804300358578105
207,-0.8907215665755094,-4.836763426282998,-2.943960775581347,-5.804300440585623
208,-0.8909038810685923,-4.8371508945428685,-2.9439605578448607,-5.804300522590499
209,-0.8913239161238979,-4.837629560664009,-2.9439603401666403,-5.8043006045927354
210,-0.8917820112389561,-4.838273950246571,-2.943960122546661,-5.804300686592335
211,-0.8922084002731802,-4.839046750165621,-2.943959904984897,-5.8043007685893
212,-0.8927146394033505,-4.840001980854159,-2.9439596874813243,-5.804300850583639
213,-0.893526435167488,-4.841206090321904,-2.9439594700359173,-5.804300932575345
214,-0.8943724907201605,-4.843118933359286,-2.943959252648653,-5.804301014564431
215,-0.8959330110366486,-4.846288335101387,-2.9439590353195064,-5.804301096550893
216,-0.8956159755180331,-4.849443761800669,-2.9439588180484533,-5.804301178534736
217,-0.8942941582360909,-4.852292081376816,-2.9439586008354692,-5.80430126051596
218,-0.8903663423260615,-4.855760884585993,-2.943958383680534,-5.804301342494575
219,-0.8901528345068572,-4.8558292966122725,-2.9439581665836205,-5.804301424470571
220,-0.8901572464858232,-4.8558359348922036,-2.9439579495447075,-5.804301506443957
221,-0.8901574687652635,-4.855837598267364,-2.943957732564098,-5.804301588416052
222,-0.8901583773338696,-4.8558394584688065,-2.943957515642142,-5.804301670391495
223,-0.8901592471362769,-4.855841206798026,-2.9439572987783933,-5.80430175236896
224,-0.890160068533891,-4.855842861790907,-2.9439570819732226,-5.804301834347026
225,-0.8901608496618321,-4.855844439745055,-2.9439568652269554,-5.804301916324916
226,-0.8901615976277715,-4.855845954181801,-2.943956648539763,-5.804301998302228
227,-0.8901623182929586,-4.855847416244496,-2.943956431911715,-5.8043020802787595
228,-0.8901630164808447,-4.855848835114894,-2.943956215342824,-5.8043021622544035
229,-0.8901636961606979,-4.855850218359039,-2.9439559988330766,-5.804302244229118
230,-0.8901650124841772,-4.855852901813323,-2.943955565990901,-5.804302408175681
231,-0.8887827031048423,-4.857568162905104,-2.9439553496584097,-5.804302490147525
232,-0.8853599619210426,-4.859809663178662,-2.943955133384932,-5.804302572118412
233,-0.8831356133407218,-4.860976336437838,-2.943954917170437,-5.804302654088347
234,-0.8820789670060503,-4.861245446022662,-2.943954701014891,-5.804302736057336
235,-0.8817481369703783,-4.860372100981694,-2.943954484918261,-5.80430281802538
236,-0.8814486452538703,-4.85948413928346,-2.9439542688805145,-5.804302899992484
237,-0.8809890899182514,-4.858318359427921,-2.9439540529016237,-5.804302981958649
238,-0.8801842109513163,-4.855966944886475,-2.9439538369815597,-5.804303063923881
239,-0.8780262349727677,-4.852568919428225,-2.9439536211202912,-5.80430314588818
