step,ego_x,ego_y,adv_x,adv_y
0,-0.7482360663747712,-6.557627355719951,-0.8292203629762075,-3.352146153991162
1,-0.7501355582829532,-6.562577928916039,-0.8292193953181554,-3.3521466368948967
2,-0.7614166389244221,-6.545579466879193,-0.8292184279893384,-3.3521471207997706
3,-0.7780541358911508,-6.52340871378758,-0.829217460739788,-3.352147605156454
4,-0.7877558862792855,-6.508026182334737,-0.8292164935589289,-3.352148089898618
5,-0.7815538571773297,-6.491499883725532,-0.829215526438744,-3.352148574973039
6,-0.772495752538239,-6.467707296989967,-0.8292145593716589,-3.352149060334093
7,-0.7589300677231292,-6.443590839537815,-0.8292135923505434,-3.3521495459426545
8,-0.7514942602951302,-6.429419176052714,-0.8292127787270477,-3.3521498764023483
9,-0.7451553022888076,-6.414074115207474,-0.8292120528400819,-3.3521502236034855
10,-0.7456893087420017,-6.413170044057903,-0.8292113287589366,-3.3521505713787794
11,-0.7457205699046936,-6.4132143699941775,-0.8292106058332348,-3.3521509188996186
12,-0.7457497348977096,-6.413259633875994,-0.8292091629785462,-3.35215161323774
13,-0.7458227155768994,-6.413348476034825,-0.8292084428481555,-3.3521519600905267
14,-0.73626241179626,-6.395856646361633,-0.8292077234648978,-3.352152306754576
15,-0.7269145037540264,-6.381686164623513,-0.8292070047517028,-3.352152653245268
16,-0.7198729176200689,-6.367758522727666,-0.8292062866392792,-3.352152999577024
17,-0.709545188944947,-6.353992198055782,-0.8292055690653278,-3.3521533457633255
18,-0.6956304787214623,-6.341115736337653,-0.8292048664179176,-3.3521536990769927
19,-0.6808899374528573,-6.329458899191972,-0.8292043121963959,-3.352153976940739
20,-0.6707207919582332,-6.321390765958627,-0.8292037502675512,-3.3521542502806723
21,-0.6605477118646156,-6.3135012454112625,-0.829203188565053,-3.352154523521596
22,-0.6510287350135981,-6.306009782906819,-0.8292026270705702,-3.3521547966759715
23,-0.642528916261474,-6.299145378556882,-0.8292020657647413,-3.352155069751651
24,-0.6325508202040957,-6.29056045877246,-0.8292015046297821,-3.35215534275588
25,-0.6231643940329114,-6.281685482244082,-0.8292009890995009,-3.352155604788535
26,-0.625004594088542,-6.270035488139064,-0.8292004724822598,-3.352155858952474
27,-0.6309085658384732,-6.271757151160308,-0.8291999539809235,-3.3521561096263794
28,-0.6393982170500843,-6.273614560509144,-0.8291994499254552,-3.352156367067455
29,-0.6441325083566184,-6.266152715596139,-0.8291989337780714,-3.3521566209848332
30,-0.646625469339298,-6.2486391259522795,-0.8291984156984625,-3.3521568714395626
31,-0.6456669671012949,-6.232767057086997,-0.8291979120569329,-3.352157128760555
32,-0.6476387582708829,-6.212302207982983,-0.8291973962479706,-3.352157382513725
33,-0.648216383094255,-6.207513160585155,-0.8291968784657963,-3.3521576328154246
34,-0.6482176155443854,-6.20751409399196,-0.8291963751137563,-3.352157890050915
35,-0.648218916672351,-6.2075141421269935,-0.8291958595415515,-3.352158143690116
36,-0.6482215392666633,-6.207514225368592,-0.829194838814567,-3.352158651062204
37,-0.6554540078292544,-6.18508276130535,-0.8291943234054435,-3.35215890462364
38,-0.6570199001375315,-6.177521814972925,-0.829193805972395,-3.352159154748239
39,-0.6610836358461507,-6.176058112912233,-0.829193302955828,-3.3521594118841573
40,-0.6690622174126803,-6.165631403709029,-0.8291927876563832,-3.3521596653939367
41,-0.6766939273896773,-6.150987608213965,-0.8291922703177359,-3.35215991547152
42,-0.6801349487809777,-6.124607947753699,-0.8291917673902465,-3.352160172581902
43,-0.6909345207046792,-6.1119518190580715,-0.8291912521617621,-3.352160426058862
44,-0.707942678387296,-6.098095703170191,-0.8291907348830789,-3.35216067610705
45,-0.7294699192730317,-6.081799669165388,-0.8291902320111986,-3.352160933202714
46,-0.7444606475357233,-6.071650623655313,-0.8291897168255956,-3.3521611866604504
47,-0.7579312127084631,-6.058749773783407,-0.8291891995818829,-3.3521614366919303
48,-0.7702297213901199,-6.038411218085223,-0.8291886967414663,-3.3521616937808996
49,-0.7849966185847098,-6.020280816214467,-0.8291881815783809,-3.352161947229235
50,-0.8003442725955984,-6.002077983523088,-0.829187664351499,-3.352162197253147
51,-0.8132488669933108,-5.979962337568712,-0.8291871615251236,-3.3521624543413764
52,-0.8276017302762311,-5.9608995527613855,-0.8291866463697832,-3.352162707787409
53,-0.8427048147583875,-5.942076773663145,-0.829186129146563,-3.352162957810342
54,-0.8586052189235143,-5.918306948441416,-0.8291856263216453,-3.3521632149022333
55,-0.8633746029103238,-5.913167992236809,-0.8291851111633296,-3.352163468351094
56,-0.8640302432277188,-5.912719202930744,-0.8291845939342098,-3.3521637183778004
57,-0.8645302032656158,-5.91234043908484,-0.8291835759325914,-3.3521642289320006
58,-0.8802211305856833,-5.889709706344768,-0.8291830586906297,-3.3521644789659097
59,-0.8954695991691103,-5.870200335239882,-0.8291825558438772,-3.3521647360740228
60,-0.9101354626403833,-5.846969658341677,-0.8291820406584103,-3.3521649895386467
61,-0.9249888259490332,-5.822317197239361,-0.8291815233985644,-3.352165239582237
62,-0.9380081777832467,-5.799679587868597,-0.8291810205328584,-3.3521654967014256
63,-0.9491337515458633,-5.775400214403976,-0.8291805053268941,-3.3521657501772175
64,-0.9617740386512367,-5.749422266558339,-0.8291799880455029,-3.3521660002322795
65,-0.9745732208606872,-5.724008369376293,-0.8291794851574056,-3.3521662573638453
66,-0.9807770241612345,-5.696860817528535,-0.82917896992797,-3.3521665108522156
67,-0.9869343525183985,-5.66878383457434,-0.8291784526223744,-3.3521667609200443
68,-0.997636060331744,-5.643565293130998,-0.829177949709397,-3.352167018064943
69,-1.008452445581607,-5.61596215378808,-0.8291774344543278,-3.352167271566908
70,-1.018871795771596,-5.589677047014861,-0.829176917122593,-3.352167521648438
71,-1.0291909374398893,-5.56429694550843,-0.8291764141829343,-3.3521677788073703
72,-1.0387022206715073,-5.536007430532889,-0.8291758989006617,-3.3521680323236716
73,-1.0477448476684055,-5.508834899958804,-0.8291753815413833,-3.3521682824195795
74,-1.0576960145357455,-5.483480234085819,-0.8291748785737364,-3.3521685395930563
75,-1.0668409964855086,-5.455726026741314,-0.8291743632631199,-3.3521687931242297
76,-1.0682330975223275,-5.452881943112773,-0.8291738458752778,-3.352169043235007
77,-1.0682357998914636,-5.452876215382755,-0.829172827538909,-3.3521695539698464
78,-1.075981292792384,-5.424707204259219,-0.8291723101217608,-3.3521698040958507
79,-1.0852409330563568,-5.400235623403235,-0.8291718070955609,-3.3521700612994594
80,-1.092805670014164,-5.3738074789949435,-0.8291712917259968,-3.3521703148614366
81,-1.1005004311166708,-5.345152221240606,-0.8291707742790023,-3.3521705650029254
82,-1.108320672391154,-5.319960705135743,-0.829170271222684,-3.352170822221939
83,-1.112474109188805,-5.293586463846146,-0.8291697558229052,-3.352171075799664
84,-1.11400501724059,-5.264799839958129,-0.8291692383456725,-3.3521713259568244
85,-1.1193129081977804,-5.235967130555549,-0.8291687352588742,-3.3521715831913923
86,-1.1232578805419808,-5.207793667864755,-0.829168219828562,-3.3521718367850153
87,-1.1259096002478612,-5.178645512672952,-0.8291677023208026,-3.3521720869579825
88,-1.1306528041802781,-5.149665043326627,-0.8291671992032621,-3.3521723442082156
