step,ego_x,ego_y,adv_x,adv_y
0,-0.7480822377469288,-6.607657835474235,-2.700003166459273,-1.5000111280978063
1,-0.7502656206968448,-6.613517054558948,-2.700003343059504,-1.5000122107286313
2,-0.7574297316415245,-6.596229143725699,-2.70000352041393,-1.5000132940034
3,-0.7739305113143596,-6.573629711844286,-2.7000036982630125,-1.500014377858317
4,-0.7838040213608706,-6.557700825297496,-2.700003876537334,-1.5000154622182866
5,-0.77833438929547,-6.540600649307841,-2.7000040551785096,-1.5000165470183304
6,-0.767665523531706,-6.517388447335646,-2.7000042341362342,-1.5000176322023946
7,-0.7535275883753998,-6.493225383009254,-2.7000044133671715,-1.50001871772213
8,-0.7462561084204077,-6.479221045035783,-2.700004592833984,-1.5000198035358387
9,-0.7390838456882032,-6.463523649386236,-2.700004727098118,-1.500020851728208
10,-0.7344457622876184,-6.438501993045648,-2.7000048241552164,-1.5000216775341157
11,-0.7333002959444096,-6.412493431816899,-2.700004945787193,-1.5000224985025477
12,-0.7332603576080796,-6.4124904618873995,-2.700005067677569,-1.5000233184856109
13,-0.7332959932136067,-6.412550474345598,-2.7000051896682535,-1.5000241376027228
14,-0.7333305071922649,-6.412610921672246,-2.700005311742768,-1.5000249559388414
15,-0.7333636860622424,-6.412673065392789,-2.7000054338878834,-1.5000257735707039
16,-0.7333924629450246,-6.4127383864870255,-2.7000055560923757,-1.50002659056775
17,-0.7334165598835324,-6.412801809931007,-2.7000056783467272,-1.5000274069928066
18,-0.7334694352942844,-6.412852500816154,-2.700005916495269,-1.500028858559878
19,-0.7298016566521827,-6.405476736123636,-2.700006013736736,-1.500029498268464
20,-0.7231836285892322,-6.39208407721876,-2.7000061109604174,-1.5000301377504908
21,-0.712344665357755,-6.3798052737000415,-2.700006208177728,-1.5000307770228476
22,-0.7002484670826562,-6.3703110558646925,-2.7000063053886945,-1.5000314161030956
23,-0.6998010162965623,-6.360153955786304,-2.700006405448692,-1.5000320459730268
24,-0.7042817221504208,-6.357548337638178,-2.7000065000871727,-1.5000326330396931
25,-0.7079223277295411,-6.353880871097543,-2.700006588791971,-1.500033221992819
26,-0.709216052798616,-6.348484795451982,-2.700006686500618,-1.5000337989486872
27,-0.712025314739704,-6.343819124352996,-2.7000067786852973,-1.5000343865690033
28,-0.7175621714970285,-6.338890466711823,-2.700006867363077,-1.5000349750147806
29,-0.7252000265881153,-6.331154833890957,-2.7000069649716947,-1.500035551534316
30,-0.7314492577743075,-6.325661485520265,-2.7000070571286345,-1.5000361387486387
31,-0.7386141274643129,-6.32162704691725,-2.7000071457891903,-1.500036726830347
32,-0.7516419909778647,-6.312336294305114,-2.7000072433293214,-1.500037303037484
33,-0.7651496232477237,-6.301380707857025,-2.7000073354668963,-1.500037889962707
34,-0.7810868992137328,-6.287876878303999,-2.700007424115405,-1.500038477786192
35,-0.7986490206221077,-6.272664068230837,-2.700007521609089,-1.5000390537724717
36,-0.8081588112734474,-6.251282191296093,-2.7000076137336766,-1.5000396404946263
37,-0.8228039934722213,-6.235133197086844,-2.7000077023742963,-1.5000402281377594
38,-0.8359488552435308,-6.220932178851032,-2.700007799836974,-1.500040803970749
39,-0.8513441560106377,-6.200238539150868,-2.7000078919534065,-1.5000413905531318
40,-0.8536909591426048,-6.197495787927762,-2.700007980589423,-1.5000419780731888
41,-0.8537433662622532,-6.197446379854786,-2.7000080780319324,-1.500042553802732
42,-0.8537404088812003,-6.197439050080099,-2.7000081701438647,-1.5000431402918992
43,-0.8537886124442934,-6.197385678045307,-2.7000082587778453,-1.5000437277309966
44,-0.8537901118313999,-6.19738266264504,-2.7000083562078103,-1.500044303393842
45,-0.8538378426902719,-6.197328989459963,-2.70000844831799,-1.5000448898240302
46,-0.8538931136660903,-6.19728901767232,-2.700008536951926,-1.5000454772131322
47,-0.8538868835804246,-6.197272734451379,-2.7000086343747243,-1.5000460528363615
48,-0.853958455581304,-6.19719594463127,-2.700008815120639,-1.5000472265946034
49,-0.8711750822438639,-6.174252050354379,-2.70000891254007,-1.5000478021981647
50,-0.8863250400622842,-6.157241537439481,-2.700009004652413,-1.500048388579236
51,-0.8982981716163457,-6.135486471304541,-2.7000090932905003,-1.5000489759305828
52,-0.9056835386969591,-6.108577603050465,-2.7000091907092543,-1.5000495515291663
53,-0.9183457773520414,-6.086356228358044,-2.700009282824607,-1.5000501379085258
54,-0.9245640569594193,-6.060888189459507,-2.7000093714662494,-1.5000507252616444
55,-0.9267918003594076,-6.0328500794055255,-2.7000094688862326,-1.5000513008660632
56,-0.9363153484265099,-6.010134010196934,-2.700009561005455,-1.5000518872537019
57,-0.9478697201347055,-5.984175692898856,-2.700009649651326,-1.5000524746176225
58,-0.959347057549317,-5.958491904239705,-2.7000097470738957,-1.5000530502358334
59,-0.9709172460453197,-5.934611580846566,-2.7000098391976306,-1.5000536366390915
60,-0.9813506492562517,-5.9088851422730615,-2.7000099278482415,-1.500054224020445
61,-0.9901925221351726,-5.8806171869952015,-2.7000100252743624,-1.5000547996583027
62,-1.0007766576821884,-5.85674809634006,-2.700010117403083,-1.5000553860825732
63,-1.0102435895330761,-5.830911442006207,-2.7000102060588183,-1.5000559734862315
64,-1.0196862110911626,-5.802652625966013,-2.700010303489178,-1.500056549148041
65,-1.0296441911618903,-5.7764720475929705,-2.700010395623241,-1.5000571355972852
66,-1.0373385400109774,-5.751204724960127,-2.700010484284386,-1.5000577230268262
67,-1.0422025523364205,-5.722607665389033,-2.700010581719483,-1.5000582987157545
68,-1.0503991749484847,-5.6937963731969115,-2.7000106738591523,-1.5000588851928809
69,-1.0568268519189397,-5.666615179150801,-2.7000107625259244,-1.500059472650933
70,-1.060660092710763,-5.637771694676228,-2.7000108599661083,-1.5000600483693083
71,-1.0671250036296527,-5.609392669380473,-2.7000109521115756,-1.5000606348764567
72,-1.0738289966821586,-5.581344437102382,-2.7000110407841373,-1.5000612223649497
73,-1.0737462116387222,-5.581158247391795,-2.7000111382296628,-1.5000617981144844
74,-1.0737468666526848,-5.581158850565411,-2.7000112303810755,-1.5000623846532224
75,-1.0737466812507188,-5.581159380509439,-2.700011319059545,-1.500062972173575
76,-1.0737465056650115,-5.581159862200238,-2.7000114165105926,-1.5000635479555287
77,-1.0737463831890082,-5.581160170555869,-2.7000115086680556,-1.5000641345270116
78,-1.073746281332849,-5.581160488579297,-2.7000115973525216,-1.500064722080266
79,-1.07374617735749,-5.5811608083973985,-2.7000116948092243,-1.5000652978955633
80,-1.0737461054623425,-5.581161033039225,-2.7000117869728197,-1.5000658845006376
81,-1.0737459774486464,-5.581161432864819,-2.7000119731258048,-1.5000670479368812
82,-1.0768448882971875,-5.552656619606617,-2.7000120652955863,-1.5000676345761714
83,-1.0824926808941449,-5.524337093248919,-2.7000121539922346,-1.5000682221973225
84,-1.0882868738744007,-5.495455004724096,-2.7000122514605036,-1.5000687980811704
85,-1.090587328071239,-5.466802952749515,-2.7000123436365175,-1.500069384755134
86,-1.0934892057248593,-5.438566104693571,-2.7000124323393186,-1.5000699724109283
87,-1.097684655042903,-5.410153052101117,-2.7000125298134554,-1.5000705483296715
88,-1.1019366753964779,-5.38068809999905,-2.7000126219957328,-1.500071135038646
89,-1.1063844457361103,-5.352633036992045,-2.7000127107047147,-1.5000717227293892
90,-1.1104649137190412,-5.324700875464064,-2.700012808184754,-1.5000722986832995
91,-1.1129647008581984,-5.294684743193199,-2.700012900373319,-1.5000728854275331
92,-1.1170547809005418,-5.26554275317854,-2.7000129890884996,-1.5000734731534489
93,-1.1211371064145779,-5.236678546825785,-2.7000130865744674,-1.500074049142727
94,-1.1250938673906845,-5.20640648463608,-2.7000131787693387,-1.5000746359224033
