step,ego_x,ego_y,adv_x,adv_y
0,-0.7482484640362749,-6.607618767989806,-0.8292200507247568,-3.4021471043988147
1,-0.7502964688053767,-6.611674455376197,-0.7902044194810078,-3.436979548987702
2,-0.7555546393589497,-6.594713186358183,-0.7523483533008072,-3.464944555043404
3,-0.7717631974645198,-6.572219213112907,-0.7132067513185868,-3.4957786102843014
4,-0.782148906338378,-6.556214149150001,-0.6783326695938409,-3.5314362982840413
5,-0.7757814069200473,-6.540133049408025,-0.6434909638208823,-3.5646766306824573
6,-0.7658626930073329,-6.517639556706931,-0.611635385942182,-3.604887806698718
7,-0.7510056098782173,-6.494072995300654,-0.5852640522346378,-3.646754681849839
8,-0.743676849402551,-6.480897484202626,-0.5565165059068461,-3.686831606496944
9,-0.7441728704381032,-6.481432508972284,-0.5296355172107204,-3.727083707145224
10,-0.7447498814744838,-6.4820747958663105,-0.5047430979008368,-3.7694015514340458
11,-0.7453683164676472,-6.482708995086144,-0.48520414739454704,-3.8152590018426884
12,-0.7458655590512787,-6.483290578569171,-0.4655667198182001,-3.860829764973418
13,-0.7464441796430996,-6.483950483983173,-0.44939067605325034,-3.9068279576099436
14,-0.747563963626973,-6.4851369111844015,-0.4205577072441378,-3.9990480031368403
15,-0.7401042804562065,-6.471346749494986,-0.4101177435856732,-4.049310959900616
16,-0.736221767919981,-6.446611889657931,-0.4010086098622897,-4.0944801324875915
17,-0.735309022406343,-6.419717354492953,-0.39616958864191404,-4.144993074420979
18,-0.7307510008026564,-6.4046055675083915,-0.39501018505395125,-4.19310576479809
19,-0.7227790340935284,-6.391538571059209,-0.39039839901302864,-4.2432015474504725
20,-0.7129716071908031,-6.379951447994107,-0.3922027047290474,-4.29281383380181
21,-0.7002063737035078,-6.371585283713793,-0.39079216703051917,-4.341899219608114
22,-0.6962608673409539,-6.362743631517908,-0.39352257074691765,-4.39194862730883
23,-0.7028148917947411,-6.361069708030317,-0.3923935895086043,-4.441218962967652
24,-0.7062084664959631,-6.359946133140575,-0.39412888683210545,-4.490369250905647
25,-0.7059682299677719,-6.353590795871571,-0.3941667802474976,-4.540431207368695
26,-0.7033479227389104,-6.349040511377244,-0.3942975954192927,-4.5894131312921
27,-0.7033968222781725,-6.34501067429598,-0.39527250203762176,-4.639815240108369
28,-0.7068986600465768,-6.339720650151392,-0.3957108855356226,-4.688394521645598
