step,ego_x,ego_y,adv_x,adv_y
0,-0.8930860085350343,-6.577941492905946,-0.9792094424182901,-3.4021504226118644
1,-0.8974653863382088,-6.560466634468953,-0.9792087226922781,-3.4021507633969397
2,-0.9040541971405945,-6.539781783969278,-0.9792080035688027,-3.4021511048999917
3,-0.9084229479483256,-6.5258760719228395,-0.9792072849523663,-3.4021514469780856
4,-0.9121138352713868,-6.511086844239995,-0.979206566785706,-3.402151789551379
5,-0.9006141305052786,-6.488046422622111,-0.9792058490180436,-3.4021521325513193
6,-0.8905417725253734,-6.468498854060172,-0.9792051316041893,-3.4021524759188373
7,-0.8852088198582706,-6.457668490961899,-0.9792044145039221,-3.4021528196030437
8,-0.8829102684034582,-6.441234797203618,-0.9792036976814364,-3.4021531635601208
9,-0.8806618679324905,-6.4201917447772665,-0.9792029811048519,-3.402153507752343
10,-0.8791611279415729,-6.394821620192385,-0.9792022647457801,-3.4021538521472507
11,-0.8749522607804827,-6.379751248496679,-0.9792015485789384,-3.4021541967169204
12,-0.8679681252937888,-6.3667087959034125,-0.9792008325818065,-3.402154541437345
13,-0.8589195394762356,-6.3564339681284086,-0.9792001167343213,-3.402154886287895
14,-0.8569641292741984,-6.354886675106704,-0.9791994010186045,-3.4021552312508434
15,-0.856307376909388,-6.354577394640362,-0.9791986854187253,-3.402155576310974
16,-0.8556767138234613,-6.35424635760921,-0.9791979699204844,-3.402155921455228
17,-0.8550399781947629,-6.353963815065545,-0.9791972545112236,-3.402156266672405
18,-0.8544117257716706,-6.353664910645911,-0.979196539179658,-3.4021566119529063
19,-0.8530742807660256,-6.353039623125477,-0.9791952669181354,-3.4021572505432003
20,-0.8429814367232205,-6.34650757708269,-0.9791947060294356,-3.402157523507121
21,-0.8362204979656326,-6.339725965658845,-0.9791941450787471,-3.402157796497566
22,-0.8410974714493156,-6.339910256230882,-0.9791935840794128,-3.402158069518042
23,-0.848106354410767,-6.3415001116850505,-0.9791930230379368,-3.4021583425646673
24,-0.8508579093825441,-6.337612011210215,-0.9791924619597867,-3.402158615634128
25,-0.8503766029248653,-6.322602701885032,-1.0011748425068006,-3.402792468833956
26,-0.8468334584440957,-6.314897116756772,-1.028672866370496,-3.4076270194782143
27,-0.8462390449370254,-6.299615469958203,-1.0502111955741382,-3.409444200212645
28,-0.8484492400838735,-6.278353256361485,-1.0676259755134687,-3.403962758184257
29,-0.851893756361826,-6.25392809544484,-1.080602384785201,-3.391047094106249
30,-0.8557441497023727,-6.240254447086715,-1.0923536847940247,-3.3788946307323977
31,-0.8627616875990872,-6.235123219238073,-1.0881348015773251,-3.384274981799493
32,-0.8734639777495674,-6.22157371171427,-1.0698030646550194,-3.4068576568966282
33,-0.8856880268328873,-6.208946759420661,-1.0510140674440158,-3.4301463472816143
34,-0.8996370343284762,-6.196530236696653,-1.0352384809249633,-3.452392387647758
35,-0.9140818134490374,-6.184030296888443,-1.020354169938295,-3.4752472605912392
36,-0.9143902709954902,-6.183828278362494,-1.0049911878881745,-3.498466750092559
37,-0.9143929287568183,-6.183826129781031,-0.9940783105932964,-3.517933832722826
38,-0.9143955632554892,-6.183824254637127,-0.9840297748054039,-3.5396954922697983
39,-0.9143980805361138,-6.183822466439206,-0.9787433990012342,-3.560736539126714
40,-0.9144004966543692,-6.183820752272308,-0.9734703448397374,-3.5772804118600057
41,-0.9144028258604677,-6.1838191017083926,-0.9670124027658101,-3.596618655219737
42,-0.9144072708152626,-6.183815956804989,-0.9531707546305384,-3.6444106995758023
43,-0.9314184226062701,-6.163726651271851,-0.9504983915060922,-3.668842888819541
44,-0.9484406488623941,-6.149755833775291,-0.9538419382271,-3.6966937494554215
45,-0.9630201545933094,-6.138406033294219,-0.9535871997695134,-3.7228614566232205
46,-0.9783472821422454,-6.121202039307506,-0.9486302238644907,-3.7504938479740395
47,-0.9935589932159085,-6.102686741404371,-0.9492710717401014,-3.778550266221057
48,-1.0085433148015988,-6.083092202984062,-0.9499976810351871,-3.8054866213193335
49,-1.0161523544275353,-6.058926403035143,-0.9463021394931912,-3.8342420501705883
50,-1.0206440402952905,-6.031366428893858,-0.9424264436268375,-3.864212306388688
51,-1.0322739215811323,-6.010677511328586,-0.9383511777325237,-3.892751932553327
52,-1.0461407526941957,-5.986155308487484,-0.9346948816647417,-3.9211754186018783
53,-1.0581753945456236,-5.960934737477849,-0.9313531068566155,-3.951526127372466
54,-1.0715704464053468,-5.939089273248574,-0.9276243574125227,-3.9799763906266086
55,-1.0840578874842328,-5.9149842391432355,-0.9241747312416835,-4.007967970676388
56,-1.0971041499079177,-5.888144801814399,-0.9206670755498222,-4.038136609056235
57,-1.1077927902934313,-5.865114662745217,-0.9175924207212606,-4.067840640679074
58,-1.1188521877177877,-5.84062046989476,-0.9141437477316374,-4.096424314950534
59,-1.1300417690662015,-5.813984442857356,-0.9112472028413257,-4.126374492861129
60,-1.1329542869444282,-5.806013704776825,-0.9079128455437246,-4.15664467083608
61,-1.1333542267263759,-5.805074649580332,-0.90457124117497,-4.184874316983384
62,-1.1337345532100558,-5.80413384888848,-0.9024196123586482,-4.214569306220173
63,-1.1341286800081685,-5.803206749623954,-0.8998837027497739,-4.245408286312662
64,-1.1345474448127955,-5.802214298814014,-0.8970631397592095,-4.272996686226221
65,-1.134952045688791,-5.801322204572929,-0.8951919245520579,-4.302244294603204
66,-1.135342953224949,-5.800424256050398,-0.8932348424144179,-4.332833968597996
67,-1.136160248016329,-5.798494079614925,-0.8902092941084616,-4.389356180482666
68,-1.147126845591073,-5.771623588602116,-0.8894708310203545,-4.419523594091443
69,-1.155361763077981,-5.745146187896807,-0.8884228820798581,-4.448648990163597
70,-1.1615226922648165,-5.716749451879407,-0.8897215016371035,-4.477309526750721
