step,ego_x,ego_y,adv_x,adv_y
0,-0.8930844524354188,-6.577939401561258,-0.9792114065679078,-3.402150913367852
1,-0.893084584213129,-6.577940208679585,-0.9792104329860565,-3.4021513980235225
2,-0.8930847150947012,-6.57794101580868,-0.9792094606010809,-3.4021518845421026
3,-0.8930848060519856,-6.57794167305284,-0.9792084885995762,-3.402152371369352
4,-0.8930849046290689,-6.577942332621113,-0.9792075169280668,-3.4021528584489142
5,-0.8930850024250795,-6.577942990273718,-0.9792065455451904,-3.4021533457443582
6,-0.8930850933950498,-6.577943601809237,-0.9792055744143158,-3.402153833224804
7,-0.8930851740958411,-6.577944108310306,-0.9792046035029599,-3.402154320863999
8,-0.893085254688254,-6.5779446158580805,-0.9792037118147872,-3.4021547008115016
9,-0.8930853345253468,-6.577945122857576,-0.9792029807886888,-3.402155045799042
10,-0.8930854136874868,-6.577945629367854,-0.9792022538473837,-3.402155394980803
11,-0.8930855702679764,-6.577946641126436,-0.9792008036330906,-3.4021560925076173
12,-0.8908940336135787,-6.550200614312936,-0.9792000800974143,-3.402156440872906
13,-0.8863420477854691,-6.520725947895325,-0.9791993574659952,-3.4021567890016207
14,-0.8853902753929186,-6.503616797152634,-0.9791986356449799,-3.402157136913652
15,-0.8833889299516459,-6.481226219549764,-0.9791979145501096,-3.402157484627523
16,-0.8847427430692869,-6.451954798677936,-0.9791971941057315,-3.4021578321604355
17,-0.882546120533371,-6.426225253265746,-0.9791964742439208,-3.4021581795283407
18,-0.8759925134817951,-6.402883315320153,-0.9791957549036877,-3.402158526745993
19,-0.8779169407484964,-6.378818505219289,-0.9791951835177446,-3.4021588179917606
20,-0.872443841354674,-6.357040990653227,-1.0024501917346333,-3.3987442800409795
21,-0.8677386666251005,-6.334904934994175,-1.0265451546046975,-3.3937970576728764
22,-0.859543808727405,-6.310722784723322,-1.0471622552269622,-3.3847117925472743
23,-0.8479324534007682,-6.287350981301245,-1.0662170709100187,-3.3769447732825952
24,-0.8429201718988336,-6.2745598287105535,-1.0580323825157587,-3.4028754866084463
25,-0.8389403349122451,-6.258962658985396,-1.0416643474600478,-3.4236898735770223
26,-0.8397226522556365,-6.257902461309963,-1.0217785863934732,-3.4461348237262803
27,-0.8397239849578307,-6.257904429884778,-1.0054187155048486,-3.4635189909776933
28,-0.8397253153944679,-6.25790626365785,-0.990544557205391,-3.483318039205915
29,-0.8397265839805877,-6.257908016507024,-0.9810039965426147,-3.5013280525873984
30,-0.839727798207164,-6.257909699006647,-0.9734380679387715,-3.5197777803765606
31,-0.839728965017002,-6.257911320134953,-0.9661632061912747,-3.5391624538723967
32,-0.8397300904708919,-6.257912887726042,-0.9634964011505249,-3.561918473180921
33,-0.8397311798569236,-6.25791440861676,-0.9598522955013805,-3.5837409892828944
34,-0.8397322377887475,-6.257915888773331,-0.9514067983652738,-3.6075959184189914
35,-0.8397332682914163,-6.257917333401971,-0.9395656014220705,-3.6637129336087884
36,-0.839735229599034,-6.25792004740638,-0.9318181152140594,-3.688002876014286
