step,ego_x,ego_y,adv_x,adv_y
0,-4.999992676700173,-3.0000074526680427,-3.5000006835237367,-6.999989796318105
1,-4.994581090192469,-2.999813420953715,-3.5000008992033322,-6.999988721278737
2,-4.986497306255606,-3.0072455112025223,-3.5000011139771754,-6.999987645182459
3,-4.980115654817251,-3.012407881514997,-3.5000013284631724,-6.999986568285878
4,-4.935568473051456,-3.042563126330149,-3.500001542706608,-6.999985490695149
5,-4.861808078650047,-3.0956065399109134,-3.5000017567420305,-6.999984412500865
6,-4.788862873299322,-3.1480367030262375,-3.500001970599187,-6.999983333781228
7,-4.7037686236689265,-3.197186155320801,-3.500002184303727,-6.999982254603743
8,-4.616825184128143,-3.2403265685368736,-3.500002397877757,-6.999981175026672
9,-4.541462709219954,-3.282410906400729,-3.5000026293974256,-6.9999801226620955
10,-4.381732705352653,-3.358348047933315,-3.500003015104173,-6.99997852453585
11,-4.3011159951105435,-3.389866223339965,-3.5000031879292637,-6.999977722274803
12,-4.219007349584066,-3.427899534743214,-3.50000336034452,-6.9999769208060885
13,-4.1448826430495975,-3.466982258107709,-3.500003532396614,-6.999976120054713
14,-4.0831182570610975,-3.50598692743469,-3.500003704125927,-6.999975319952271
15,-4.020031825917908,-3.556303856250744,-3.500003875568288,-6.999974520436571
16,-3.9549422147628093,-3.6103960224660177,-3.500004046755511,-6.999973721451089
17,-3.9104214218555433,-3.6493960464890245,-3.5000042177158495,-6.99997292294447
18,-3.871246163322477,-3.6838557772622598,-3.500004354194665,-6.999972190429776
19,-3.832337778240228,-3.7216405195025817,-3.5000044863018633,-6.999971563777907
20,-3.7947737800221506,-3.7589578132857393,-3.5000046187388962,-6.999970937308198
21,-3.7595822386660678,-3.7987627314464123,-3.5000047511046266,-6.999970311051496
22,-3.725929659560963,-3.841688655782227,-3.5000048834047863,-6.99996968498976
23,-3.6947111246796513,-3.883698121140268,-3.5000050156454012,-6.999969059106322
24,-3.6604797877708175,-3.925871778290239,-3.5000051352618224,-6.999968458613868
25,-3.629962122063232,-3.9636589775304563,-3.500005258160965,-6.9999678819311395
26,-3.601196723025563,-3.9991493022687337,-3.500005367773356,-6.999967313079432
27,-3.5770467833410757,-4.0309699377187735,-3.5000054869254646,-6.999966736446575
28,-3.5551151906903917,-4.059247552630941,-3.500005609796394,-6.9999661603076975
29,-3.535847133541928,-4.084488651313906,-3.500005719295307,-6.9999655919282695
30,-3.518656748879631,-4.107289044666186,-3.5000058383274633,-6.999965015717327
31,-3.5027326470058076,-4.128412709405499,-3.5000059610890086,-6.999964439955346
32,-3.495053816730843,-4.139249829893333,-3.500006070505318,-6.999963871913254
33,-3.485345950242902,-4.152348675978762,-3.5000061894512933,-6.999963296002804
34,-3.4734283448454857,-4.1689920813134,-3.500006421491417,-6.999962152704528
35,-3.449982016775629,-4.200600216371336,-3.500006540375961,-6.999961577005384
36,-3.438500262005446,-4.216039924695156,-3.5000066630036084,-6.999961001698026
37,-3.4271923781951914,-4.231350780752751,-3.500006772318311,-6.999960434059839
38,-3.4171951232188342,-4.246508669897279,-3.5000068911595648,-6.999959858506492
39,-3.4102103927317233,-4.264829178265139,-3.500007013748262,-6.999959283327231
40,-3.4041553179364072,-4.280253530604747,-3.500007123033548,-6.999958715801271
41,-3.401863656137711,-4.286783469654867,-3.5000072418448065,-6.999958140345612
42,-3.4025634293588265,-4.290702552234097,-3.5000073644067378,-6.999957565251093
43,-3.4062566493306545,-4.2923147086617846,-3.500007473672075,-6.99995699779818
44,-3.410697271304167,-4.298782726475967,-3.5000075924630867,-6.999956422404883
45,-3.415845990313069,-4.330721820098543,-3.5000077150071656,-6.9999558473632675
46,-3.414214211688046,-4.356044064286001,-3.5000078242595656,-6.999955279954639
47,-3.412606924237839,-4.378255067117321,-3.5000079430374766,-6.99995470459776
48,-3.425472567393907,-4.398784098464686,-3.5000080655702335,-6.9999541295856655
49,-3.4373776105738054,-4.415796296159284,-3.500008174814881,-6.999953562200208
50,-3.436922088957783,-4.429813573588014,-3.5000082935849313,-6.9999529868606984
51,-3.437783621920797,-4.450873690412485,-3.5000084161111507,-6.999952411860956
52,-3.439084179409169,-4.473799780203979,-3.5000085253518782,-6.999951844483172
53,-3.439431169083153,-4.497706868328294,-3.5000086441179086,-6.999951269147046
54,-3.439213731290457,-4.522047649341876,-3.5000087666410904,-6.999950694147047
55,-3.439577573787654,-4.545693147008935,-3.500008875880729,-6.999950126765561
56,-3.439857102535231,-4.568320853382639,-3.500008994645558,-6.999949551422551
57,-3.4402430703473237,-4.590412126906713,-3.5000091171682737,-6.999948976413039
58,-3.440465342069537,-4.607855227510816,-3.500009345174608,-6.999947833662063
59,-3.441051391852058,-4.642387640019456,-3.500009467698737,-6.999947258636243
60,-3.441346405068232,-4.6597652853318206,-3.5000095769419213,-6.999946691224515
61,-3.4418084445899915,-4.677458742803453,-3.5000096957099927,-6.999946115847118
62,-3.4423106451103793,-4.689829055047068,-3.5000098182369146,-6.999945540799995
63,-3.4435518796077056,-4.6970336211739365,-3.5000099274837777,-6.999944973365584
64,-3.450632761668078,-4.697298528463602,-3.500010046255339,-6.999944397964164
65,-3.4656338429548317,-4.696429214450968,-3.5000101687860616,-6.9999438228920745
66,-3.483346867574354,-4.694347417408648,-3.500010278037443,-6.999943255431677
67,-3.4899840719654853,-4.698949926718896,-3.5000103968133085,-6.999942680003247
68,-3.496235988766521,-4.7226602652379635,-3.5000105193485753,-6.999942104903502
