step,ego_x,ego_y,adv_x,adv_y
0,-4.999992998107819,-3.0000070441373574,-3.5000005836870085,-6.999990285532562
1,-4.995298659544587,-2.9959564646633887,-3.5000008020471602,-6.999989211527675
2,-4.993483917252849,-2.9933449619619945,-3.5000012315208537,-6.999987059246194
3,-4.99383120820333,-2.9930089244292626,-3.5000014458383992,-6.999985981946421
4,-4.979491608454118,-2.988704684275683,-3.5000016599365344,-6.999984904009197
5,-4.973583791223224,-2.9815299946102636,-3.500001873846587,-6.99998382551733
6,-4.965905238067184,-2.970532300490614,-3.5000020875955604,-6.999982746542312
7,-4.940225909199692,-2.9826144931003506,-3.5000023012067394,-6.999981667145849
8,-4.909659464127486,-3.0110906656931204,-3.500002514700194,-6.999980587381202
9,-4.836313065580564,-3.0506545297625722,-3.500002758309029,-6.9999797203106535
10,-4.752210487441828,-3.102221352160134,-3.500002932955532,-6.999978917087233
11,-4.673439732069868,-3.1625733883472353,-3.500003105941497,-6.999978114548874
12,-4.588525389786266,-3.2148604279305912,-3.500003278493816,-6.999977312829943
13,-4.508499209650536,-3.2733307462698384,-3.500003450667267,-6.999976511854044
14,-4.4219864545904946,-3.3230466830738257,-3.5000036225040314,-6.999975711550468
15,-4.341411189556209,-3.3834190000697064,-3.5000037940415023,-6.999974911854912
16,-4.257570484044884,-3.437844653103825,-3.500003965312875,-6.999974112708922
17,-4.177655714979777,-3.4970018323245715,-3.5000041363476275,-6.999973314059384
18,-4.09597807744045,-3.5549312865795173,-3.5000043071719498,-6.9999725158580555
19,-4.018869430130357,-3.6170909860851754,-3.5000044187487496,-6.999971893112792
20,-3.9398882205479904,-3.6786478950864585,-3.5000045512032187,-6.999971266581906
21,-3.8674166477996392,-3.7416201343748265,-3.500004683590155,-6.999970640271976
22,-3.7933429882956533,-3.8042613804575693,-3.500004815909262,-6.999970014163179
23,-3.740174052523608,-3.8450374245042207,-3.500004948166733,-6.999969388238436
24,-3.7012574520678405,-3.8789132542412093,-3.5000050748938034,-6.99996876915592
25,-3.6872734827072704,-3.907814967677835,-3.5000053056741507,-6.99996762360753
26,-3.6832044392634407,-3.9233628352293675,-3.5000054248399133,-6.99996704693367
27,-3.6742808084631173,-3.9386548523548837,-3.50000554772305,-6.999966470760061
28,-3.660816600220367,-3.9546284761845163,-3.5000056572297624,-6.999965902351413
29,-3.6456261025812338,-3.974961722721329,-3.5000057762707817,-6.999965326116576
30,-3.6373880814646466,-3.9864815544485217,-3.5000058990401035,-6.9999647503352715
31,-3.6314513638390435,-3.994364217181303,-3.5000060084610527,-6.999964182277933
32,-3.6256079922489044,-4.001304102191234,-3.500006127412379,-6.999963606356156
33,-3.6199565508099263,-4.007526787133584,-3.5000062501001423,-6.99996303085367
34,-3.6148248178876776,-4.015457058520329,-3.500006359459319,-6.9999624630448904
35,-3.609823558412582,-4.0244248491403525,-3.500006478346638,-6.999961887343652
36,-3.600742171455816,-4.038776872988889,-3.5000066009764463,-6.9999613120366115
37,-3.5886171024331506,-4.05750586951514,-3.5000067102916748,-6.999960744400972
38,-3.5731591219549754,-4.0786996195638805,-3.500006829133815,-6.999960168852313
39,-3.5596980783412984,-4.097727068237553,-3.500006951722941,-6.999959593679483
