row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,1,0,0,97,-135.31472650170326,-3.552598383990954,-2.4629040824848634,0.2329956541586232,,,,,,1.3507733995323998,2.746086484006037,7.620719685389641e-05
,2,movebase,diffusion,True,0,1,0,159,43.65809377282858,-1.1976685985920517,-2.4851342990238345,-0.12778126185008187,,,,,,1.3010497475867397,3.545233986909298,4.278081314139227e-05
,3,movebase,diffusion,True,1,0,0,81,-128.19512978196144,-5.905608762200472,-2.4535356845285583,2.8869480667519243,,,,,,0.61031648150571,2.203998701542787,0.00010807149696748617
,4,movebase,diffusion,True,0,1,0,91,72.34448376297951,-2.1753980778154327,-2.9870235353024657,0.8660348618319641,,,,,,3.1998062244446865,1.9994947089069703,2.4210448634739605e-05
,5,movebase,diffusion,True,1,0,0,20,-101.9000000283122,-3.983928892765299,-3.4488233446270318,-1.4364836837945085,,,,,,3.751852414140164,2.170808815817393,0.0001627540498986231
,6,movebase,diffusion,True,1,0,0,77,-118.68208546936512,-1.8151694363250677,-3.4340064036890223,2.734275683002984,,,,,,1.5370456899148233,3.431079253779883,0.00012865380345384203
,7,movebase,diffusion,True,1,0,0,118,-141.60211055725813,-1.4271391200260926,-3.807941926137562,0.6978823701574665,,,,,,0.4523937228569643,3.5686022741585384,0.00010741904862023716
,8,movebase,diffusion,True,1,0,0,92,-112.25026289373636,-4.632906455056803,-2.6141969477310987,3.0915550189427945,,,,,,1.0125439701024699,2.725704443576812,0.00011043196298929478
,9,movebase,diffusion,True,0,1,0,117,80.52097199112177,-5.960586966234536,-1.6163958117841464,1.2725555498227221,,,,,,6.237766893486196,3.0286796731918986,4.011427088469933e-05
,10,movebase,diffusion,True,1,0,0,50,-108.75980401784182,-1.3785966383113264,-3.632921614852681,-2.9172629661257035,,,,,,0.8856254416425429,2.0891854405075354,0.00012435056358742875
,11,movebase,diffusion,True,0,1,0,64,84.4262458756566,-3.215969198408823,-4.882834736324915,-0.49835670397703147,,,,,,7.3341678419212295,3.0325295413930844,8.587689268848149e-05
,12,movebase,diffusion,True,1,0,0,73,-113.24574257433414,-6.407814642522331,-4.185361833693856,-1.2470077603908605,,,,,,1.4373941890343653,3.018465883595324,0.00012110256186093409
,13,movebase,diffusion,True,1,0,0,66,-128.05785915255547,-3.477027899741245,-3.1029267845097825,2.867139349905265,,,,,,1.9199492507644247,2.8984352960920505,0.00011787661684296228
,14,movebase,diffusion,True,1,0,0,63,-109.46475328505039,-2.807252354988397,-2.7666022111567825,0.798261344792943,,,,,,1.0429922266726617,2.583746448648676,8.757165584128017e-05
,15,movebase,diffusion,True,0,1,0,73,89.27826748788357,-3.0595474016395525,-2.91246876332738,-0.07455381385664503,,,,,,4.689899739571652,3.1498591601131625,3.745377008370264e-05
,16,movebase,diffusion,True,0,1,0,95,70.05867922306061,-5.909031035195368,-2.1379853345795783,-0.29755711658116557,,,,,,1.4603828161081995,2.2761859251462497,0.00011795789140694032
,17,movebase,diffusion,True,1,0,0,71,-109.17985112220049,-6.284448638448963,-4.863021146872882,-1.231890482551953,,,,,,1.0991391276543014,2.5768879051301674,9.16417104359077e-05
,18,movebase,diffusion,True,1,0,0,76,-124.5392984598875,-1.235447996092084,-2.1326732343972696,2.5212978088283866,,,,,,1.5698172765283427,2.621746348577968,0.00013439316284529553
,19,movebase,diffusion,True,0,1,0,68,84.96381977945566,-6.1164288118568475,-3.075914494637855,2.853293446661737,,,,,,1.1898640184058202,2.208339535666866,0.0001076892135302338
,20,movebase,diffusion,True,1,0,0,82,-113.27632585912943,-5.778551124952708,-1.5319965151568735,-1.0266972013531481,,,,,,1.1161995349169478,3.238267396893812,9.415327300518335e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-50.96086939051747,0.35,0.65,0.0,2.1599490003395316,2.7556668611827257,9.603552017862806e-05
