row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,2,movebase,diffusion,True,1,0,0,80,-115.42596364021301,-3.0416173541801257,-3.2479187637497633,1.1098827426117521,,,,,,0.32983434300209274,2.775309233851185,9.351207935393976e-05
,3,movebase,diffusion,True,0,1,0,52,93.91781153529882,-6.088820048660007,-1.0616838922975291,-0.959915382571191,,,,,,6.12459548308428,2.643242245982967,0.00011889857382350897
,4,movebase,diffusion,True,0,1,0,52,94.64490995556116,-6.315181806644028,-1.7057352371699217,2.076656493381719,,,,,,4.853024806779897,2.8906280764797425,7.609460560299166e-05
,5,movebase,diffusion,True,0,1,0,87,82.20365454256535,-2.3308509676295177,-3.4365341758540793,-1.0744985962872795,,,,,,2.4657877433247495,2.773852032042678,5.9417603099038446e-05
,6,movebase,diffusion,True,1,0,0,81,-115.81011727452278,-3.999816860932346,-4.974187220345234,-1.5015975048460304,,,,,,0.9932315776119628,3.2820482633695174,8.081681380638885e-05
,7,movebase,diffusion,True,1,0,0,48,-119.8153415620327,-1.838084136995782,-2.9293870610770387,-2.144835816794285,,,,,,2.2938405627587626,2.2091052889830705,8.629585722426046e-05
,8,movebase,diffusion,True,1,0,0,178,-141.79162117093801,-4.38087796545645,-1.5999945275197436,-0.07626406211541886,,,,,,0.8074830153959229,3.117492195665594,0.00012335177010390697
,9,movebase,diffusion,True,0,1,0,71,74.32620801776648,-2.6304089597618234,-3.182176854931943,-1.3940253707413526,,,,,,3.7601624920578085,3.4063925714770966,9.921302101382558e-05
,10,movebase,diffusion,True,1,0,0,57,-112.18378487974405,-2.433664798612665,-2.924141493678147,1.0115192054855835,,,,,,1.3866217393542473,2.676950386695322,0.00012718864485953315
,11,movebase,diffusion,True,0,1,0,59,89.28256476670504,-3.9495672684184964,-4.832703479918867,-1.7871962401177062,,,,,,3.860224716441153,2.9626449247569324,9.228159269903099e-05
,12,movebase,diffusion,True,1,0,0,78,-112.85993066430092,-2.0081142930938887,-3.6150620216814384,3.0767274248507914,,,,,,0.9975675331720288,2.433440208119619,0.00011643932485095163
,13,movebase,diffusion,True,1,0,0,83,-110.53599022328854,-3.783684515461739,-4.4290344845856415,-1.7001908182671057,,,,,,2.0304264040950932,3.2838091658564457,0.00011784128075031092
,14,movebase,diffusion,True,0,1,0,60,88.73706892132759,-3.4922357066374365,-2.027717031985044,-1.727941662103885,,,,,,4.9554645590852715,2.8478558640673493,6.100300269757989e-05
,15,movebase,diffusion,True,0,1,0,84,87.21915481239557,-1.1068972748093842,-2.753949943647123,-2.394365371181367,,,,,,1.8906920718638238,2.5352921505947266,8.674911283750679e-05
,16,movebase,diffusion,True,0,1,0,64,89.69710860401392,-2.869405388727013,-3.218168149686527,-1.1815537972812165,,,,,,3.2875280836021203,2.4849437433366384,0.00012016562493447931
,17,movebase,diffusion,True,0,1,0,57,90.34232575446367,-6.076399488903515,-4.557017771128858,-0.7288767940179456,,,,,,3.3083716553981968,2.505060201382948,0.00015393657038101604
,18,movebase,diffusion,True,1,0,0,54,-107.45427168160677,-6.249835913473952,-3.149010524709113,-1.7588413444478805,,,,,,1.0282391337657089,2.0499695685911665,0.0001019241992291586
,19,movebase,diffusion,True,1,0,0,73,-124.73787727952003,-5.097284188279622,-2.869102415100604,-2.254700517080572,,,,,,3.510246686726758,3.7154213835001952,7.768047314777002e-05
,20,movebase,diffusion,True,1,0,0,65,-115.8956862166524,-6.048562143025864,-3.0435765379649165,-0.44351974423735663,,,,,,0.14620207754302061,2.331111177454876,0.00011855556049993383
summary,all,movebase,diffusion,True,,,,,,,,,,-20.323146193827455,0.47368421052631576,0.5263157894736842,0.0,2.5278707728980474,2.7855036148530563,0.00010059819531132271
