row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,55,88.25223336368799,-6.135498714258677,-2.979125265087672,-2.7136235891739613,,,,,,1.036929489996328,2.3147898446847535,5.8903743116234734e-05
,2,movebase,diffusion,True,0,1,0,60,93.46953713148832,-6.474941938262643,-4.834029920966335,-1.5510131044344657,,,,,,4.014472665179674,3.3721574246693335,8.974542218733438e-05
,3,movebase,diffusion,True,0,1,0,165,30.057936429977417,-4.046436920227395,-1.1370841187336098,0.0038941228468415685,,,,,,5.228636536542774,2.9972864855313874,0.0001142792821229579
,4,movebase,diffusion,True,0,1,0,200,6.382906258106232,-2.9421925653354877,-4.1348339467320425,2.962966788498899,,,,,,0.1467615526233686,3.156284995926842,7.331729497606388e-05
,5,movebase,diffusion,True,0,1,0,57,84.33199629187584,-6.1530140978673655,-3.186826455479094,3.0788877132245163,,,,,,1.7868298722642864,2.504994212498343,0.00010975937096348132
,6,movebase,diffusion,True,0,0,0,400,-174.8087109029293,-2.6082611503306357,-3.741262416212466,0.9305055859077105,,,,,,0.2829027612554672,2.446569151253984,2.7429795226186748e-05
,7,movebase,diffusion,True,0,1,0,53,91.1010897681117,-2.8720022067040665,-2.8157167664456546,0.6353530152955816,,,,,,3.3766234061209963,2.0626102682642733,8.046655134192924e-05
,8,movebase,diffusion,True,0,0,0,400,-159.64558236300945,-4.492841708222013,-2.388699053687353,0.5441017261297586,,,,,,1.1799246312073801,2.4273544000132854,3.597255774494932e-05
,9,movebase,diffusion,True,0,1,0,73,89.75424475222826,-6.004203328456713,-3.9707060990435017,1.043740202444909,,,,,,1.566998797819783,2.8582985997862935,9.662662370327623e-05
,10,movebase,diffusion,True,0,1,0,39,94.80832337588072,-4.224086828605026,-4.5083227340095515,2.886967139157226,,,,,,3.268922084330273,2.6179347687780847,0.0001396296301049332
,11,movebase,diffusion,True,0,1,0,37,95.91644187271595,-6.104360044281345,-3.9868460126856484,0.14131171187048774,,,,,,7.385539389075264,2.5842769477711687,0.00011268782271120702
,12,movebase,diffusion,True,0,1,0,294,-19.84560477733612,-3.947208700152612,-3.121417777675297,-2.2855913299060284,,,,,,0.07603522388081721,2.322769215763458,7.553798069617666e-05
,13,movebase,diffusion,True,0,1,0,50,94.57930066436529,-6.202155523669446,-4.371295708132083,0.8783258256317543,,,,,,0.47504463249708156,4.415994566050663,0.02962442292890133
,14,movebase,diffusion,True,0,0,0,400,-177.93331316113472,-2.664390777013685,-3.891489435860553,-2.723734773994294,,,,,,0.48862685858924937,2.351248183383721,3.742789456843777e-05
,15,movebase,diffusion,True,0,1,0,75,81.30922850966454,-5.294152052981522,-3.698918634066316,-0.8815768062451186,,,,,,0.7086739469039977,2.780725603098058,0.00014615677211249643
,16,movebase,diffusion,True,0,0,0,400,-197.670230448246,-4.409026660677971,-1.494508312549934,1.3136576050032112,,,,,,0.3374900008956415,2.5087098856333427,4.669739828307928e-05
,17,movebase,diffusion,True,0,1,0,78,76.26921152323484,-3.7308531472756066,-1.796059909894148,-2.590068753402709,,,,,,1.026164571181516,2.6333879984221826,0.00010388741298926485
,18,movebase,diffusion,True,0,1,0,81,78.28209263831377,-3.1510349437428964,-3.1367146660836105,0.5450783759810803,,,,,,0.5697669344713523,2.5898427757204745,0.00010813098305086269
,19,movebase,diffusion,True,0,0,0,400,-139.96491856873035,-2.1428359041861924,-2.673100044770008,3.0029654559767094,,,,,,0.9483332878139871,3.269452731525599,3.385125357723011e-05
,20,movebase,diffusion,True,0,1,0,213,23.290261194109917,-5.947489570643868,-4.225020746725992,0.7213729633241011,,,,,,0.13425493580929956,3.3149000051007733,6.626159993490003e-05
summary,all,movebase,diffusion,True,,,,,,,,,,7.896822177618742,0.75,0.0,0.0,1.7019465789229273,2.776479403193801,0.0015590596159156165
