step,ego_x,ego_y,adv_x,adv_y
0,-7.062708120763356,-5.463091578967159,-4.029649820490128,-5.370298774002919
1,-7.0416265074840085,-5.4625494667826375,-3.679096203091469,-5.9261783111429915
2,-7.019365375434126,-5.461266378728262,-3.636224363684522,-6.2011898080781895
3,-6.998574352624158,-5.459922954132295,-3.2620374472038045,-6.650008232898717
4,-6.976920962546199,-5.448145234078046,-3.3789854615231585,-6.9153710015232885
5,-6.95946692409638,-5.433876587528295,-3.241286502583209,-7.498995421568567
6,-6.940321587758986,-5.427058840371466,-3.2377631513632115,-7.675520428960225
7,-6.920681430449902,-5.415671859170535,-3.4920984088624936,-8.05405824207566
8,-6.902735019813718,-5.402130485912278,-3.4959570393543156,-8.272430504773801
9,-6.883401734831262,-5.38914645168434,-3.7037278377635694,-8.22224267225778
10,-6.8631599032186275,-5.3803683812915715,-4.0096610899856895,-8.440918240443667
11,-6.844643056321894,-5.367226251141057,-4.056071131599382,-8.567786847269348
12,-6.824879867693234,-5.354996698206679,-4.0559464692056855,-8.620095696508283
13,-6.804073165210697,-5.340170206292831,-4.041368468797884,-8.643152923491959
14,-6.789789920150926,-5.3202016149709355,-4.041324419803078,-8.628531812032397
15,-6.772194534764048,-5.301865040962908,-4.060956376215694,-8.5898455389766
16,-6.751398219015552,-5.285013750982864,-4.069466927305174,-8.563657592663061
17,-6.73241776098676,-5.265760226895328,-4.079918594049773,-8.546696887850834
18,-6.715801127542803,-5.246654974658701,-4.093042686865306,-8.525947742454267
19,-6.696108680713316,-5.226479366707544,-4.107342609851823,-8.502877039849619
20,-6.676061996878029,-5.206454901408922,-4.120182940612874,-8.48012128494732
21,-6.656235982703723,-5.187288094560753,-4.134118656327517,-8.460712669600897
22,-6.636797335358292,-5.167057536929231,-4.145970919937764,-8.436489153766361
23,-6.6171992756431655,-5.1485139070081765,-4.156786373898419,-8.414689066550066
24,-6.597818285768363,-5.128948542682577,-4.167433327489886,-8.397091471529281
25,-6.57801471982154,-5.1077943632705045,-4.182506604851278,-8.37339440745536
26,-6.5616705996545335,-5.084805076393525,-4.19459851372793,-8.348620868786654
27,-6.543238584974045,-5.063820608306027,-4.203325305345678,-8.326968157689905
28,-6.525003164343797,-5.0414722260173095,-4.215196676647959,-8.306625293111919
29,-6.5096788306606905,-5.016258842693308,-4.2289521478329215,-8.28735134013491
30,-6.492272650005697,-4.993393549537689,-4.233918525228677,-8.268631769736135
31,-6.474513350617984,-4.970033080174579,-4.246618424144562,-8.256083345254218
32,-6.4737670540658945,-4.9681926506794145,-4.271841860754104,-8.222792626356966
33,-6.4588310301906695,-4.9421251346717145,-4.2726009492764145,-8.209447300008165
34,-6.44353008118152,-4.918401854174628,-4.274723098474668,-8.199187665700913
35,-6.427065390651114,-4.893680235849808,-4.276218267688732,-8.188651184942339
36,-6.410222689222708,-4.8684060420980595,-4.2756074912903985,-8.177593558459655
37,-6.395699212500314,-4.844578633581973,-4.275486169007516,-8.168506263188792
38,-6.380723261401941,-4.819622820428721,-4.286642866637411,-8.159667308176848
39,-6.365060154210269,-4.794227472866975,-4.309622780630999,-8.148141064956768
40,-6.350259556025013,-4.769855376274351,-4.327347560505553,-8.140575385214197
41,-6.336024723273062,-4.744883785190621,-4.336488632121727,-8.141071423339762
42,-6.321281555564377,-4.719260542219895,-4.354327112542476,-8.136037339818259
43,-6.30701708087778,-4.694618195030746,-4.35606732424514,-8.13816449023478
44,-6.29368844487289,-4.66903786339517,-4.361249970068351,-8.139547998125616
45,-6.27935280116862,-4.6431729094725,-4.381496147034664,-8.130000298095352
46,-6.2656048904571495,-4.618753618959032,-4.404284366170863,-8.115995189362586
47,-6.253564103076525,-4.594337620377734,-4.4227551994934995,-8.112449185286195
48,-6.241929406270676,-4.57294247316342,-4.436915669293413,-8.115629796118796
49,-6.232269051714295,-4.554424863554182,-4.485813465928311,-8.104335248543947
