row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,1,0,0,83,-142.11762070655823,-6.135498714258677,-2.979125265087672,-2.7136235891739613,,,,,,1.6946198432857558,2.391149910256467,7.049026384918936e-05
,2,movebase,diffusion,True,1,0,0,69,-108.3348161354661,-6.474941938262643,-4.834029920966335,-1.5510131044344657,,,,,,2.6474331364813093,3.3929933360226805,9.890340711066714e-05
,3,movebase,diffusion,True,0,1,0,207,8.119934350252151,-4.046436920227395,-1.1370841187336098,0.0038941228468415685,,,,,,5.0091798399023455,2.99927991486223,0.00011823343821806695
,4,movebase,diffusion,True,1,0,0,91,-137.56982615590096,-2.9421925653354877,-4.1348339467320425,2.962966788498899,,,,,,2.5790157762930592,3.138834520016822,0.00010604431328915347
,5,movebase,diffusion,True,1,0,0,47,-110.91209408640862,-6.1530140978673655,-3.186826455479094,3.0788877132245163,,,,,,2.1641050217112077,2.4561991334653577,0.000132012663725477
,6,movebase,diffusion,True,1,0,0,78,-113.85083341598511,-2.6082611503306357,-3.741262416212466,0.9305055859077105,,,,,,1.7830265488142234,2.4202350053770947,0.00010588203674440819
,7,movebase,diffusion,True,1,0,0,51,-107.60730918496847,-2.8720022067040665,-2.8157167664456546,0.6353530152955816,,,,,,1.8978303976106772,2.0689030566904125,8.055796255992836e-05
,8,movebase,diffusion,True,1,0,0,81,-123.26151296496391,-4.492841708222013,-2.388699053687353,0.5441017261297586,,,,,,1.8351739067126418,2.4637389032769437,0.00017059448492424788
,9,movebase,diffusion,True,1,0,0,60,-112.3089047819376,-6.004203328456713,-3.9707060990435017,1.043740202444909,,,,,,1.9298763723286174,2.878933690714026,0.00016624839320047302
,10,movebase,diffusion,True,0,1,0,49,93.31778192520142,-4.224086828605026,-4.5083227340095515,2.886967139157226,,,,,,3.1945354418749385,2.629586392552871,8.600352451455715e-05
,11,movebase,diffusion,True,0,1,0,47,95.32266267389059,-6.104360044281345,-3.9868460126856484,0.14131171187048774,,,,,,3.310504387207209,2.594282132813468,0.0001412463892920221
,12,movebase,diffusion,True,1,0,0,76,-109.20114006102085,-3.947208700152612,-3.121417777675297,-2.2855913299060284,,,,,,1.8911016749057261,2.3174337935792817,0.00011416134549997935
,13,movebase,diffusion,True,0,1,0,77,92.09135334193707,-6.202155523669446,-4.371295708132083,0.8783258256317543,,,,,,3.1107440614166806,2.7961487643692484,0.00011456755272406457
,14,movebase,diffusion,True,1,0,0,78,-123.78159219026566,-2.664390777013685,-3.891489435860553,-2.723734773994294,,,,,,1.8005148354125318,2.341496937241274,0.00011528086071867385
,15,movebase,diffusion,True,0,1,0,62,85.889054864645,-5.294152052981522,-3.698918634066316,-0.8815768062451186,,,,,,3.07805719255546,2.818532124936234,0.00014694489332540747
,16,movebase,diffusion,True,1,0,0,99,-150.40535533428192,-4.409026660677971,-1.494508312549934,1.3136576050032112,,,,,,1.7894921231885894,2.487738748782313,0.00010319809648636563
,17,movebase,diffusion,True,1,0,0,66,-121.18190165609121,-3.7308531472756066,-1.796059909894148,-2.590068753402709,,,,,,2.376612812510978,2.6282943291504104,0.00014667951319156198
,18,movebase,diffusion,True,1,0,0,55,-110.51720426231623,-3.1510349437428964,-3.1367146660836105,0.5450783759810803,,,,,,4.2202086786739805,2.5953448831741097,8.262133847246171e-05
,19,movebase,diffusion,True,1,0,0,105,-110.40000015497208,-2.1428359041861924,-2.673100044770008,3.0029654559767094,,,,,,1.8241914847598608,3.3159528387955346,9.711872207050534e-05
,20,movebase,diffusion,True,1,0,0,97,-123.48448198288679,-5.947489570643868,-4.225020746725992,0.7213729633241011,,,,,,2.0491455362376145,3.3169239843583473,0.00011933644731854883
summary,all,movebase,diffusion,True,,,,,,,,,,-71.50969029590487,0.25,0.75,0.0,2.5092684535941703,2.7026001200217555,0.00011580628236178793
