step,ego_x,ego_y,adv_x,adv_y
0,-6.01146064021111,-2.8300079640672693,-3.710894478046856,-4.458355433363889
1,-6.011461087307548,-2.830007771202808,-3.7108901020107457,-4.458464596429521
2,-6.011461211427757,-2.830007859208966,-3.710884293875723,-4.458466287670355
3,-6.011461287253212,-2.8300079175019235,-3.713111667875982,-4.438929889927629
4,-6.011461323007931,-2.830007948591856,-3.71794145964492,-4.410343893528997
5,-6.0114613242604245,-2.830007956240272,-3.7198301954440947,-4.3855743239750415
6,-6.011461241742613,-2.830007913761005,-3.731522731810861,-4.338374003490557
7,-6.011461165646068,-2.830007868843765,-3.7368886703292556,-4.312890067351903
8,-6.011461070566254,-2.8300078110220372,-3.7421073422673383,-4.29279793478837
9,-6.011460959137021,-2.8300077420846996,-3.7487629163373013,-4.269764965369212
10,-5.996689805867127,-2.8482771595915,-3.7567971839940553,-4.2441473309327975
11,-5.989326913947263,-2.854759338257143,-3.764561329356984,-4.221352259487968
12,-5.980217084126656,-2.8558114337519704,-3.774619067077105,-4.195935374037876
13,-5.970262349883743,-2.8566040001617043,-3.7847022661409584,-4.17167230382648
14,-5.960017557712288,-2.8609758382507717,-3.7920862878309407,-4.157747229137979
15,-5.943555530100559,-2.8756548172908016,-3.7993983150676085,-4.14509961959702
16,-5.927962878150833,-2.894958689980564,-3.8082798325643097,-4.130883807480857
17,-5.909943843041643,-2.9003375905303344,-3.8149891142715657,-4.116805430243062
18,-5.888151802753996,-2.906769646262262,-3.8183445042824076,-4.109854271786454
19,-5.886453544937745,-2.9066186303917454,-3.82346191794752,-4.10800196600167
20,-5.8863939612892855,-2.9066809209581352,-3.8407754913736536,-4.103709671484243
21,-5.886393792685665,-2.90668207142801,-3.8666477127853316,-4.094302253988309
22,-5.886398458346902,-2.9066812096772305,-3.901928781824979,-4.0605985993564735
23,-5.867396466114271,-2.92236019990926,-3.908812917161128,-4.045041544048176
24,-5.8481631569532135,-2.932078061490745,-3.9232694294243653,-4.023948583541088
25,-5.829989636348558,-2.9404577050945524,-3.9374283604642897,-4.000962816956763
26,-5.809484308609986,-2.952607558700402,-3.9521497671258525,-3.9781911550297324
27,-5.7909460690130885,-2.9680428172784885,-3.966646423313455,-3.958912888499845
28,-5.770710442616631,-2.9798030740392316,-3.98233029464031,-3.9474572252509446
29,-5.754034048036578,-3.0014444681628745,-3.9977048956809695,-3.946445622495796
30,-5.737652775318446,-3.0228021240827125,-4.0138249480251496,-3.954214976502349
31,-5.716673580585213,-3.0385478079678236,-4.029229471060111,-3.9634493010073526
32,-5.695077811301685,-3.056582478223804,-4.04348395381659,-3.9711158630121752
33,-5.67920072310234,-3.07938977913111,-4.057966637778939,-3.9793905684467337
34,-5.659124677363494,-3.0970898185709097,-4.078115596368627,-3.988549960163513
35,-5.658717864242421,-3.097519820739884,-4.097792419395049,-3.983946565073438
36,-5.658721688889242,-3.0975213319555643,-4.107683641107934,-3.9876933290084278
37,-5.6587221853794,-3.097521057072115,-4.124587462514637,-3.981941487732032
38,-5.658722795988796,-3.0975207270068097,-4.167347713168054,-3.9610435355802194
39,-5.637880959998119,-3.1159524690282603,-4.189517164443633,-3.961020022870281
40,-5.619472372430287,-3.138865060327286,-4.215956066591426,-3.9560311141398112
41,-5.599958932846505,-3.1568736552506342,-4.24045650997814,-3.950334134050628
42,-5.5805817571966525,-3.176606972343475,-4.261989664235515,-3.9490311605029498
43,-5.561695482304292,-3.199421308350573,-4.285888167908724,-3.941548501624196
44,-5.542674726497159,-3.21931213669738,-4.311313458253722,-3.9285903088656258
45,-5.525068655544681,-3.240222873386734,-4.3378445656493145,-3.923367383901956
46,-5.50882419944369,-3.264269918535046,-4.3608908670362645,-3.9162219735278208
47,-5.489841208923303,-3.286130023411466,-4.383507757268783,-3.899324879526173
48,-5.4753844541358,-3.309271696919145,-4.411461435751293,-3.890682111609702
49,-5.46204788464812,-3.3346563991711804,-4.439647065634851,-3.8826588631234293
50,-5.444838418005346,-3.3577155420668574,-4.466157409624508,-3.8716746121011276
51,-5.428781353197183,-3.3809236627154173,-4.49321189023067,-3.861945896312896
52,-5.429447930432964,-3.3817961160479717,-4.520564313891663,-3.8526410737819283
53,-5.429445088488791,-3.3817995607538585,-4.5483220094444805,-3.8418623447749503
54,-5.42944176709443,-3.381804031043766,-4.575574435994122,-3.8318900287569333
55,-5.42943480626628,-3.3818135992341674,-4.601901327317195,-3.821618704794567
56,-5.4185043409338824,-3.4086149225709788,-4.655050939672585,-3.797819882781858
57,-5.402384609065662,-3.4322846095956154,-4.682162752920476,-3.7870187525291183
58,-5.385719937187298,-3.4567456481292944,-4.710763551201686,-3.7752098016671796
59,-5.373104054232917,-3.4815132102581803,-4.737487875069222,-3.764151316854867
60,-5.360321195586391,-3.5026287809693444,-4.763442635609618,-3.753330263068222
61,-5.348650496412627,-3.5211105898493194,-4.790150865280373,-3.739343582842529
