row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,50,93.01242949068546,-3.2769627962953507,-2.0837101907504048,0.9352365277213499,,,,,,5.7430281637239675,2.243629782192972,1.9286153172385347e-05
,2,movebase,diffusion,True,0,1,0,60,76.29865363240242,-2.326656723081979,-2.9975401695492185,2.457393888871654,,,,,,1.25158105788018,2.247597069517442,0.00013545941810821124
,3,movebase,diffusion,True,0,0,0,100,-43.71908286213875,-2.806235099715511,-2.0478172026256076,1.6468621439059687,,,,,,0.8351501724734475,2.17972086638378,8.980354306354964e-05
,4,movebase,diffusion,True,0,1,0,95,65.46507447957993,-4.794279896102881,-3.5915589968110715,-2.2179514275261107,,,,,,0.5700271595735407,2.828139988064881,9.281705633295451e-05
,5,movebase,diffusion,True,0,1,0,60,70.02796855568886,-1.2404114168982643,-1.9913857084884228,-1.503588360722839,,,,,,2.0452677421613408,2.191626663393837,0.0001240892414593674
,6,movebase,diffusion,True,0,1,0,94,78.16135533899069,-6.497141871677367,-1.5942680337697133,-1.430663193572227,,,,,,0.31788906521917454,2.2906380781471753,8.517276770448127e-05
,7,movebase,diffusion,True,0,0,0,100,-37.22080969810486,-6.273999035184884,-3.8228694960048126,-1.7129226060429243,,,,,,0.7882182378045336,2.204360783788826,6.145472048232208e-05
,8,movebase,diffusion,True,0,0,0,100,-31.060369573533535,-1.0325461799806277,-3.0711290049163953,2.446506055005578,,,,,,0.7376385046035911,2.2527768073890857,8.678800558961732e-05
,9,movebase,diffusion,True,0,0,0,100,-34.29260918498039,-3.662676573516144,-1.892779494723284,1.1257560651338183,,,,,,0.2959573070512127,3.0115087751374627,9.204263475022597e-05
,10,movebase,diffusion,True,0,0,0,100,-39.93153351545334,-5.503881081084124,-3.651912917172801,2.99018225948978,,,,,,0.21706965086719196,2.3108553613024334,9.450746592735797e-05
,11,movebase,diffusion,True,0,0,0,100,-22.254362255334854,-2.9750743027710196,-2.3555987434463668,0.9478236109969026,,,,,,0.5057832577398358,2.847879421142318,7.972796128286118e-05
,12,movebase,diffusion,True,0,0,0,100,-21.09888932108879,-5.4917063916736994,-3.740009004255582,-2.51622697200115,,,,,,0.8542235182587651,2.2685961730795716,9.655310448068518e-05
,13,movebase,diffusion,True,0,1,0,50,86.01389352232218,-5.900536349508824,-3.2408959325818554,-1.5587622352155768,,,,,,2.955337656954537,2.215369211950863,7.311354294546297e-05
,14,movebase,diffusion,True,0,0,0,100,-49.88921257853508,-1.508901011407013,-4.44062154742374,-1.499996940723084,,,,,,2.143098140954996,3.42247589524477,9.764506417547839e-05
,15,movebase,diffusion,True,0,1,0,55,91.75411501526833,-2.7238312306744055,-1.0734281106573667,0.06911358737937888,,,,,,5.36385263904243,2.5924630288859456,0.00013190989186601833
,16,movebase,diffusion,True,0,0,0,100,-31.23500707745552,-3.1671104465439233,-3.4791166100309576,-0.9023158179220447,,,,,,0.727605254479651,3.135375988808382,8.393852340671334e-05
,17,movebase,diffusion,True,0,0,0,100,-26.568266063928604,-3.097576667347169,-4.322351410187984,1.2433182665758982,,,,,,0.11795551406140098,2.2184600176778755,0.0002155811550965343
,18,movebase,diffusion,True,0,1,0,48,93.64076533168554,-1.0277747142743934,-3.3737435680690617,3.0332546652180103,,,,,,2.9105509012588278,2.5447101116203683,8.303997236345762e-05
,19,movebase,diffusion,True,0,0,0,100,-43.564560264348984,-6.23546681878475,-1.383565059525527,2.926297661694862,,,,,,4.117232698642293,2.987243858948475,9.346390817936997e-05
,20,movebase,diffusion,True,0,0,0,100,-37.3515444919467,-1.3745136800666167,-3.152248271014501,1.670659337828238,,,,,,0.6480350249016703,2.5987660552584932,0.00010768870595932316
summary,all,movebase,diffusion,True,,,,,,,,,,11.8094004239887,0.4,0.0,0.0,1.6572750833826297,2.5296096968967485,9.720414181731886e-05
