step,ego_x,ego_y,adv_x,adv_y
0,-3.9695125220764647,-3.6831769012346927,-2.891866577024002,-1.0470630162748853
1,-3.9709684689597218,-3.674029507868106,-2.8933592449048438,-1.0470079454270655
2,-3.966131392582265,-3.6729652668906643,-2.905242577999839,-1.0495859337978644
3,-3.967537746272502,-3.675190965350743,-2.9116257148858513,-1.0527898556034783
4,-3.9679090909806547,-3.6758616877474393,-2.912933226525725,-1.0589731206796031
5,-3.9680711003184905,-3.6763999414836492,-2.921688260491694,-1.0781787485500807
6,-3.9680974850901354,-3.676862543082176,-2.9288861873891916,-1.1033852418878716
7,-3.9681421845443987,-3.677280671519272,-2.9395712191794257,-1.1269539226056102
8,-3.96815290061057,-3.6774947346391547,-2.961212261534059,-1.1376550341226086
9,-3.968189406627821,-3.678177738229701,-3.005722820538796,-1.1628451344795612
10,-3.968789457577172,-3.6768757552659665,-3.026462256258611,-1.1761017850802302
11,-3.9684924984208374,-3.672950018378795,-3.04623530925995,-1.1934327971526966
12,-3.967459409546754,-3.6623735302415072,-3.0674731452886834,-1.2088546431628118
13,-3.9673830952153515,-3.650862504025556,-3.0867843019259165,-1.224424554192277
14,-3.9674541796518183,-3.6363995112377654,-3.102696038774396,-1.2423047693953153
15,-3.967936609830807,-3.625346128813599,-3.1187960736875944,-1.2663248916017857
16,-3.9670025861658145,-3.606909127769132,-3.138441627111641,-1.2854338100143425
17,-3.9649927988132667,-3.586015807963394,-3.1567167617225125,-1.306101118190096
18,-3.960093604663254,-3.562707911428012,-3.1724772576713893,-1.3296849555642856
19,-3.9503612806737225,-3.5469893015815384,-3.192763994188183,-1.351357315283683
20,-3.93269632076735,-3.5285529337072306,-3.2119088763134434,-1.3724185636569077
21,-3.9136587766379636,-3.510008724704993,-3.2300052971886934,-1.3946417468865484
22,-3.9063655030688085,-3.489288163898161,-3.249633540159507,-1.4163304809376338
23,-3.906279391815915,-3.4888071517016948,-3.26890832055365,-1.4380367842155302
24,-3.906279366745901,-3.4888066436836875,-3.2882374139895703,-1.4608027754965893
