step,ego_x,ego_y,adv_x,adv_y
0,-3.218084396944479,-4.852939050835312,-3.3042117437483705,-1.677150742620083
1,-3.2180845301989938,-4.852939857828496,-3.304210769146998,-1.6771512251199954
2,-3.2180847598180784,-4.852941358036481,-3.3042088247863695,-1.677152198245369
3,-3.2166265999808332,-4.825094022704617,-3.304207853137693,-1.677152685239587
4,-3.2120977951064904,-4.794967416962372,-3.304206881780685,-1.6771531724580895
5,-3.2118607817036025,-4.778103866613496,-3.3042059106784296,-1.677153659868784
6,-3.212417384258021,-4.755876627609844,-3.3042049397981845,-1.6771541474443825
7,-3.214789971065209,-4.727243983246297,-3.3042040089525395,-1.6771545600899733
8,-3.2135409432522692,-4.702924838083868,-3.304203273461328,-1.6771548972585693
9,-3.2063459660031888,-4.677806254256805,-3.3042025463000524,-1.6771552464333594
10,-3.203360174438877,-4.653068976058064,-3.30420182045841,-1.677155595366237
11,-3.1999906857749045,-4.633020504169162,-3.304201095763397,-1.6771559440152983
12,-3.1988622758399203,-4.611610822840791,-3.3042003720961683,-1.6771562924030747
13,-3.195013505745761,-4.588396809343257,-3.3041996493502586,-1.6771566405510598
14,-3.186709451052404,-4.564965554963945,-3.304198927430086,-1.6771569884793367
15,-3.177092614902868,-4.54432125198405,-3.3041982062498363,-1.6771573362066132
16,-3.1691862704180953,-4.527866060568848,-3.304197485732462,-1.67715768375028
17,-3.16076662876903,-4.513632544355133,-3.3041967658087845,-1.677158031126464
18,-3.155891264962126,-4.506356371530479,-3.3041960464166857,-1.677158378350096
19,-3.1560320777888395,-4.506544470782532,-3.3041954550839514,-1.6771586877099214
20,-3.1563760301831447,-4.507354018216232,-3.3041948911721963,-1.677158962099082
21,-3.1567723714119276,-4.508080405172735,-3.304194327489392,-1.6771592363573131
22,-3.154648212309889,-4.504297966000806,-3.304193200781253,-1.6771597845975539
23,-3.1531704437295005,-4.493247117766863,-3.304192637715472,-1.677160058596248
24,-3.1492882713095915,-4.481337163631569,-3.3041920958225206,-1.6771603296014344
25,-3.1488419964146783,-4.4614632647223464,-3.3041915754927205,-1.677160581545147
26,-3.1544095832347185,-4.43569874748428,-3.3041910694226297,-1.6771608399411437
27,-3.162325006563901,-4.428697820777011,-3.277402913869121,-1.6873924430705927
28,-3.174507805579225,-4.4313437979903245,-3.250756885097969,-1.6992053533031564
29,-3.185264987711972,-4.4330045185761096,-3.2447574404448485,-1.703133908795861
30,-3.1929680607737687,-4.43303172029286,-3.2437035999050328,-1.7067047832910403
31,-3.1886521690698997,-4.428910982092783,-3.2455959961974803,-1.7244602445610633
32,-3.1817609680016004,-4.42697358322496,-3.2407545233709927,-1.7339574165817353
33,-3.177618912688412,-4.424532010039681,-3.233236979962015,-1.7436829401595022
34,-3.178177260695819,-4.417473694853493,-3.2217292619047764,-1.756238040980056
35,-3.181624603373132,-4.405711236231935,-3.2079268215249863,-1.7751160726400468
36,-3.1876756479082897,-4.397283185289129,-3.1920600369795844,-1.7968390672219177
37,-3.1974900880809787,-4.390709664168389,-3.1785148278331437,-1.816530540326999
38,-3.1983552349659417,-4.389279999256021,-3.1730266968432166,-1.8379378016919459
39,-3.1983735492984207,-4.389282161639626,-3.1751185172360312,-1.8653466579201172
40,-3.198543097518663,-4.38919078400017,-3.171476302898378,-1.8871739214689018
41,-3.198591663032431,-4.389187848293568,-3.1616529176381096,-1.9082086840560264
42,-3.1985935761447326,-4.389187531046171,-3.1406663922951323,-1.9552634538452573
43,-3.208385374840404,-4.385379165250828,-3.1303935868870547,-1.9765399626446774
44,-3.2190232033781943,-4.3781046677776905,-3.121857552170146,-2.0025443592645193
45,-3.2327902923595744,-4.36740399690816,-3.1142722489436485,-2.030560389637406
46,-3.247761488015621,-4.354870206161231,-3.1073139483030467,-2.051903151828442
47,-3.2617939781404193,-4.34164163431241,-3.1061578561932492,-2.078381063225677
48,-3.2751475260933076,-4.32265996949298,-3.1032788068475248,-2.106793089413047
49,-3.2802645850511456,-4.295566058390973,-3.0956981205402263,-2.1341521215969474
50,-3.29013677207469,-4.274298887735461,-3.0940442383108637,-2.1626747517108336
51,-3.3041564395864165,-4.256225464920484,-3.092706274152077,-2.190982106346925
52,-3.318622164937277,-4.2322603869574635,-3.0867059854076504,-2.218130540829553
53,-3.333272213306364,-4.21085204662923,-3.0822994975625955,-2.2470936892095033
54,-3.346600077711009,-4.191694343200332,-3.082627704154714,-2.2756021230043277
55,-3.3594149182622055,-4.168199137125255,-3.078345852935236,-2.302245700746592
56,-3.3727134189837362,-4.143887200418285,-3.0748959942875635,-2.3320566171583126
57,-3.3831689827080416,-4.120306793960634,-3.0718438345376566,-2.36020862654321
58,-3.3911588331990354,-4.092519869116297,-3.06762112989272,-2.387294021112596
59,-3.3912898535136846,-4.091289313956537,-3.0657270137438735,-2.416412859792196
