step,ego_x,ego_y,adv_x,adv_y
0,-3.2180832231381706,-4.852931057079208,-3.30421848020873,-1.6771464493870476
1,-3.217056322891728,-4.82518572990276,-3.3042177636433423,-1.6771467886738278
2,-3.212739173897826,-4.795692444964074,-3.30421704749605,-1.6771471287197308
3,-3.210311671912782,-4.777747633791492,-3.3042163317111055,-1.6771474694023434
4,-3.2106743595537597,-4.756256851952911,-3.3042156162500023,-1.6771478106340514
5,-3.212560217024048,-4.727169152493626,-3.3042149010781943,-1.677148152339373
6,-3.2094521180878326,-4.701939912204161,-3.3042141861646246,-1.6771484944532011
7,-3.2023626105825067,-4.678424410725543,-3.304213471481379,-1.6771488369193903
8,-3.2013253559056727,-4.654376052451996,-3.3042127570033695,-1.6771491796895377
9,-3.199146135156087,-4.633799769205401,-3.30421204270805,-1.6771495227219317
10,-3.1944735292974378,-4.6142194260618865,-3.3042113285751626,-1.6771498659806343
11,-3.1924856857473958,-4.589714226473404,-3.304210614586505,-1.677150209434693
12,-3.192751910390774,-4.584327041763554,-3.3042099007257257,-1.6771505530574604
13,-3.1923989338339154,-4.583750465050235,-3.3042091869781327,-1.677150896826004
14,-3.1920545517314194,-4.583151390118485,-3.3042084733305304,-1.6771512407205964
15,-3.1917121500484966,-4.582587007588609,-3.3042077597710673,-1.67715158472427
16,-3.191365673780091,-4.58200086829162,-3.3042070462890973,-1.677151928822445
17,-3.1910051998274107,-4.58144557404731,-3.3042063328750584,-1.6771522730025918
18,-3.1906778138860825,-4.580936129345852,-3.3042056195203657,-1.677152617253956
19,-3.1903225486295517,-4.580351204678386,-3.3042049062173064,-1.677152961567304
20,-3.1899865256934756,-4.579799706788818,-3.30420435851144,-1.6771532416555366
21,-3.1893105643110795,-4.578688651573824,-3.304203240477084,-1.6771537862966235
22,-3.176816689792392,-4.5546292046087435,-3.304202681352154,-1.677154058613988
23,-3.167022014041471,-4.5354192195664425,-3.3042021221688755,-1.6771543309309873
24,-3.158925400416164,-4.518508172363979,-3.3042015720290574,-1.677154604308393
25,-3.150653110170438,-4.504038296941608,-3.30420107059779,-1.6771548629392146
