step,ego_x,ego_y,adv_x,adv_y
0,-3.2180845191737677,-4.852932307839392,-3.265342388613751,-1.7108436050202924
1,-3.218084631336125,-4.852933279126437,-3.227077301444585,-1.7393918227174063
2,-3.2171670365493763,-4.8251705911239595,-3.188719796727069,-1.7712910668661317
3,-3.2123375314601605,-4.7955337528793995,-3.156542960530197,-1.8099183342323826
4,-3.2108243774377696,-4.77690947808207,-3.128374630734911,-1.8496838021692255
5,-3.207102865158712,-4.756643568818232,-3.0986707582323687,-1.8915559340327077
6,-3.2012385547361757,-4.726944595609202,-3.071155317928478,-1.9304458779595068
7,-3.1951309299737534,-4.697917230912704,-3.0448820159250785,-1.9724834895407966
8,-3.191471636205361,-4.678995224829472,-3.019724686456454,-2.013605574796914
9,-3.1885763728216348,-4.659232433777892,-2.9959333585872807,-2.0567296211788393
10,-3.1821406808648907,-4.629898946158693,-2.9746575762324623,-2.100838509810017
11,-3.17545046489043,-4.60070546962965,-2.9561968722293166,-2.1466132315274478
12,-3.1711383533048547,-4.580571534930704,-2.9406357453640166,-2.1921868925606383
13,-3.166212595324608,-4.559200031869335,-2.9270149020193585,-2.2401334109840154
14,-3.16022403876422,-4.53091808723571,-2.9123425089929023,-2.283916785149321
15,-3.1538180894554118,-4.503077612886486,-2.8998491068194605,-2.3339121164246976
16,-3.1521341619096517,-4.4818604470727825,-2.892700080879546,-2.3802768826475966
17,-3.1533838310675733,-4.48127544257724,-2.8852927334237215,-2.4312855526410195
18,-3.153381031332027,-4.481279031850739,-2.8806453043203777,-2.4785156632262746
19,-3.153381347163972,-4.481280183312099,-2.8750774971897646,-2.5289574884991617
20,-3.1533816581492387,-4.481281343105215,-2.876521019107674,-2.5783049309839936
21,-3.153381971473455,-4.481282509863819,-2.874915769912156,-2.627904864746409
22,-3.1533822868787316,-4.481283682699631,-2.877525912643947,-2.6774832624458322
23,-3.153382604097164,-4.481284860850494,-2.8765134866207402,-2.7270671447339336
24,-3.153382922896083,-4.481286043653368,-2.8757093847918935,-2.7766590484385683
25,-3.1533832430735997,-4.48128723053117,-2.8748678205265215,-2.8265589224512526
26,-3.153383886886576,-4.481289614566562,-2.8746021415066325,-2.9256999263642354
27,-3.1496965921078504,-4.452457060838333,-2.8744227107169413,-2.9742684424709838
28,-3.142292377536257,-4.425176995141707,-2.8755083488688222,-3.0250301763610974
29,-3.135361061047014,-4.401567521232495,-2.877143648130936,-3.0738401089497005
30,-3.1331439535012233,-4.380972905573201,-2.8790910598065493,-3.125008591348513
31,-3.12650093862979,-4.357690433805107,-2.8822043630303154,-3.1737065771598583
32,-3.11894141808904,-4.331191326485676,-2.8869151767521255,-3.2241886516976206
33,-3.1095963963755224,-4.303893522486243,-2.8903147730694103,-3.2726801760340782
34,-3.103897824686566,-4.284308112473114,-2.894125031586042,-3.3236151885947787
35,-3.098141671996669,-4.268111652119875,-2.898209441411523,-3.3722827998972598
36,-3.090040488308823,-4.242687520471187,-2.9027919800907607,-3.422322440652163
37,-3.0815637142069314,-4.214584459729454,-2.907890323773223,-3.471442072743864
38,-3.0731889066906475,-4.195051542567647,-2.9129961486303713,-3.521449682524122
39,-3.066969775216404,-4.177615466332352,-2.9189955482819245,-3.570939687355527
