step,ego_x,ego_y,adv_x,adv_y
0,-3.2180859884751456,-4.852941789188398,-3.3042099053106204,-1.677150221489084
1,-3.2167369037087137,-4.825213263500533,-3.3042084625866077,-1.6771508983234142
2,-3.2118768917042275,-4.79475630752561,-3.304207743453862,-1.677151239938053
3,-3.211087580320777,-4.777876274284765,-3.304207024825299,-1.677151582115142
4,-3.213286012721626,-4.756817628901066,-3.3042063066440206,-1.6771519247766618
5,-3.212212767861823,-4.728442806235315,-3.304205588859494,-1.6771522678555097
6,-3.2087538387622767,-4.703694174826549,-3.3042048714267507,-1.6771526112938706
7,-3.201683869818016,-4.680013596491602,-3.3042041543057703,-1.6771529550419446
8,-3.197787524039469,-4.657220022985903,-3.30420343746093,-1.6771532990568534
9,-3.1967390349486076,-4.635601058729597,-3.304202720860511,-1.6771536433016891
10,-3.193388724948143,-4.615340211239411,-3.304202004476273,-1.6771539877446953
11,-3.189405029648234,-4.591126180035308,-3.304201288283067,-1.677154332358562
12,-3.1803486079937313,-4.565844730395092,-3.304200572258492,-1.6771546771198098
13,-3.1716428267784162,-4.54767266743559,-3.3041998563825934,-1.677155022008265
14,-3.166481942033783,-4.532827240657219,-3.3041991406375892,-1.6771553670065986
15,-3.1575858116205495,-4.51614944835949,-3.3041984250076384,-1.6771557120999372
16,-3.1580413277088493,-4.494472293446558,-3.3041977094786192,-1.6771560572755182
17,-3.158400829843829,-4.494510246660426,-3.3041969940379454,-1.6771564025223977
18,-3.158548871416242,-4.494677266803733,-3.3041962786743957,-1.677156747831197
19,-3.158793800807234,-4.4950505873850455,-3.2780293456974507,-1.6921733094507676
20,-3.1590122827453606,-4.495384431584598,-3.2507700778823483,-1.7069082919320817
21,-3.159222716213922,-4.495629838386058,-3.2254013801016588,-1.720931367121952
22,-3.159475820183166,-4.496144218458365,-3.218272266401908,-1.730030940852495
23,-3.159708707467376,-4.496526254310631,-3.213909567125681,-1.7380826174696953
24,-3.1598227311812304,-4.496670833349706,-3.209138802406694,-1.747658202480123
25,-3.1599149870340324,-4.496768361688699,-3.205814442622883,-1.7559741275741796
26,-3.160030913325795,-4.496914612999705,-3.20031355050482,-1.7695354578226448
27,-3.1602837444475433,-4.497259306417434,-3.1782915846490747,-1.8152020301328904
28,-3.1577784119259857,-4.492916211620898,-3.1693681244100183,-1.8366916400466782
29,-3.1589262273265892,-4.477476991059271,-3.1652734827811333,-1.862221080677494
30,-3.1578472340990746,-4.45862276763648,-3.159703007067494,-1.8872323053104734
31,-3.1595274000580056,-4.43282474233165,-3.1506717745452937,-1.9132391106102398
32,-3.1637473737462463,-4.406156957883236,-3.1461519857610156,-1.9419637415285178
33,-3.1702820516266,-4.399606939990552,-3.143454885127342,-1.9690722436933208
34,-3.1802679499981372,-4.400749626910115,-3.1366362040614506,-1.995281925723713
35,-3.1909357321261993,-4.401116001256439,-3.129382485350915,-2.024894425511712
36,-3.1989474960398923,-4.399815152149303,-3.127889782621224,-2.0526401236646197
37,-3.2019707646269024,-4.395964310007249,-3.1224421223150682,-2.078507515438286
38,-3.1974735223368658,-4.393869220329734,-3.1176086572882094,-2.1075115618611813
39,-3.1944572333308683,-4.392735335979126,-3.112440796643623,-2.1362698965283062
40,-3.195877533577881,-4.388655537111307,-3.1075894645383806,-2.163357666354981
41,-3.200323129151806,-4.380627078918617,-3.1032560974602688,-2.1924644713636594
42,-3.2030676889372525,-4.359732747281316,-3.0983812946989264,-2.2227313373335713
43,-3.2072974605280056,-4.33685638702785,-3.0948455546886176,-2.250127924774942
44,-3.2092939473964246,-4.333833766970002,-3.091756394253407,-2.278743342823387
45,-3.209295870928302,-4.333794107156425,-3.0882492663797514,-2.308499091247556
46,-3.209533699839068,-4.333622557727265,-3.0849559179716253,-2.337258230833699
47,-3.209602741438889,-4.333607916626329,-3.08343005751377,-2.365922969496575
48,-3.209626832528139,-4.3336158899253725,-3.0820259533056658,-2.395535690255322
49,-3.2098699047917094,-4.333448981139323,-3.0791348362092714,-2.4249139109715143
50,-3.2099488542825534,-4.3334325413491825,-3.0763387446238455,-2.454332754443877
51,-3.210239559658265,-4.333313968289384,-3.0702723740635998,-2.513633163369001
52,-3.2235540703130487,-4.327673567409382,-3.068007763342226,-2.543191135645946
53,-3.2404917342020703,-4.3158580439896985,-3.0656556608642913,-2.572986456122948
54,-3.261409942966315,-4.302494485603016,-3.0629550643901786,-2.6024345059374747
55,-3.2794662752209893,-4.288488259293953,-3.061226690304519,-2.632527498058105
56,-3.2899080844778736,-4.277031235262167,-3.059557469165399,-2.662255507639704
57,-3.2980688933426894,-4.2572552566683335,-3.0572829139553135,-2.6916149601526684
58,-3.3129245102350096,-4.241485042845571,-3.055181794455658,-2.721872333184564
59,-3.3259664557345037,-4.227312873461073,-3.0535328088709486,-2.751646226664578
60,-3.342097118632742,-4.20804490961734,-3.0520182870877415,-2.780660505231951
61,-3.3585996959213325,-4.188650179212955,-3.050271907544809,-2.8110880067719126
62,-3.372964374193637,-4.174879305795371,-3.0520979762972473,-2.8403935050463684
63,-3.387679981407036,-4.156371548757804,-3.0511690306427357,-2.8682543384934753
64,-3.4019535981407154,-4.135007062371331,-3.050634830947241,-2.8980959801306962
65,-3.4051312255496367,-4.1292310780313315,-3.0497652580344994,-2.9276944820953306
66,-3.4056295137304615,-4.128490365910233,-3.048507408887835,-2.95445001979059
67,-3.4061429025369754,-4.127770808107573,-3.0492477204472,-2.9826922683513173
68,-3.4066190704425874,-4.1270063810915945,-3.0503494382690315,-3.012838304456965
69,-3.407162885609367,-4.126227406532603,-3.050424819302803,-3.037225210890911
70,-3.407722936329308,-4.125392060715915,-3.0523161765519453,-3.065308747090845
71,-3.408225903549957,-4.124651123445176,-3.054323711993448,-3.095206924995085
72,-3.4091744628919605,-4.123229887984039,-3.059583419109228,-3.1497783119384954
73,-3.425885715128358,-4.0993948138244,-3.0666735432500567,-3.1767917427662726
74,-3.439455719152755,-4.077149342729963,-3.07068090308115,-3.206085600355613
75,-3.451583999851109,-4.0529790749980075,-3.076025589948798,-3.234392174610554
76,-3.464344480003116,-4.028649761769638,-3.0850497255454377,-3.262071274286634
77,-3.4766644686470713,-4.003733073810551,-3.090674156412456,-3.2899868543781174
