row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,51,85.71766400337219,-3.2334386727885676,-1.115249919917567,-0.3608378469501627,,,,,,5.565374572121502,2.0172827755090026,9.428996498457576e-05
,2,movebase,diffusion,True,0,1,0,59,76.37907963991165,-4.326178706896441,-1.4620972938818597,1.357536775523066,,,,,,6.107465803587778,3.58855958763145,9.265211863888514e-05
,3,movebase,diffusion,True,1,0,0,57,-107.77679970860481,-6.313428517869994,-4.43279705036192,-1.6438881326024757,,,,,,0.5957581633711301,2.485583479319317,0.00023739593372700308
,4,movebase,diffusion,True,0,1,0,47,86.81081309914589,-5.183106153105927,-2.9605252672641322,3.088253048919353,,,,,,4.200382909208076,2.3388924267715026,7.911896099443854e-05
,5,movebase,diffusion,True,0,1,0,35,91.85607970505953,-2.4994063092654377,-2.9381008766999845,-0.5896621830685165,,,,,,8.659886920988834,2.8914676082546085,0.00016961033017400765
,6,movebase,diffusion,True,0,1,0,72,90.02603894472122,-1.1143323473293876,-2.5240483683302894,-1.9338364960819794,,,,,,2.697164642560099,3.3110153810000496,0.0001402855436412387
,7,movebase,diffusion,True,0,1,0,62,91.93128653615713,-2.895977592952365,-3.5821265448171777,-0.5897897674487603,,,,,,5.154575335299506,2.271077347425597,0.0001524234569114033
,8,movebase,diffusion,True,0,1,0,62,83.89714729040861,-4.195868388183531,-2.85809357951303,0.1167609023076726,,,,,,4.393145795949083,3.429716004450524,0.00014437679510318995
,10,movebase,diffusion,True,1,0,0,39,-116.11919620633125,-2.1299404289154262,-3.1013857949168346,2.0681993487387715,,,,,,3.332108694368626,2.3113609571943736,0.00013423250513944291
summary,all,movebase,diffusion,True,,,,,,,,,,42.52467925598224,0.7777777777777778,0.2222222222222222,0.0,4.522873648606071,2.738328396395158,0.00013826506770157608
