row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,54,91.81194364279509,-2.8512513028039423,-3.328228302721155,-0.9838075459530425,,,,,,3.0941651807762414,2.4489846210807173,6.891288251547473e-05
,2,movebase,diffusion,True,0,1,0,46,92.75881217420101,-3.3331256496162625,-2.8075770310068626,2.17329650380073,,,,,,3.9620677440446523,2.654833355455251,8.46865172532071e-05
,3,movebase,diffusion,True,0,1,0,46,92.1353935226798,-3.1892715147862787,-4.348198433141786,1.374661840275345,,,,,,5.396034521516269,2.5768212132517037,0.0001201943516216091
,4,movebase,diffusion,True,0,1,0,69,82.3009148016572,-1.0344668719731205,-4.596857574595862,-2.391717627682528,,,,,,1.926490715548884,2.52657355066461,0.00011173635814248166
,5,movebase,diffusion,True,1,0,0,65,-109.78013224899769,-6.475830123375455,-4.422371390167401,-1.3793433375984785,,,,,,0.9047611202739083,2.90576250748107,0.00010374260022505984
,6,movebase,diffusion,True,0,1,0,52,81.88364642858505,-1.2348680185608627,-4.162168878847775,1.8229467638770593,,,,,,3.9022847012706143,2.407180719371788,0.00010486036871460783
,7,movebase,diffusion,True,0,1,0,43,93.53980620205402,-3.2292651759570323,-1.2552746912453925,-0.5555460054911754,,,,,,3.208398257348421,2.3108280063825917,0.00020809394104979924
,8,movebase,diffusion,True,1,0,0,118,-113.57635828107595,-6.306802083281613,-4.919665080275999,-0.9257063644007015,,,,,,0.8763709864293168,3.0636359113762577,9.475122975585425e-05
,9,movebase,diffusion,True,1,0,0,65,-110.14495702087879,-3.287307837234395,-4.380325655209307,-1.570336309583559,,,,,,0.8260965759241755,2.3402783365345234,0.0001166605358296499
,10,movebase,diffusion,True,1,0,0,22,-102.10000003129244,-1.2606359576728678,-3.2949310425872507,2.4367570468190314,,,,,,5.3292528866590025,2.11293437749701,0.00012717705713737889
summary,all,movebase,diffusion,True,,,,,,,,,,9.882906918972731,0.6,0.4,0.0,2.9425922689791486,2.534783259909552,0.00011408158422451225
