row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,64,93.19030267745256,-4.743483039333372,-3.487222166094424,-2.2277795417372515,,,,,,3.813461896328759,3.004917860544707,7.739283270877365e-05
,2,movebase,diffusion,True,0,1,0,59,86.41180215030909,-1.9448177271528513,-3.5830528097531844,0.07229093578305276,,,,,,2.451782511287785,3.4960993245965817,0.00011960916567761517
,4,movebase,diffusion,True,1,0,0,53,-114.03813590109348,-3.2377033278394176,-4.689304274436676,-1.7693858943227918,,,,,,1.10352080403288,2.744896061117105,0.00014053717718988344
,5,movebase,diffusion,True,0,1,0,53,87.69873882085085,-3.2958783510641863,-2.566574801418377,2.4105309071154557,,,,,,5.413378241562823,2.8152695408208253,9.499309431309263e-05
,6,movebase,diffusion,True,1,0,0,32,-104.91988654434681,-2.9822558846815093,-2.3423926355289373,1.7902465437866912,,,,,,5.750203362077626,2.6596008489536764,0.00016739164459748164
,7,movebase,diffusion,True,0,1,0,78,85.32727808505297,-1.0873795812460543,-4.040540018639052,-2.1866188973818304,,,,,,1.8869051386867781,3.2222373383195233,0.0001524809487955033
,8,movebase,diffusion,True,0,1,0,76,87.60556874424219,-3.9082701188052447,-4.56336736371488,-2.4065670737289637,,,,,,1.6722798374156498,2.7612295486963894,0.00010619354615587517
,9,movebase,diffusion,True,1,0,0,63,-121.62955424189568,-2.783550030598807,-2.026316081445649,-2.818777986683253,,,,,,3.5572520602272437,3.0519911907222834,0.00015018592001447747
,10,movebase,diffusion,True,0,1,0,67,84.85187514126301,-6.454521939313557,-1.652300337695113,0.9281252470433562,,,,,,4.692271665454039,3.1906157593014894,0.0001449913889456173
summary,all,movebase,diffusion,True,,,,,,,,,,20.499776547981632,0.6666666666666666,0.3333333333333333,0.0,3.3712283907859533,2.9940952747858423,0.00012819730204425778
