row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,71,80.3466629087925,-6.428549548807955,-1.6654973801578854,2.178626536865229,,,,,,2.293577033536198,3.5541994952815807,0.0001446235396790462
,2,movebase,diffusion,True,0,1,0,40,91.92334244400263,-3.3185351637913727,-1.8911735417531799,-1.0008252648220854,,,,,,4.538289820413522,2.6887312997647603,0.00019013153451878425
,3,movebase,diffusion,True,0,1,0,54,89.52263948321342,-4.08200794698151,-4.499817861978974,3.139252865078963,,,,,,2.3582246419548225,2.7124989503838624,0.00011441615381266884
,4,movebase,diffusion,True,1,0,0,78,-112.67982083559036,-4.427771302043992,-2.6836672228705742,1.9450186630432766,,,,,,0.44894242035636267,2.95001230341126,0.00014472858790471666
,5,movebase,diffusion,True,1,0,0,69,-112.57019916921854,-4.531410351765441,-3.5423499415701936,-2.2981431072949405,,,,,,1.6190422792332997,3.004128451598263,0.00010512676868900245
,6,movebase,diffusion,True,1,0,0,213,-185.77011209726334,-6.313956097347696,-1.0812149488213092,-0.9909234809622885,,,,,,0.4089924708888683,3.4150469320202435,8.951542495661517e-05
,7,movebase,diffusion,True,1,0,0,126,-131.62497663497925,-2.2119967124742193,-2.6598185141006714,0.7983466925150571,,,,,,0.9875115777275856,2.0299771506936284,0.00013367212118199523
,8,movebase,diffusion,True,0,1,0,48,91.16179279983044,-3.17349529152831,-4.119676531994995,1.0183419583723226,,,,,,1.0558481087099365,2.1658285397485573,0.0001161702270784475
,9,movebase,diffusion,True,0,1,0,113,82.74261982738972,-5.645025695552119,-3.6425122209529976,-1.0399627610937776,,,,,,1.2643990467304325,2.6892914376777766,9.37578652566651e-05
,10,movebase,diffusion,True,1,0,0,88,-131.81202513724566,-1.2905745765362795,-2.8417103753106745,-1.7331561400338844,,,,,,0.35090461232270564,3.131585716286934,0.0001397949474935949
summary,all,movebase,diffusion,True,,,,,,,,,,-23.876007641106845,0.5,0.5,0.0,1.5325732011873734,2.8341300276866868,0.00012719371705715362
