row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,79,86.61878087371588,-4.380498181653612,-3.450576011119575,-2.417412455835973,,,,,,0.4145914692069529,2.1844695353506043,0.0002169522452726847
,2,movebase,diffusion,True,0,1,0,75,80.06381367146969,-4.236158830966245,-4.030883542131182,-1.1590611231811754,,,,,,1.9123898430120905,3.1202429107484777,0.00035006492123196834
,3,movebase,diffusion,True,0,1,0,97,76.38131618499756,-1.149459284616503,-4.289471441027943,1.8611895592252925,,,,,,0.7249050930062625,2.944665021049777,0.0005273819749039134
,4,movebase,diffusion,True,1,0,0,48,-110.45320238918066,-4.033670668686044,-1.3681823006710347,2.6674062405380923,,,,,,0.4330286679170219,2.3515609587480046,0.00024423847374290946
,5,movebase,diffusion,True,0,1,0,42,89.33180925250053,-2.061178573169582,-2.796556387175962,2.3838384484919075,,,,,,3.369196212583055,2.264996608243365,0.00015419549833044975
,6,movebase,diffusion,True,1,0,0,25,-104.02072813361883,-4.053018934088923,-4.566456546874776,2.3623621246105606,,,,,,3.2320698434056334,2.5525206276602246,0.0005161194725162568
,7,movebase,diffusion,True,1,0,0,319,-220.68974667042494,-3.825835468602481,-1.0708797465817117,1.0460408242382655,,,,,,5.740745312215601,3.0763972174222176,2.2201102948885083e-05
,8,movebase,diffusion,True,1,0,0,249,-211.301572650671,-3.0117210153254708,-2.260671925532652,-0.2498177747981868,,,,,,0.40137819360588456,2.642823861273403,0.00012911391203836888
,9,movebase,diffusion,True,0,1,0,148,65.74053475260735,-5.625759662025214,-3.364146482381245,-2.9319685768835853,,,,,,3.6746594549243947,3.3129736739603164,0.00013403775441499463
,10,movebase,diffusion,True,0,1,0,107,82.05863296985626,-4.070965801777483,-1.6857856414532058,1.5959093117430976,,,,,,6.248799958962173,3.391033759809244,8.071572813736719e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-16.627036213874817,0.6,0.4,0.0,2.6151764048839072,2.7841684174265633,0.00023750210835377984
