row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,37,95.658651471138,-3.030624298304195,-3.3335708796888737,1.1733759405513153,,,,,,3.098167787137834,2.2737964266246746,0.0006062186739018532
,2,movebase,diffusion,True,0,1,0,60,89.41643597185612,-4.050339742288841,-1.3316203236690134,-2.522612653896225,,,,,,3.032526402202816,3.233939511390769,0.00046856744868622416
,3,movebase,diffusion,True,1,0,0,69,-118.92368225753307,-1.9376761568794603,-3.600315259293045,0.35478920162736016,,,,,,0.06970983989840383,3.2449682249409597,0.0005020229099565911
,4,movebase,diffusion,True,0,1,0,76,91.76574052125216,-6.198245258030316,-4.38225351194483,-1.5760981791975093,,,,,,2.3968593519504964,3.126947274301768,0.0008715578762565279
,5,movebase,diffusion,True,0,1,0,53,83.24579697847366,-3.4781734018035175,-2.743582191262756,0.08235625588581133,,,,,,3.3180369280331883,3.165896579952091,0.000735246776055048
,6,movebase,diffusion,True,1,0,0,46,-106.42761892080307,-4.528189574997777,-3.154010193377847,2.933600474738899,,,,,,1.1959955194199698,2.540612851357559,0.0006680982742908192
,7,movebase,diffusion,True,0,1,0,46,90.47778631746769,-3.5418905429145546,-3.7997804546477196,2.0747996352427416,,,,,,4.7893129487725865,2.392342135913529,0.0006308603104954889
,8,movebase,diffusion,True,0,1,0,68,81.14124824106693,-4.387968227825056,-3.235054671469109,-1.7651718875662414,,,,,,4.76388984518895,2.513935383947705,0.0008240821789793431
,9,movebase,diffusion,True,0,1,0,65,89.4403831884265,-6.201939566055643,-1.4227930055241162,1.0640601578485898,,,,,,5.589482613297686,2.6238963861125004,0.0009189387981907502
,10,movebase,diffusion,True,0,1,0,44,93.93430350720882,-6.4333531104647985,-1.2609505377688301,-1.6195650096074006,,,,,,3.948576142362289,2.940707467823409,0.000725556742349988
summary,all,movebase,diffusion,True,,,,,,,,,,48.972904501855375,0.8,0.2,0.0,3.2202557378264216,2.8057042242364965,0.0006951149989162634
