row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,94,87.56031040847301,-4.671065448618979,-3.5413533839570563,-3.0359356893105875,,,,,,7.530268430091204,3.1632886568767797,5.086685517918328e-14
,2,movebase,movebase,True,0,1,0,78,87.26341709494591,-1.2019804032530415,-3.0705328278419817,0.29056431618394835,,,,,,7.339651346532461,3.185884275785287,5.368676203469755e-14
,3,movebase,movebase,True,0,1,0,49,88.40919932723045,-4.889253953667405,-3.2276260236965375,2.7355726441087915,,,,,,6.419003324321715,2.6570907221129723,6.155904480536879e-14
,4,movebase,movebase,True,0,1,0,35,96.59268181025982,-3.939981730655933,-2.791901660959261,-2.744625385524468,,,,,,7.302578368589395,2.5810088913613694,5.2988956525343365e-08
,5,movebase,movebase,True,1,0,0,12,-103.29348447918892,-6.248003555411716,-4.060801999798248,-1.0479320175334959,,,,,,6.271900130679999,2.51717030546786,7.106682792528315e-05
,6,movebase,movebase,True,0,1,0,48,91.42358142137527,-6.174022156984082,-2.1761764092271325,-1.5220381754651646,,,,,,6.120012429808196,2.6745904792208792,0.00012967285524848648
,7,movebase,movebase,True,0,1,0,66,85.69067268818617,-2.9888358805757655,-2.6965297631165117,1.5370813434452009,,,,,,2.6473305804876524,2.2525842870375214,0.00025020344591259337
,9,movebase,movebase,True,0,0,0,400,-110.43425654619932,-4.80871536931119,-2.686578840855882,-2.0465023092549286,,,,,,8.71873100955814,2.6496262970633193,3.6573821574680406e-06
,10,movebase,movebase,True,0,1,0,114,87.18520883470774,-1.0105400888667369,-1.2924421864921478,-2.071825163075948,,,,,,5.898168482785695,3.0970274394035746,1.0250775662555338e-06
summary,all,movebase,movebase,True,,,,,,,,,,45.59970339553224,0.7777777777777778,0.1111111111111111,0.0,6.4719604558727175,2.7531412615921735,5.063095310363607e-05
