row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,1,0,0,336,-164.08822494000196,-4.3694903822711275,-2.4801556912234486,0.1657844067543063,,,,,,6.563016566511804,2.8851552368054794,1.2457360754858145e-14
,2,movebase,movebase,True,0,1,0,52,84.07641541957855,-2.296024725815883,-3.142129217240173,1.054925467386234,,,,,,5.0751595944028045,2.5857423450817616,4.14350862734901e-14
,3,movebase,movebase,True,0,1,0,40,92.28164082765579,-6.140752696809054,-1.4958149645064345,-1.4103469583866317,,,,,,6.549395079564675,2.891370907020274,8.469494312893332e-14
,4,movebase,movebase,True,0,1,0,64,88.55214133858681,-3.96139539603956,-1.8169137853662458,-1.728114371767841,,,,,,7.779508409386794,3.597160514339672,7.247969654900928e-14
,5,movebase,movebase,True,0,1,0,62,79.64550552517176,-1.109784508132826,-4.207851209944655,1.52251820154006,,,,,,6.0675517939550385,2.4192297996378596,6.205921167551808e-14
,6,movebase,movebase,True,0,1,0,33,96.28175190091133,-3.6548324715369414,-4.10114163055256,-1.9939416158465415,,,,,,6.9513374915301585,2.7271811390018863,1.0255926224508823e-13
,7,movebase,movebase,True,0,1,0,56,89.67332481592894,-3.5414551730312738,-4.902588213297015,1.532158861994003,,,,,,5.75856426380381,2.998925639777286,4.469823059454689e-14
,8,movebase,movebase,True,0,1,0,39,94.42861620336771,-2.7762841222120533,-4.038631789784633,0.5847345313863063,,,,,,6.542835664147796,2.8594023105446627,9.218079859219076e-14
,9,movebase,movebase,True,0,1,0,59,81.32283645123243,-5.417080818287223,-3.5030092808749815,1.206388298981348,,,,,,5.331916850416664,2.1219510135428084,2.914429706128153e-14
,10,movebase,movebase,True,0,1,0,63,83.50210013985634,-6.243638553336411,-1.8182868402250847,2.1158259438617724,,,,,,6.167486050855219,3.2575944488677657,6.463037161153156e-14
summary,all,movebase,movebase,True,,,,,,,,,,62.56761076822877,0.9,0.1,0.0,6.278677176457476,2.834371335461946,6.063392584864478e-14
