row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,76,74.59119364619255,-6.318369362979473,-2.6170135568787196,-1.8045118900311703,,,,,,5.344854677029575,2.6043512156745106,2.3623738113106914e-07
,2,movebase,movebase,True,0,1,0,40,95.86750540882349,-3.5100110038299244,-1.4779069323409941,-1.5084351177447042,,,,,,4.898240082838225,2.1922225063175085,1.563576997589624e-05
,3,movebase,movebase,True,0,1,0,74,91.28249455243349,-5.048571530193033,-3.310171667966378,-0.290754771623579,,,,,,1.37517080597684,2.4385876538516778,0.00018035909113187792
,4,movebase,movebase,True,0,1,0,87,71.04513859003782,-6.032113542939331,-2.033367419070678,2.5002718321557373,,,,,,2.1167940866988015,2.84056841566764,0.00010847941960181024
,5,movebase,movebase,True,1,0,0,22,-108.52087405323982,-5.829673131580462,-1.8722295150635637,0.4089447766060927,,,,,,3.798381476716311,3.31759759417009,9.61895461579616e-05
,6,movebase,movebase,True,1,0,0,61,-115.27521815896034,-1.4079860879405075,-3.936028864298917,-0.7113007685480577,,,,,,4.207035784544317,2.7847516606604903,9.286275976595147e-05
,8,movebase,movebase,True,1,0,0,34,-106.39241171628237,-3.884899355532188,-1.6106843909913513,-1.9986942559132554,,,,,,11.695474860977265,3.6073558315833756,3.24334366890156e-14
,9,movebase,movebase,True,0,1,0,60,92.96875922381878,-3.8053450557806228,-1.2164111606370454,-2.1380275301617804,,,,,,7.076735864774075,3.4784824255171842,2.9658427196821873e-15
,10,movebase,movebase,True,0,0,0,400,-40.00000059604645,-4.920000512626153,-2.6412156578868955,0.3388339197930188,,,,,,9.461182779426185,2.8889454164162394,1.9985451651424725e-05
summary,all,movebase,movebase,True,,,,,,,,,,6.174065210753017,0.5555555555555556,0.3333333333333333,0.0,5.5526522687757325,2.9058736355398573,5.7083141744605835e-05
