row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,63,91.46886060386896,-3.1113781059241914,-3.271048127928989,1.1977850002355233,,,,,,2.672655845046483,2.371082296835222,8.308195342448614e-05
,2,movebase,movebase,True,1,0,0,71,-129.54849576205015,-4.389164480152441,-1.5615396471489582,-1.7550961728978605,,,,,,5.949045368008161,2.4800336858276597,3.142560633913708e-14
,3,movebase,movebase,True,0,1,0,40,92.03293123841286,-3.061080513125641,-3.5246356176003797,-1.5931475985323404,,,,,,4.309962759960226,2.0796990731880425,8.27195927830829e-05
,4,movebase,movebase,True,0,1,0,87,84.73891268670559,-4.213193719663032,-3.450807090360538,2.227647385396308,,,,,,6.07988745685696,2.504600999507337,2.0148340859418824e-14
,5,movebase,movebase,True,0,1,0,43,95.17967931181192,-3.962519396100289,-1.442081403315154,2.6000671203435326,,,,,,6.058012170453964,2.36088909255468,9.062029673950187e-15
,6,movebase,movebase,True,0,1,0,74,85.06233673542738,-2.8160565175154666,-2.1453760135715276,1.7795562671692806,,,,,,3.865094500433905,2.0859418573669295,4.0628443299859235e-05
,7,movebase,movebase,True,0,1,0,47,91.41604252904654,-1.1290027148332484,-2.6394615378143427,1.802684999775929,,,,,,2.68129555120834,2.520641506876797,8.75534241355079e-05
,8,movebase,movebase,True,0,1,0,51,90.95668705552816,-1.0274153775794934,-2.868068974072018,3.110512788085304,,,,,,5.885948608127934,2.230459989726524,1.1538791137840412e-09
,9,movebase,movebase,True,0,1,0,59,92.24610664695501,-3.272539024796956,-3.213497479275482,-1.6336408107435967,,,,,,3.878810469568227,2.331983471903424,8.026832055862322e-05
,10,movebase,movebase,True,0,1,0,82,88.2053203061223,-3.0446938966359753,-4.668565631780378,-1.3767222283812064,,,,,,3.647769567175234,2.987078543802399,9.982008943933664e-05
summary,all,movebase,movebase,True,,,,,,,,,,68.17583813518286,0.9,0.1,0.0,4.502848229683943,2.3952410517589016,4.7407297758064585e-05
