row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,85,75.4243963509798,-3.9723660614156913,-3.4041680610062635,-1.5363384061463625,,,,,,3.762836764260015,2.2378441193939613,5.4196166195589215e-14
,2,movebase,movebase,True,0,1,0,72,88.99034137278795,-6.070840653883426,-2.2170557564861224,-1.1039864913432096,,,,,,6.640651921376171,2.587319371885348,3.85201713454405e-14
,3,movebase,movebase,True,0,1,0,81,84.3884444385767,-6.432723478277365,-1.3056617764865153,1.4380996340255097,,,,,,5.951792533289699,3.199963563369121,4.440256642544337e-14
,4,movebase,movebase,True,0,1,0,89,81.45647009462118,-3.6040269557775764,-4.214417374562723,-1.2469726997270232,,,,,,6.463488328652693,3.260044892532863,4.1351664896234056e-14
,5,movebase,movebase,True,0,0,0,400,-49.6008937433362,-3.888804397294077,-1.6375430956075623,1.8085289769409125,,,,,,8.125217791855947,3.0116854261069883,4.2770787544122376e-14
,6,movebase,movebase,True,0,1,0,72,89.03318678587675,-2.2488111966489974,-3.4058787337823495,-0.1621843304948165,,,,,,6.681443589392821,3.387578552843146,4.283099778868787e-14
,7,movebase,movebase,True,0,1,0,78,86.8832587748766,-2.2009753104221197,-3.52050674191025,0.15643640299123054,,,,,,6.618021752997856,3.324854727193274,6.949211547387222e-14
,8,movebase,movebase,True,0,1,0,77,89.78957210481167,-4.0632685527601415,-2.0480949927168406,2.145612156557371,,,,,,5.901899426531095,3.111881907108379,8.103656923940938e-14
,9,movebase,movebase,True,0,1,0,88,84.2243911921978,-2.0423863934295934,-3.357874420066745,-2.558867076923534,,,,,,6.279046327565726,3.1062093591068183,8.180074926862319e-14
,10,movebase,movebase,True,0,1,0,48,92.62512444704771,-4.066125682578862,-3.3773297092988046,-1.9564801202567585,,,,,,5.169531025372476,2.605316536159834,3.587747941998709e-14
summary,all,movebase,movebase,True,,,,,,,,,,72.321429181844,0.9,0.0,0.0,6.15939294612945,2.983269845569973,5.3227926759740924e-14
