row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,55,84.82971290498972,-6.24064819258712,-2.42227712354558,-1.0798726659453461,,,,,,5.730555062757815,3.0963427422966454,5.370016316485768e-05
,2,movebase,diffusion,True,1,0,0,45,-109.20477040857077,-5.976281680601387,-3.4522920170764424,0.2860238605663447,,,,,,2.3494973232823795,2.180071339505895,0.00010306159417388035
,3,movebase,diffusion,True,0,1,0,49,93.58289536833763,-2.9362106807793826,-2.8462850390554566,0.0372799407257709,,,,,,2.2742724463139252,2.202616870944504,0.00012790545319877375
,4,movebase,diffusion,True,0,1,0,58,93.13148158043623,-3.84078369282257,-4.906878190678743,1.9922663160017822,,,,,,6.365514019653769,3.3527041891847524,9.395729810991453e-05
,5,movebase,diffusion,True,1,0,0,51,-108.77543004602194,-1.6691724762807514,-3.5451090300679735,-2.3388313515516446,,,,,,1.8945523630469254,2.3481539886331837,0.00011325785501380778
,7,movebase,diffusion,True,1,0,0,82,-111.1647455394268,-4.383978913346581,-2.110722284489005,2.7927621028620995,,,,,,0.7538238166522824,2.311620324976269,0.00011087000531355496
,8,movebase,diffusion,True,1,0,0,65,-111.49092143028975,-2.5343394435288014,-2.8519263561760075,-0.29888750839615696,,,,,,2.5212737920261454,3.090186754998485,9.268009297748953e-05
,9,movebase,diffusion,True,1,0,0,10,-100.90000001341105,-3.7397571470026287,-1.31374663927879,-1.6768993997095454,,,,,,5.590091754405494,2.831184959905305,0.00020984274892330351
,10,movebase,diffusion,True,0,1,0,60,90.30810086429119,-3.881518975363171,-2.3645535069389614,1.859110172297825,,,,,,3.0606171260121218,2.86069624634977,9.886954224900216e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-19.964852968851726,0.4444444444444444,0.5555555555555556,0.0,3.3933553004612067,2.697064157421645,0.00011157163923606491
