row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,48,95.29073000699282,-3.860304432425271,-3.2528282577134306,-2.5855414126140897,,,,,,2.9040161711504764,2.3806572976020517,6.971195028120264e-05
,2,movebase,diffusion,True,1,0,0,56,-113.38221374154091,-4.211964188102158,-3.8995802645031867,-0.6345433223825988,,,,,,0.7851517873537693,2.07096134751572,0.00011714523785986686
,3,movebase,diffusion,True,0,1,0,88,84.636903680861,-5.952514298265277,-3.889885991880726,-1.0101810645450489,,,,,,1.4569588736953556,2.7450116512038636,0.00010896082256889925
,4,movebase,diffusion,True,0,1,0,274,-14.726016819477081,-2.886653258685146,-1.2376348730072224,-2.7606880707728254,,,,,,1.2135480364875069,2.915009809208014,2.7501953486076304e-05
,5,movebase,diffusion,True,1,0,0,76,-114.41256120055914,-3.1639645028217065,-2.0199529348514274,0.9353658157975854,,,,,,0.5385876861478506,3.255698284811941,0.0001162837771073602
,6,movebase,diffusion,True,0,1,0,85,75.5655387416482,-1.8205806067433459,-2.9693597144882293,2.287811929693878,,,,,,2.0334497740581092,3.111521801794356,0.00011092220374649645
,7,movebase,diffusion,True,1,0,0,75,-119.21369470655918,-4.279822464040178,-1.9943015102145023,1.5629628207796915,,,,,,0.32975171463062214,3.10244841952803,0.00012050930759564185
,8,movebase,diffusion,True,0,1,0,60,92.7221993431449,-3.253895911001539,-4.618164652350813,-1.4154226326320682,,,,,,5.1470522320393135,3.0826618173495817,0.00010321508621342946
,9,movebase,diffusion,True,0,1,0,58,80.66895064711571,-3.7578506417628414,-3.1050327751873557,-1.3693377432957066,,,,,,2.2564901658501872,2.0051005937033377,0.00010045089575645141
,10,movebase,diffusion,True,0,1,0,79,86.12839712202549,-3.1127940314930505,-1.7785767042579637,1.9923442185985796,,,,,,1.6834702700342863,2.769549394122948,0.00012963710719033483
,11,movebase,diffusion,True,1,0,0,49,-111.05090043693781,-4.031636114823316,-2.6511678422394502,-2.170850680903224,,,,,,0.3434564506306777,1.980718022375513,0.0001308763193137871
,12,movebase,diffusion,True,1,0,0,70,-116.64336764067411,-3.1145964422389367,-3.553638072339657,-0.9345698537802429,,,,,,0.8435642716897673,2.379936527671448,0.00011321589908331087
,13,movebase,diffusion,True,1,0,0,94,-136.75946167111397,-6.390776982903436,-4.126321217848721,1.0572461173240384,,,,,,1.3595164882571815,3.7560032220062514,0.00013454679046541644
,14,movebase,diffusion,True,1,0,0,71,-113.6932690963149,-6.374267528761313,-1.9011799886516885,2.1008451240467294,,,,,,0.9151243800491585,3.0354496271894917,0.00010752318132764353
,15,movebase,diffusion,True,0,1,0,67,80.95784568786621,-3.0696969077136966,-4.780639370748862,1.5263687471966374,,,,,,1.41792637810882,2.2589375207021924,0.00010746027520745675
,16,movebase,diffusion,True,0,1,0,93,81.7401290461421,-4.296522663930797,-4.483912614736548,-1.9971736629733778,,,,,,0.984124117636028,2.209103990364669,8.87911777992919e-05
,17,movebase,diffusion,True,1,0,0,72,-127.30835917592049,-5.622106436914494,-3.399752690613162,1.3446250064784062,,,,,,0.7199245951438065,2.4617346047584583,0.00011554404822759088
,18,movebase,diffusion,True,0,1,0,54,94.69320725649595,-3.7123360954752753,-4.091300050812305,-1.4845424845522006,,,,,,0.7050699692052596,2.265700621791343,0.00010426934784354858
,19,movebase,diffusion,True,1,0,0,56,-122.77550557255745,-3.3334219535850433,-4.980234476940488,-2.2583542575889863,,,,,,0.3955980768509122,2.3795888197994657,0.00015023016929377253
,20,movebase,diffusion,True,0,1,0,64,89.68908705562353,-2.9478986811583727,-4.763812356293857,0.4280753626439389,,,,,,2.8163247355850913,2.3041679435036255,8.60171835079939e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-11.393618073686957,0.55,0.45,0.0,1.4424553087302088,2.6234980658501152,0.0001071406366937786
