row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,1,0,0,14,-104.11939740180969,-2.948642306052923,-2.0727708306421255,2.2095425203895322,,,,,,7.590239799710313,2.34102815653571,8.270477941174795e-09
,2,movebase,movebase,True,0,1,0,113,69.95281261950731,-5.491241959489526,-3.5468849943998295,1.1676010479078158,,,,,,3.843331354198834,3.045879714346017,0.00011229327082616993
,3,movebase,movebase,True,0,1,0,72,83.77419452369213,-1.8009237406198126,-2.9774480154889624,-3.0936366322129714,,,,,,6.29156265587818,2.5464610377865062,1.899641417051379e-07
,4,movebase,movebase,True,1,0,0,24,-104.90708144009113,-2.222209195451124,-2.8325489349281785,0.021265441429155603,,,,,,11.490706977666848,3.6436121195101,1.2336385836575225e-07
,5,movebase,movebase,True,1,0,0,59,-116.43893899023533,-2.1903153581760355,-3.2771864005167917,-2.4362559839850286,,,,,,2.839252280486044,3.324912629236872,0.00022528505621181112
,6,movebase,movebase,True,0,1,0,104,66.81704860925674,-3.336494106869386,-4.97248368442403,1.8305880243077193,,,,,,3.5462418731500907,3.606711684450443,9.708221195748056e-05
,7,movebase,movebase,True,0,1,0,45,94.62440753728151,-1.1989363087853588,-1.463780546047523,2.758057440777055,,,,,,6.9750932481180445,2.6615741181118397,9.477626021609006e-10
,8,movebase,movebase,True,1,0,0,30,-102.90000004321337,-6.077337516636829,-1.0627576931963176,-1.5561794364706714,,,,,,4.579218076409781,3.605548052054681,0.0002379660097461831
,9,movebase,movebase,True,1,0,0,47,-104.60000006854534,-4.847879934402524,-3.487362390552673,-0.7830553202202664,,,,,,3.6086371953957204,2.5163377043911495,1.3729370553915562e-05
,10,movebase,movebase,True,1,0,0,20,-106.73234650492668,-3.796713984141143,-2.2734481282756613,0.9639483553036643,,,,,,10.172086048621797,2.7805031421478557,1.9959082503765616e-05
,11,movebase,movebase,True,0,1,0,113,76.50289300084114,-2.0842723926512283,-3.1998434484723144,2.5912575572409287,,,,,,6.6641467901538505,3.5249098335594886,1.6855587172296816e-07
,12,movebase,movebase,True,0,1,0,85,84.34478303790092,-3.7154858118323615,-1.7395990011652,2.3814580035255397,,,,,,6.370928404519004,2.3454467332710616,1.4184151722619154e-14
,13,movebase,movebase,True,0,0,0,400,-48.36538549512625,-4.389863444133157,-2.2361341190307398,2.3144346603385415,,,,,,1.9130082447959889,2.6789086206236865,7.082196187187567e-05
,14,movebase,movebase,True,0,0,0,400,-120.06955559551716,-4.937345808160634,-3.0589820796193954,-2.568387000740715,,,,,,6.555282644584445,2.6365029114126592,1.0689666674224058e-05
,15,movebase,movebase,True,1,0,0,73,-116.55777660012245,-2.248010504104199,-2.6820113654868574,2.463561097660998,,,,,,6.732382654724019,2.27380122369185,8.854354207951809e-14
,16,movebase,movebase,True,0,1,0,47,92.44702836126089,-6.471867785277804,-3.119587183466285,-2.228700786066271,,,,,,6.1183426189739505,2.758482172698736,0.00017835238938118854
,17,movebase,movebase,True,0,1,0,47,90.32781568169594,-6.090448695785234,-4.324399581385644,1.440544917303034,,,,,,6.241089792543607,2.7061780768029435,6.879757267777031e-08
,18,movebase,movebase,True,0,1,0,257,-6.861697018146515,-4.329206868420764,-1.0820907895571725,-0.07250468436493583,,,,,,4.559888472999179,3.2044526854818356,9.204069842204777e-06
,19,movebase,movebase,True,1,0,0,37,-116.13221263885498,-3.0811023750127933,-2.236493289850016,2.7202505832246,,,,,,7.252536888317817,2.7320420907209453,1.880352245978545e-05
,20,movebase,movebase,True,1,0,0,55,-122.83460041880608,-2.851930502142483,-1.5044632477349045,2.473107589266353,,,,,,9.567774615487236,3.079783833720911,2.4515296300631808e-05
summary,all,movebase,movebase,True,,,,,,,,,,-25.58640044219792,0.45,0.45,0.0,6.145587531836738,2.9006538270277646,5.096309040584894e-05
