row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,0,1,0,62,88.99116598814726,-4.3612368609095,-1.804899763873871,3.126307796481518,,,,,,3.9975832325765244,4.099753488350468,0.0003339313028259437
,2,movebase,rule_based,True,0,1,0,82,85.95236480236053,-3.912346115540549,-1.5486169370564427,1.6273494464250278,,,,,,2.3998132375191905,2.8071319001627946,0.0002903360389973869
,3,movebase,rule_based,True,0,1,0,51,87.96854085475206,-1.0607755119703484,-3.82006176809944,1.633726409641019,,,,,,3.624861879547487,2.283487971394606,0.00012294474740952128
,4,movebase,rule_based,True,0,1,0,87,83.01906878501177,-3.7019793755436883,-4.646606988680129,1.8640734110703912,,,,,,3.8896692042818843,3.2941135895535303,0.00027356656285682445
,5,movebase,rule_based,True,1,0,0,43,-108.39013420045376,-6.1872140994639,-2.7026775587580065,1.2694052315422026,,,,,,0.8941264444109894,2.504687642107754,0.0002691337941784537
,6,movebase,rule_based,True,0,1,0,66,81.41542632132769,-4.116839776512672,-4.017080224718043,-0.6356625354696395,,,,,,0.9728615985523109,2.6218519828355595,9.758675949260333e-05
,7,movebase,rule_based,True,0,1,0,59,92.13767306506634,-3.1513326534823536,-2.3430183851140476,-1.4725995871786994,,,,,,3.5252878787942157,2.630965922272058,0.00025364701871177504
,8,movebase,rule_based,True,0,1,0,41,94.87662732601166,-3.7789870864732116,-1.9323203990659588,1.6930886134765217,,,,,,1.8971339071096447,2.166034049895881,0.00032171675877192864
,10,movebase,rule_based,True,0,1,0,78,72.26047707349062,-3.2598924648324488,-3.6264801137990266,3.074703070287186,,,,,,5.53819142708809,3.3886489234861816,0.00021230309427197258
,11,movebase,rule_based,True,0,1,0,59,91.6997981891036,-3.1607519818228313,-4.434493645409486,1.2524736215826842,,,,,,5.684091160967567,2.8945512971348424,0.00018658824690147416
,12,movebase,rule_based,True,1,0,0,39,-106.47219343483448,-3.590806647624261,-4.505039210501042,1.5755658557886076,,,,,,1.1006303905920505,2.4775525211544687,0.00033754938909870993
,13,movebase,rule_based,True,0,1,0,53,86.68823157250881,-5.844735336066413,-3.2442597625991194,-0.5073355724837677,,,,,,1.0481583774115035,2.294238661422119,0.00013948493151807312
,14,movebase,rule_based,True,0,1,0,51,83.9656965136528,-6.240534741526554,-4.514859618703593,-2.08507105103028,,,,,,1.890637186968586,2.2566708935921147,0.00015790836264099471
,15,movebase,rule_based,True,1,0,0,56,-110.97772513329983,-5.311612954052036,-2.775551058220354,-0.7223669347091326,,,,,,0.9023396550354388,3.459492785097104,0.00024044020289238355
,16,movebase,rule_based,True,1,0,0,50,-112.36215895414352,-6.442948765906413,-1.3767436562402433,1.8121927857247995,,,,,,1.1375510383092664,3.099832573597425,0.00026971377488810066
,17,movebase,rule_based,True,1,0,0,52,-113.6455912515521,-3.129329037556385,-3.7187388158337,-2.1949369548872717,,,,,,0.5429283975405726,2.336680876494769,0.0003351585001526562
,18,movebase,rule_based,True,0,1,0,47,90.62963479757309,-4.14862372827909,-4.558656381402628,2.043905399169184,,,,,,2.050380502902434,3.1990773322603374,0.0002771007794718212
,19,movebase,rule_based,True,1,0,0,36,-107.93945088237524,-3.61972270596121,-3.3203220348501503,0.11718368713335903,,,,,,1.2208273621939578,2.242134511986876,0.00022612071290699877
,20,movebase,rule_based,True,1,0,0,39,-107.56491655111313,-2.8474461284187096,-4.019462419388695,-0.568511217328844,,,,,,0.49134454122602533,2.4320301449472517,0.0003101013735369448
summary,all,movebase,rule_based,True,,,,,,,,,,14.329080783222851,0.631578947368421,0.3684210526315789,0.0,2.253074601211986,2.7625756351445343,0.00024501749218550355
